instance,family,noise_percent,hidden,expected_result,lkk_hybrid_result,structural_result,witness_valid,fallback_used,cadical_result,kissat_result,cadical_ms,cadical_timed_out,cadical_exit_code,cadical_log,kissat_ms,kissat_timed_out,kissat_exit_code,kissat_log,mismatch
001_pigeonhole_exact1_noise0.cnf,pigeonhole_exact1,0,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.499965,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/001_pigeonhole_exact1_noise0__cadical.log,18.737320,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/001_pigeonhole_exact1_noise0__kissat.log,False
002_pigeonhole_exact1_noise50.cnf,pigeonhole_exact1,50,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.886170,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/002_pigeonhole_exact1_noise50__cadical.log,18.239186,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/002_pigeonhole_exact1_noise50__kissat.log,False
003_pigeonhole_exact1_noise100.cnf,pigeonhole_exact1,100,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.307223,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/003_pigeonhole_exact1_noise100__cadical.log,18.156926,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/003_pigeonhole_exact1_noise100__kissat.log,False
004_pigeonhole_exact1_noise200.cnf,pigeonhole_exact1,200,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,33.998575,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/004_pigeonhole_exact1_noise200__cadical.log,18.065720,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/004_pigeonhole_exact1_noise200__kissat.log,False
005_exact_r_allocation_noise0.cnf,exact_r_allocation,0,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.005141,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/005_exact_r_allocation_noise0__cadical.log,18.110499,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/005_exact_r_allocation_noise0__kissat.log,False
006_exact_r_allocation_noise50.cnf,exact_r_allocation,50,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.140018,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/006_exact_r_allocation_noise50__cadical.log,18.342793,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/006_exact_r_allocation_noise50__kissat.log,False
007_exact_r_allocation_noise100.cnf,exact_r_allocation,100,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,33.897396,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/007_exact_r_allocation_noise100__cadical.log,18.260209,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/007_exact_r_allocation_noise100__kissat.log,False
008_exact_r_allocation_noise200.cnf,exact_r_allocation,200,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.026957,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/008_exact_r_allocation_noise200__cadical.log,18.251716,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/008_exact_r_allocation_noise200__kissat.log,False
009_bipartite_matching_noise0.cnf,bipartite_matching,0,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,34.355391,False,10,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/009_bipartite_matching_noise0__cadical.log,10.251086,False,10,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/009_bipartite_matching_noise0__kissat.log,False
010_bipartite_matching_noise50.cnf,bipartite_matching,50,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,34.415471,False,10,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/010_bipartite_matching_noise50__cadical.log,18.487063,False,10,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/010_bipartite_matching_noise50__kissat.log,False
011_bipartite_matching_noise100.cnf,bipartite_matching,100,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,33.790342,False,10,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/011_bipartite_matching_noise100__cadical.log,9.839055,False,10,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/011_bipartite_matching_noise100__kissat.log,False
012_bipartite_matching_noise200.cnf,bipartite_matching,200,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,34.378905,False,10,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/012_bipartite_matching_noise200__cadical.log,10.884774,False,10,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/012_bipartite_matching_noise200__kissat.log,False
013_overlapping_hall_violation_noise0.cnf,overlapping_hall_violation,0,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.942078,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/013_overlapping_hall_violation_noise0__cadical.log,19.528366,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/013_overlapping_hall_violation_noise0__kissat.log,False
014_overlapping_hall_violation_noise50.cnf,overlapping_hall_violation,50,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.099341,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/014_overlapping_hall_violation_noise50__cadical.log,18.227445,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/014_overlapping_hall_violation_noise50__kissat.log,False
015_overlapping_hall_violation_noise100.cnf,overlapping_hall_violation,100,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.669120,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/015_overlapping_hall_violation_noise100__cadical.log,18.271262,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/015_overlapping_hall_violation_noise100__kissat.log,False
016_overlapping_hall_violation_noise200.cnf,overlapping_hall_violation,200,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.258908,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/016_overlapping_hall_violation_noise200__cadical.log,10.045573,False,20,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/016_overlapping_hall_violation_noise200__kissat.log,False
017_satisfiable_capacity_control_noise0.cnf,satisfiable_capacity_control,0,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,34.618131,False,10,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/017_satisfiable_capacity_control_noise0__cadical.log,9.856867,False,10,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/017_satisfiable_capacity_control_noise0__kissat.log,False
018_satisfiable_capacity_control_noise50.cnf,satisfiable_capacity_control,50,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,34.242160,False,10,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/018_satisfiable_capacity_control_noise50__cadical.log,10.115777,False,10,results/phase2/20260816Tphase2candidate01Z/logs/crosscheck/018_satisfiable_capacity_control_noise50__kissat.log,False
