seed,boxes,resources,demands,capacities,reachable,exhaustive_result,flow_result,exhaustive_subset,exhaustive_ms,flow_ms,maximum_flow,total_demand,flow_nodes,flow_edges,mismatch
300000,6,6,"[2,2,1,1,3,1]","[2,3,2,3,1,3]","[[0,1,2,4,5],[3,5],[0,1,2,3,4,5],[1],[0,1,2,3,4,5],[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.304286000,0.083001000,10,10,14,38,False
300001,4,3,"[1,2,2,1]","[3,3,3]","[[0,1],[0,1,2],[0,1,2],[0,2]]",FEASIBLE,FEASIBLE,null,0.039328000,0.031869000,6,6,9,17,False
300002,1,4,[1],"[3,3,2,2]","[[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.004811000,0.014524000,1,1,7,9,False
300003,2,5,"[1,1]","[3,1,2,2,1]","[[1],[1,3]]",FEASIBLE,FEASIBLE,null,0.012503000,0.018398000,2,2,9,10,False
300004,2,2,"[1,2]","[3,1]","[[0,1],[0,1]]",FEASIBLE,FEASIBLE,null,0.007277000,0.017313000,3,3,6,8,False
300005,4,1,"[1,1,1,1]",[3],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.020136000,0.056187000,3,4,7,9,False
300006,6,5,"[1,1,1,1,1,2]","[2,1,1,3,2]","[[0,3,4],[0,1,2,3,4],[3],[0,1,2,3,4],[3],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.240736000,0.043582000,7,7,13,31,False
300007,1,2,[1],"[1,1]",[[0]],FEASIBLE,FEASIBLE,null,0.003561000,0.010840000,1,1,5,4,False
300008,5,3,"[2,2,3,1,1]","[1,2,2]","[[0,2],[0,1,2],[0,1,2],[0,1],[0,2]]",UNSAT,UNSAT,"[0,2]",0.017173000,0.135532000,5,9,10,20,False
300009,4,4,"[1,1,1,2]","[1,3,2,2]","[[2],[2],[3],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.046838000,0.025729000,5,5,10,14,False
300010,4,1,"[1,1,1,1]",[1],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.007488000,0.027267000,1,4,7,9,False
300011,1,5,[2],"[1,2,2,3,2]","[[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.004930000,0.016798000,2,2,8,11,False
300012,2,6,"[1,3]","[1,2,2,3,2,3]","[[0],[0,2,4,5]]",FEASIBLE,FEASIBLE,null,0.013741000,0.023125000,4,4,10,13,False
300013,3,1,"[1,1,1]",[1],"[[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.006345000,0.023795000,1,3,6,7,False
300014,3,3,"[1,1,1]","[2,2,2]","[[1],[1,2],[2]]",FEASIBLE,FEASIBLE,null,0.018350000,0.018817000,3,3,8,10,False
300015,1,6,[1],"[1,1,3,1,2,1]",[[2]],FEASIBLE,FEASIBLE,null,0.005527000,0.012120000,1,1,9,8,False
300016,4,3,"[1,1,1,3]","[3,3,1]","[[0],[1],[0],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.037855000,0.026083000,6,6,9,13,False
300017,5,1,"[1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.019943000,0.031444000,2,5,8,11,False
300018,5,5,"[1,1,2,1,1]","[1,2,1,1,2]","[[2,4],[0,2,4],[0,1,3,4],[2],[3,4]]",FEASIBLE,FEASIBLE,null,0.117308000,0.049724000,6,6,12,22,False
300019,5,3,"[3,1,1,2,1]","[3,3,2]","[[0,1,2],[0,1,2],[1],[0,1,2],[0,2]]",FEASIBLE,FEASIBLE,null,0.076908000,0.035666000,8,8,10,20,False
300020,2,3,"[2,1]","[3,1,2]","[[1,2],[1]]",UNSAT,UNSAT,"[0,1]",0.008905000,0.025603000,2,3,7,8,False
300021,5,1,"[1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.019865000,0.033438000,2,5,8,11,False
300022,3,6,"[1,1,1]","[1,2,1,1,2,2]","[[2,3,4,5],[0],[3]]",FEASIBLE,FEASIBLE,null,0.030837000,0.023924000,3,3,11,15,False
300023,2,1,"[1,1]",[1],"[[0],[0]]",UNSAT,UNSAT,"[0,1]",0.005455000,0.020924000,1,2,5,5,False
