seed,boxes,resources,demands,capacities,reachable,exhaustive_result,flow_result,exhaustive_subset,exhaustive_ms,flow_ms,maximum_flow,total_demand,flow_nodes,flow_edges,mismatch
300000,6,6,"[2,2,1,1,3,1]","[2,3,2,3,1,3]","[[0,1,2,4,5],[3,5],[0,1,2,3,4,5],[1],[0,1,2,3,4,5],[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.305211000,0.084754000,10,10,14,38,False
300001,4,3,"[1,2,2,1]","[3,3,3]","[[0,1],[0,1,2],[0,1,2],[0,2]]",FEASIBLE,FEASIBLE,null,0.039337000,0.034152000,6,6,9,17,False
300002,1,4,[1],"[3,3,2,2]","[[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.004931000,0.016032000,1,1,7,9,False
300003,2,5,"[1,1]","[3,1,2,2,1]","[[1],[1,3]]",FEASIBLE,FEASIBLE,null,0.012904000,0.018084000,2,2,9,10,False
300004,2,2,"[1,2]","[3,1]","[[0,1],[0,1]]",FEASIBLE,FEASIBLE,null,0.007580000,0.018721000,3,3,6,8,False
300005,4,1,"[1,1,1,1]",[3],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.020361000,0.039866000,3,4,7,9,False
300006,6,5,"[1,1,1,1,1,2]","[2,1,1,3,2]","[[0,3,4],[0,1,2,3,4],[3],[0,1,2,3,4],[3],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.245875000,0.045293000,7,7,13,31,False
300007,1,2,[1],"[1,1]",[[0]],FEASIBLE,FEASIBLE,null,0.003593000,0.011351000,1,1,5,4,False
300008,5,3,"[2,2,3,1,1]","[1,2,2]","[[0,2],[0,1,2],[0,1,2],[0,1],[0,2]]",UNSAT,UNSAT,"[0,2]",0.033634000,0.056419000,5,9,10,20,False
300009,4,4,"[1,1,1,2]","[1,3,2,2]","[[2],[2],[3],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.047819000,0.094831000,5,5,10,14,False
300010,4,1,"[1,1,1,1]",[1],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.007754000,0.027718000,1,4,7,9,False
300011,1,5,[2],"[1,2,2,3,2]","[[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.004946000,0.029427000,2,2,8,11,False
300012,2,6,"[1,3]","[1,2,2,3,2,3]","[[0],[0,2,4,5]]",FEASIBLE,FEASIBLE,null,0.014197000,0.023844000,4,4,10,13,False
300013,3,1,"[1,1,1]",[1],"[[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.006628000,0.024266000,1,3,6,7,False
300014,3,3,"[1,1,1]","[2,2,2]","[[1],[1,2],[2]]",FEASIBLE,FEASIBLE,null,0.019027000,0.018964000,3,3,8,10,False
300015,1,6,[1],"[1,1,3,1,2,1]",[[2]],FEASIBLE,FEASIBLE,null,0.005477000,0.012412000,1,1,9,8,False
300016,4,3,"[1,1,1,3]","[3,3,1]","[[0],[1],[0],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.038958000,0.026159000,6,6,9,13,False
300017,5,1,"[1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.020655000,0.031559000,2,5,8,11,False
300018,5,5,"[1,1,2,1,1]","[1,2,1,1,2]","[[2,4],[0,2,4],[0,1,3,4],[2],[3,4]]",FEASIBLE,FEASIBLE,null,0.117724000,0.046871000,6,6,12,22,False
300019,5,3,"[3,1,1,2,1]","[3,3,2]","[[0,1,2],[0,1,2],[1],[0,1,2],[0,2]]",FEASIBLE,FEASIBLE,null,0.081218000,0.037286000,8,8,10,20,False
300020,2,3,"[2,1]","[3,1,2]","[[1,2],[1]]",UNSAT,UNSAT,"[0,1]",0.008930000,0.024320000,2,3,7,8,False
300021,5,1,"[1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.020388000,0.031334000,2,5,8,11,False
300022,3,6,"[1,1,1]","[1,2,1,1,2,2]","[[2,3,4,5],[0],[3]]",FEASIBLE,FEASIBLE,null,0.031153000,0.023082000,3,3,11,15,False
300023,2,1,"[1,1]",[1],"[[0],[0]]",UNSAT,UNSAT,"[0,1]",0.005555000,0.024995000,1,2,5,5,False
300024,4,5,"[2,1,2,2]","[3,2,2,2,2]","[[0,1,2,3,4],[0,1,2,3],[0,2],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.057387000,0.037267000,7,7,11,24,False
300025,1,4,[1],"[2,1,3,1]",[[0]],FEASIBLE,FEASIBLE,null,0.004531000,0.081921000,1,1,7,6,False
300026,2,3,"[2,2]","[3,1,2]","[[0,1,2],[0,2]]",FEASIBLE,FEASIBLE,null,0.009092000,0.020261000,4,4,7,10,False
300027,4,5,"[2,2,1,1]","[1,3,3,2,3]","[[3,4],[0,4],[0],[1,2,4]]",UNSAT,UNSAT,"[1,2]",0.029104000,0.036645000,5,6,11,17,False
300028,6,2,"[1,2,1,2,2,1]","[3,2]","[[0,1],[0,1],[0,1],[0,1],[0,1],[1]]",UNSAT,UNSAT,"[1,3,4]",0.062316000,0.046254000,5,9,10,19,False
300029,4,5,"[2,1,2,2]","[2,2,2,3,1]","[[0,1,2,3,4],[1,2,3],[0,1,3],[0,1,2,4]]",FEASIBLE,FEASIBLE,null,0.058131000,0.038023000,7,7,11,24,False
300030,4,1,"[1,1,1,1]",[1],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.007584000,0.037899000,1,4,7,9,False
300031,1,3,[3],"[3,1,1]","[[0,1,2]]",FEASIBLE,FEASIBLE,null,0.004091000,0.017068000,3,3,6,7,False
300032,4,1,"[1,1,1,1]",[3],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.020114000,0.028655000,3,4,7,9,False
300033,2,1,"[1,1]",[2],"[[0],[0]]",FEASIBLE,FEASIBLE,null,0.005802000,0.013525000,2,2,5,5,False
300034,2,2,"[1,1]","[1,3]","[[0,1],[1]]",FEASIBLE,FEASIBLE,null,0.007235000,0.014347000,2,2,6,7,False
300035,1,4,[1],"[2,2,3,1]","[[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.004421000,0.013258000,1,1,7,9,False
300036,6,1,"[1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.050983000,0.035122000,3,6,9,13,False
300037,5,3,"[1,3,3,1,3]","[3,1,2]","[[1],[0,1,2],[0,1,2],[1],[0,1,2]]",UNSAT,UNSAT,"[0,1]",0.015319000,0.047852000,6,11,10,19,False
300038,5,1,"[1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.008917000,0.030090000,1,5,8,11,False
300039,4,2,"[2,1,1,1]","[2,1]","[[0,1],[0],[0,1],[1]]",UNSAT,UNSAT,"[0,3]",0.014196000,0.033388000,3,5,8,12,False
300040,1,4,[3],"[2,1,1,2]","[[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.004670000,0.017697000,3,3,7,9,False
300041,5,5,"[3,2,1,1,2]","[1,2,2,3,3]","[[0,3,4],[1,2,4],[0,1,3],[0,3,4],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.121527000,0.583109000,9,9,12,27,False
300042,2,1,"[1,1]",[2],"[[0],[0]]",FEASIBLE,FEASIBLE,null,0.007335000,0.014440000,2,2,5,5,False
300043,3,2,"[1,1,2]","[3,3]","[[0],[1],[0,1]]",FEASIBLE,FEASIBLE,null,0.015233000,0.019806000,4,4,7,9,False
300044,5,5,"[2,1,2,3,1]","[1,3,1,1,1]","[[0,2],[0],[3,4],[0,1,2,4],[3]]",UNSAT,UNSAT,"[0,1]",0.021968000,0.049186000,5,9,12,20,False
300045,4,6,"[3,1,2,3]","[1,3,1,1,2,2]","[[0,2,3,4],[0,1,2,3,4],[1,2,3,4,5],[0,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.067988000,0.058714000,9,9,12,29,False
300046,6,4,"[3,1,1,1,2,1]","[1,2,1,3]","[[0,1,3],[0,1,2,3],[0,2],[1,2],[0,1],[0,2,3]]",UNSAT,UNSAT,"[0,4]",0.030762000,0.071560000,7,9,12,26,False
