benefit_gate_decision,benefit_gate_ms,benefit_gate_reason,boxes_found,cnf_sha256,fallback_cdcl_ms,fallback_exit_code,fallback_status,fallback_timed_out,fallback_used,final_result,flow_edges,flow_ms,flow_nodes,gate_decision,gate_ms,gate_reason,gate_signals,instance,maximum_flow,recovery_ms,recovery_reason,recovery_status,registry_ms,registry_reason,registry_status,resources_found,structural_result,total_demand,total_lkk_hybrid_ms,witness_file,witness_valid,peak_rss_kb,peak_rss,peak_rss_unit,hybrid_log,fallback_log
RUN_LKK,0.003442,"deterministic_accept(signal_count=34,clauses=34)",4,4430a60d48d75bb573ef05438155619d70f3b92ca471e9d991bca176013eecf1,0.0,,NOT_RUN,False,False,UNSATISFIABLE,19,0.068897,9,RUN_LKK,0.136292,monotone_cardinality_signal,"{""estimated_resolution_pairs"":60,""mirror_pairs"":0,""mixed_clauses"":0,""monotone_negative_clauses"":30,""monotone_positive_clauses"":4}",001_pigeonhole_exact1_noise0.cnf,3,0.108182,fixed_point,COMPLETE,0.64005,sound_exact_r_and_capacity_families,COMPLETE,3,UNSAT,4,18.175435,results/phase2/20260816Tphase2validation01Z/logs/witnesses/001_pigeonhole_exact1_noise0.witness.json,True,18548,18548,kB,results/phase2/20260816Tphase2validation01Z/logs/hybrid/001_pigeonhole_exact1_noise0.log,
RUN_LKK,0.003359,"deterministic_accept(signal_count=36,clauses=51)",4,9a2737fb745844db1b7bf22acf6254f38ef6a03915d5ea38b318ceba0f73716e,0.0,,NOT_RUN,False,False,UNSATISFIABLE,19,0.070835,9,RUN_LKK,0.211703,monotone_cardinality_signal,"{""estimated_resolution_pairs"":120,""mirror_pairs"":0,""mixed_clauses"":15,""monotone_negative_clauses"":32,""monotone_positive_clauses"":4}",002_pigeonhole_exact1_noise50.cnf,3,0.142922,fixed_point,COMPLETE,0.668762,sound_exact_r_and_capacity_families,COMPLETE,3,UNSAT,4,15.816631,results/phase2/20260816Tphase2validation01Z/logs/witnesses/002_pigeonhole_exact1_noise50.witness.json,True,18732,18732,kB,results/phase2/20260816Tphase2validation01Z/logs/hybrid/002_pigeonhole_exact1_noise50.log,
RUN_LKK,0.004371,"deterministic_accept(signal_count=42,clauses=68)",4,741a6b704f679a80883269db607eb97d3a72fb0ca3c79ff6a4f07aac562de7e1,0.0,,NOT_RUN,False,False,UNSATISFIABLE,19,0.083772,9,RUN_LKK,0.321358,monotone_cardinality_signal,"{""estimated_resolution_pairs"":198,""mirror_pairs"":0,""mixed_clauses"":26,""monotone_negative_clauses"":32,""monotone_positive_clauses"":10}",003_pigeonhole_exact1_noise100.cnf,3,0.202775,fixed_point,COMPLETE,0.770891,sound_exact_r_and_capacity_families,COMPLETE,3,UNSAT,4,18.691315,results/phase2/20260816Tphase2validation01Z/logs/witnesses/003_pigeonhole_exact1_noise100.witness.json,True,18724,18724,kB,results/phase2/20260816Tphase2validation01Z/logs/hybrid/003_pigeonhole_exact1_noise100.log,
RUN_LKK,0.004697,"deterministic_accept(signal_count=52,clauses=102)",4,96fcf5e8a68933471b56bd40bc119ae68914711aabf4f55f212b36cab5d9e8c2,0.0,,NOT_RUN,False,False,UNSATISFIABLE,19,0.09228,9,RUN_LKK,0.533486,monotone_cardinality_signal,"{""estimated_resolution_pairs"":365,""mirror_pairs"":1,""mixed_clauses"":52,""monotone_negative_clauses"":39,""monotone_positive_clauses"":11}",004_pigeonhole_exact1_noise200.cnf,3,0.344062,fixed_point,COMPLETE,1.081561,sound_exact_r_and_capacity_families,COMPLETE,3,UNSAT,4,21.58292,results/phase2/20260816Tphase2validation01Z/logs/witnesses/004_pigeonhole_exact1_noise200.witness.json,True,18748,18748,kB,results/phase2/20260816Tphase2validation01Z/logs/hybrid/004_pigeonhole_exact1_noise200.log,
RUN_LKK,0.003476,"deterministic_accept(signal_count=60,clauses=60)",3,e2f9712a853120325a8c1e7b9c3316051842b7ab87ad141d24be41770a559626,0.0,,NOT_RUN,False,False,UNSATISFIABLE,23,0.077319,10,RUN_LKK,0.309471,monotone_cardinality_signal,"{""estimated_resolution_pairs"":480,""mirror_pairs"":0,""mixed_clauses"":0,""monotone_negative_clauses"":45,""monotone_positive_clauses"":15}",005_exact_r_allocation_noise0.cnf,5,0.180645,fixed_point,COMPLETE,3.986326,sound_exact_r_and_capacity_families,COMPLETE,5,UNSAT,6,20.813508,results/phase2/20260816Tphase2validation01Z/logs/witnesses/005_exact_r_allocation_noise0.witness.json,True,18588,18588,kB,results/phase2/20260816Tphase2validation01Z/logs/hybrid/005_exact_r_allocation_noise0.log,
RUN_LKK,0.004444,"deterministic_accept(signal_count=64,clauses=90)",3,0ec57f4aea24cf1af4078cb2266405aa58ad793dc2e248b89aa763d89120bf91,0.0,,NOT_RUN,False,False,UNSATISFIABLE,23,0.101289,10,RUN_LKK,0.477082,monotone_cardinality_signal,"{""estimated_resolution_pairs"":604,""mirror_pairs"":0,""mixed_clauses"":26,""monotone_negative_clauses"":46,""monotone_positive_clauses"":18}",006_exact_r_allocation_noise50.cnf,5,0.292369,fixed_point,COMPLETE,5.103543,sound_exact_r_and_capacity_families,COMPLETE,5,UNSAT,6,30.128394,results/phase2/20260816Tphase2validation01Z/logs/witnesses/006_exact_r_allocation_noise50.witness.json,True,18772,18772,kB,results/phase2/20260816Tphase2validation01Z/logs/hybrid/006_exact_r_allocation_noise50.log,
RUN_LKK,0.014822,"deterministic_accept(signal_count=80,clauses=120)",3,f05f8fddcb6cc2821091cde961194afd070ba0806c225593eaaed36d353a5c4c,0.0,,NOT_RUN,False,False,UNSATISFIABLE,23,0.091632,10,RUN_LKK,0.659212,monotone_cardinality_signal,"{""estimated_resolution_pairs"":716,""mirror_pairs"":0,""mixed_clauses"":40,""monotone_negative_clauses"":57,""monotone_positive_clauses"":23}",007_exact_r_allocation_noise100.cnf,5,0.373139,fixed_point,COMPLETE,5.233916,sound_exact_r_and_capacity_families,COMPLETE,5,UNSAT,6,23.454934,results/phase2/20260816Tphase2validation01Z/logs/witnesses/007_exact_r_allocation_noise100.witness.json,True,18892,18892,kB,results/phase2/20260816Tphase2validation01Z/logs/hybrid/007_exact_r_allocation_noise100.log,
RUN_LKK,0.003781,"deterministic_accept(signal_count=92,clauses=180)",3,962dc0e25d19b5a9fb279b60199b7515f3513373dad0da5cca56317a699a3da9,0.0,,NOT_RUN,False,False,UNSATISFIABLE,23,0.078335,10,RUN_LKK,0.928861,monotone_cardinality_signal,"{""estimated_resolution_pairs"":1028,""mirror_pairs"":0,""mixed_clauses"":88,""monotone_negative_clauses"":63,""monotone_positive_clauses"":29}",008_exact_r_allocation_noise200.cnf,5,0.528299,fixed_point,COMPLETE,4.923978,sound_exact_r_and_capacity_families,COMPLETE,5,UNSAT,6,24.969614,results/phase2/20260816Tphase2validation01Z/logs/witnesses/008_exact_r_allocation_noise200.witness.json,True,18848,18848,kB,results/phase2/20260816Tphase2validation01Z/logs/hybrid/008_exact_r_allocation_noise200.log,
RUN_LKK,0.004231,"deterministic_accept(signal_count=12,clauses=12)",4,c6b23e4bdfb090952ba203369ea81e79c65d4ae3881ec094e9e42c7e3039a4d1,66.423661,10,SATISFIABLE,False,True,SATISFIABLE,16,0.060791,10,RUN_LKK,0.069591,monotone_cardinality_signal,"{""estimated_resolution_pairs"":16,""mirror_pairs"":0,""mixed_clauses"":0,""monotone_negative_clauses"":8,""monotone_positive_clauses"":4}",009_bipartite_matching_noise0.cnf,4,0.06616,fixed_point,COMPLETE,0.203529,sound_exact_r_and_capacity_families,COMPLETE,4,FEASIBLE,4,85.163976,,False,18528,18528,kB,results/phase2/20260816Tphase2validation01Z/logs/hybrid/009_bipartite_matching_noise0.log,results/phase2/20260816Tphase2validation01Z/logs/fallback/009_bipartite_matching_noise0__cadical.log
RUN_LKK,0.003796,"deterministic_accept(signal_count=15,clauses=18)",4,9e62dc26521fbbda9625cbfeabde2ed816aa4190c9a8fc71931a1409c8470791,66.120547,10,SATISFIABLE,False,True,SATISFIABLE,16,0.060805,10,RUN_LKK,0.109958,monotone_cardinality_signal,"{""estimated_resolution_pairs"":24,""mirror_pairs"":0,""mixed_clauses"":3,""monotone_negative_clauses"":9,""monotone_positive_clauses"":6}",010_bipartite_matching_noise50.cnf,4,0.148852,fixed_point,COMPLETE,0.238731,sound_exact_r_and_capacity_families,COMPLETE,4,FEASIBLE,4,80.747755,,False,18576,18576,kB,results/phase2/20260816Tphase2validation01Z/logs/hybrid/010_bipartite_matching_noise50.log,results/phase2/20260816Tphase2validation01Z/logs/fallback/010_bipartite_matching_noise50__cadical.log
