instance,family,noise_percent,hidden,budget_probe,expected_result,lkk_hybrid_result,structural_result,witness_valid,fallback_used,cadical_result,kissat_result,cadical_ms,cadical_timed_out,cadical_exit_code,cadical_log,kissat_ms,kissat_timed_out,kissat_exit_code,kissat_log,mismatch
001_pigeonhole_exact1_noise0.cnf,pigeonhole_exact1,0,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.504846,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/001_pigeonhole_exact1_noise0__cadical.log,18.531691,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/001_pigeonhole_exact1_noise0__kissat.log,False
002_pigeonhole_exact1_noise50.cnf,pigeonhole_exact1,50,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.032119,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/002_pigeonhole_exact1_noise50__cadical.log,19.876481,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/002_pigeonhole_exact1_noise50__kissat.log,False
003_pigeonhole_exact1_noise100.cnf,pigeonhole_exact1,100,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.086237,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/003_pigeonhole_exact1_noise100__cadical.log,18.232310,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/003_pigeonhole_exact1_noise100__kissat.log,False
004_pigeonhole_exact1_noise200.cnf,pigeonhole_exact1,200,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.161004,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/004_pigeonhole_exact1_noise200__cadical.log,17.807866,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/004_pigeonhole_exact1_noise200__kissat.log,False
005_exact_r_allocation_noise0.cnf,exact_r_allocation,0,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,33.976477,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/005_exact_r_allocation_noise0__cadical.log,18.253918,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/005_exact_r_allocation_noise0__kissat.log,False
006_exact_r_allocation_noise50.cnf,exact_r_allocation,50,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.179846,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/006_exact_r_allocation_noise50__cadical.log,17.919535,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/006_exact_r_allocation_noise50__kissat.log,False
007_exact_r_allocation_noise100.cnf,exact_r_allocation,100,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.198591,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/007_exact_r_allocation_noise100__cadical.log,18.104437,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/007_exact_r_allocation_noise100__kissat.log,False
008_exact_r_allocation_noise200.cnf,exact_r_allocation,200,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.117653,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/008_exact_r_allocation_noise200__cadical.log,18.371861,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/008_exact_r_allocation_noise200__kissat.log,False
009_bipartite_matching_noise0.cnf,bipartite_matching,0,False,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,34.144811,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/009_bipartite_matching_noise0__cadical.log,18.177833,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/009_bipartite_matching_noise0__kissat.log,False
010_bipartite_matching_noise50.cnf,bipartite_matching,50,False,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,34.276470,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/010_bipartite_matching_noise50__cadical.log,9.817326,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/010_bipartite_matching_noise50__kissat.log,False
011_bipartite_matching_noise100.cnf,bipartite_matching,100,False,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,34.819412,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/011_bipartite_matching_noise100__cadical.log,18.028137,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/011_bipartite_matching_noise100__kissat.log,False
012_bipartite_matching_noise200.cnf,bipartite_matching,200,False,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,34.093847,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/012_bipartite_matching_noise200__cadical.log,10.507863,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/012_bipartite_matching_noise200__kissat.log,False
013_overlapping_hall_violation_noise0.cnf,overlapping_hall_violation,0,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.841910,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/013_overlapping_hall_violation_noise0__cadical.log,19.132916,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/013_overlapping_hall_violation_noise0__kissat.log,False
014_overlapping_hall_violation_noise50.cnf,overlapping_hall_violation,50,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,68.148635,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/014_overlapping_hall_violation_noise50__cadical.log,19.173149,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/014_overlapping_hall_violation_noise50__kissat.log,False
015_overlapping_hall_violation_noise100.cnf,overlapping_hall_violation,100,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,67.777881,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/015_overlapping_hall_violation_noise100__cadical.log,18.660846,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/015_overlapping_hall_violation_noise100__kissat.log,False
016_overlapping_hall_violation_noise200.cnf,overlapping_hall_violation,200,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,68.084408,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/016_overlapping_hall_violation_noise200__cadical.log,19.255182,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/016_overlapping_hall_violation_noise200__kissat.log,False
017_satisfiable_capacity_control_noise0.cnf,satisfiable_capacity_control,0,False,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,67.161261,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/017_satisfiable_capacity_control_noise0__cadical.log,18.320014,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/017_satisfiable_capacity_control_noise0__kissat.log,False
018_satisfiable_capacity_control_noise50.cnf,satisfiable_capacity_control,50,False,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,68.106490,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/018_satisfiable_capacity_control_noise50__cadical.log,18.948815,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/018_satisfiable_capacity_control_noise50__kissat.log,False
019_satisfiable_capacity_control_noise100.cnf,satisfiable_capacity_control,100,False,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,67.384673,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/019_satisfiable_capacity_control_noise100__cadical.log,18.895587,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/019_satisfiable_capacity_control_noise100__kissat.log,False
020_satisfiable_capacity_control_noise200.cnf,satisfiable_capacity_control,200,False,False,SATISFIABLE,SATISFIABLE,FEASIBLE,False,True,SATISFIABLE,SATISFIABLE,67.176458,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/020_satisfiable_capacity_control_noise200__cadical.log,19.104148,False,10,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/020_satisfiable_capacity_control_noise200__kissat.log,False
021_capacity_violation_noise0.cnf,capacity_violation,0,False,False,UNSATISFIABLE,UNSATISFIABLE,UNSAT,True,False,UNSATISFIABLE,UNSATISFIABLE,34.256841,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/021_capacity_violation_noise0__cadical.log,18.056771,False,20,results/phase2/20260816Tphase2validation02Z/logs/crosscheck/021_capacity_violation_noise0__kissat.log,False
