instance,family,scale,variant,expected_result,cadical_status,cadical_ms,cadical_timed_out,cadical_log,kissat_status,kissat_ms,kissat_timed_out,kissat_log,lkk_hybrid_status,lkk_hybrid_ms,passed
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,UNSATISFIABLE,UNSATISFIABLE,168.546486,False,results/phase3/20260816Tphase3benchmark01Z/logs/validation/001_pigeonhole_exact1_boundary_low_scale8_noise0__cadical.log,UNSATISFIABLE,68.490108,False,results/phase3/20260816Tphase3benchmark01Z/logs/validation/001_pigeonhole_exact1_boundary_low_scale8_noise0__kissat.log,UNSATISFIABLE,218.900116,True
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,UNSATISFIABLE,UNSATISFIABLE,4083.270101,False,results/phase3/20260816Tphase3benchmark01Z/logs/validation/002_pigeonhole_exact1_boundary_high_scale10_noise0__cadical.log,UNSATISFIABLE,469.330993,False,results/phase3/20260816Tphase3benchmark01Z/logs/validation/002_pigeonhole_exact1_boundary_high_scale10_noise0__kissat.log,UNSATISFIABLE,317.695067,True
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,UNSATISFIABLE,UNSATISFIABLE,217.876197,False,results/phase3/20260816Tphase3benchmark01Z/logs/validation/003_exact_r_allocation_boundary_low_scale9_noise0__cadical.log,UNSATISFIABLE,168.116865,False,results/phase3/20260816Tphase3benchmark01Z/logs/validation/003_exact_r_allocation_boundary_low_scale9_noise0__kissat.log,UNSATISFIABLE,568.960879,True
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,UNSATISFIABLE,UNSATISFIABLE,18895.826051,False,results/phase3/20260816Tphase3benchmark01Z/logs/validation/004_exact_r_allocation_boundary_high_scale11_noise0__cadical.log,UNSATISFIABLE,22712.716845,False,results/phase3/20260816Tphase3benchmark01Z/logs/validation/004_exact_r_allocation_boundary_high_scale11_noise0__kissat.log,UNSATISFIABLE,19195.180694,True
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,UNSATISFIABLE,UNSATISFIABLE,468.695493,False,results/phase3/20260816Tphase3benchmark01Z/logs/validation/005_overlapping_hall_violation_boundary_low_scale8_noise0__cadical.log,UNSATISFIABLE,117.654511,False,results/phase3/20260816Tphase3benchmark01Z/logs/validation/005_overlapping_hall_violation_boundary_low_scale8_noise0__kissat.log,UNSATISFIABLE,1172.176019,True
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,boundary_high,UNSATISFIABLE,UNSATISFIABLE,4083.451258,False,results/phase3/20260816Tphase3benchmark01Z/logs/validation/006_overlapping_hall_violation_boundary_high_scale9_noise0__cadical.log,UNSATISFIABLE,369.500224,False,results/phase3/20260816Tphase3benchmark01Z/logs/validation/006_overlapping_hall_violation_boundary_high_scale9_noise0__kissat.log,UNSATISFIABLE,5089.279217,True
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,UNSATISFIABLE,UNSATISFIABLE,770.700389,False,results/phase3/20260816Tphase3benchmark01Z/logs/validation/007_capacity2_violation_boundary_low_scale5_noise0__cadical.log,UNSATISFIABLE,269.177524,False,results/phase3/20260816Tphase3benchmark01Z/logs/validation/007_capacity2_violation_boundary_low_scale5_noise0__kissat.log,UNSATISFIABLE,621.782436,True
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,noise100,UNSATISFIABLE,UNSATISFIABLE,2433.664183,False,results/phase3/20260816Tphase3benchmark01Z/logs/validation/008_capacity2_violation_noise100_scale5_noise100__cadical.log,UNSATISFIABLE,219.002020,False,results/phase3/20260816Tphase3benchmark01Z/logs/validation/008_capacity2_violation_noise100_scale5_noise100__kissat.log,UNSATISFIABLE,669.893358,True
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,visible_noise0,UNSATISFIABLE,UNSATISFIABLE,470.625189,False,results/phase3/20260816Tphase3benchmark01Z/logs/validation/009_hidden_pigeonhole_visible_noise0_scale9_noise0__cadical.log,UNSATISFIABLE,169.751295,False,results/phase3/20260816Tphase3benchmark01Z/logs/validation/009_hidden_pigeonhole_visible_noise0_scale9_noise0__kissat.log,UNSATISFIABLE,469.724635,True
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,hidden_noise100,UNSATISFIABLE,UNSATISFIABLE,518.951070,False,results/phase3/20260816Tphase3benchmark01Z/logs/validation/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__cadical.log,UNSATISFIABLE,117.140159,False,results/phase3/20260816Tphase3benchmark01Z/logs/validation/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__kissat.log,UNSATISFIABLE,820.566183,True
