seed,boxes,resources,demands,capacities,reachable,exhaustive_result,flow_result,exhaustive_subset,exhaustive_ms,flow_ms,mismatch
500000,1,1,[1],[1],[[0]],FEASIBLE,FEASIBLE,null,0.013230000,0.022917000,False
500001,5,2,"[1,1,1,1,1]","[1,2]","[[0,1],[1],[1],[1],[1]]",UNSAT,UNSAT,"[1,2,3]",0.054016000,0.049956000,False
500002,6,4,"[1,1,3,1,1,1]","[2,2,3,3]","[[0,1,3],[0,2,3],[0,2,3],[0,1,2],[2,3],[2,3]]",FEASIBLE,FEASIBLE,null,0.242893000,0.065972000,False
500003,6,4,"[1,1,1,1,3,1]","[2,1,1,2]","[[0,2,3],[2],[3],[2,3],[0,1,2,3],[2,3]]",UNSAT,UNSAT,"[1,2,3,4]",0.192925000,0.067122000,False
500004,1,4,[1],"[3,3,2,2]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.014226000,0.016750000,False
500005,5,4,"[3,1,1,1,1]","[1,1,2,2]","[[0,2,3],[0,1,2,3],[2],[0,1,2,3],[0,1,2,3]]",UNSAT,UNSAT,"[0,1,2,3,4]",0.117387000,0.072531000,False
500006,3,3,"[2,2,1]","[1,3,2]","[[0,1,2],[0,1],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.022269000,0.040323000,False
500007,4,1,"[1,1,1,1]",[2],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.017577000,0.036512000,False
500008,1,3,[1],"[2,3,2]",[[1]],FEASIBLE,FEASIBLE,null,0.004776000,0.016571000,False
500009,1,1,[1],[1],[[0]],FEASIBLE,FEASIBLE,null,0.003209000,0.018339000,False
500010,3,6,"[1,1,1]","[2,2,3,3,1,2]","[[0,1,4,5],[1,3],[1,5]]",FEASIBLE,FEASIBLE,null,0.037519000,0.035671000,False
500011,3,6,"[3,2,1]","[1,1,2,1,2,2]","[[0,2,3,5],[2,3],[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.036943000,0.050373000,False
500012,2,4,"[1,1]","[3,2,1,2]","[[1],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.012468000,0.021383000,False
500013,5,2,"[1,1,1,2,2]","[1,1]","[[0,1],[0],[0,1],[0,1],[0,1]]",UNSAT,UNSAT,"[0,3]",0.018271000,0.047692000,False
500014,6,1,"[1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.060686000,0.044591000,False
500015,1,4,[1],"[2,1,3,3]","[[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.005312000,0.124582000,False
500016,4,6,"[2,3,3,2]","[1,1,2,2,2,3]","[[0,1,2,3,4],[0,2,3,4],[0,1,3,4,5],[0,2,4,5]]",FEASIBLE,FEASIBLE,null,0.096244000,0.063091000,False
500017,5,4,"[2,1,1,3,2]","[2,2,2,3]","[[1,2],[0,1,3],[0,1,2],[0,1,2,3],[2,3]]",FEASIBLE,FEASIBLE,null,0.117272000,0.063353000,False
500018,7,4,"[2,1,1,2,2,1,1]","[2,1,3,2]","[[1,2],[2],[0,2],[1,2,3],[0,1,2,3],[0,1,2,3],[1]]",UNSAT,UNSAT,"[0,6]",0.045406000,0.074560000,False
500019,5,5,"[1,1,1,3,1]","[2,1,3,1,2]","[[0,1],[0,2,3,4],[0],[1,2,3,4],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.141124000,0.063253000,False
500020,7,2,"[1,1,1,2,1,1,1]","[2,1]","[[1],[1],[1],[0,1],[0,1],[1],[0,1]]",UNSAT,UNSAT,"[0,1]",0.017751000,0.054088000,False
500021,6,5,"[2,1,1,3,1,2]","[3,3,3,2,1]","[[0,1,4],[1],[0,2,3,4],[0,1,2],[0,1,2,4],[0,1,3]]",FEASIBLE,FEASIBLE,null,0.294024000,0.069339000,False
500022,6,1,"[1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.011512000,0.040971000,False
500023,1,2,[1],"[3,2]",[[0]],FEASIBLE,FEASIBLE,null,0.004078000,0.012615000,False
500024,7,3,"[2,3,2,2,1,1,1]","[1,2,2]","[[1,2],[0,1,2],[1,2],[0,1],[0],[2],[0]]",UNSAT,UNSAT,"[1,3]",0.042712000,0.061390000,False
500025,4,3,"[1,2,1,1]","[3,3,2]","[[0,2],[1,2],[1],[2]]",FEASIBLE,FEASIBLE,null,0.045898000,0.029941000,False
500026,1,2,[1],"[2,1]",[[1]],FEASIBLE,FEASIBLE,null,0.003979000,0.012691000,False
500027,1,1,[1],[1],[[0]],FEASIBLE,FEASIBLE,null,0.003156000,0.011567000,False
500028,1,6,[1],"[1,3,2,1,2,2]",[[3]],FEASIBLE,FEASIBLE,null,0.006228000,0.037464000,False
500029,5,4,"[1,1,1,2,3]","[2,2,2,3]","[[1,2],[0,1,2,3],[1],[0,1,2,3],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.117413000,0.164534000,False
500030,4,3,"[2,1,1,1]","[1,2,1]","[[0,1,2],[0],[2],[0]]",UNSAT,UNSAT,"[1,3]",0.026849000,0.040612000,False
500031,1,5,[1],"[3,3,1,3,3]",[[2]],FEASIBLE,FEASIBLE,null,0.005833000,0.014398000,False
500032,7,2,"[1,1,1,2,1,1,1]","[1,1]","[[1],[1],[0],[0,1],[0,1],[1],[0,1]]",UNSAT,UNSAT,"[0,1]",0.018043000,0.052375000,False
500033,5,6,"[1,1,2,1,1]","[2,2,3,3,2,2]","[[5],[0,1,2,3,4,5],[0,1,2],[0,1,2,3,4,5],[0,2,3,4]]",FEASIBLE,FEASIBLE,null,0.162820000,0.046900000,False
500034,6,1,"[1,1,1,1,1,1]",[1],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1]",0.011772000,0.040819000,False
500035,3,5,"[1,2,2]","[2,3,1,3,3]","[[0,1,2,3,4],[1,2,4],[0,2]]",FEASIBLE,FEASIBLE,null,0.031788000,0.042710000,False
500036,6,2,"[1,2,1,1,2,1]","[1,1]","[[1],[0,1],[0,1],[0,1],[0,1],[0]]",UNSAT,UNSAT,"[0,1]",0.015989000,0.050158000,False
500037,2,6,"[1,1]","[2,3,1,3,3,3]","[[1,2,4],[4]]",FEASIBLE,FEASIBLE,null,0.016574000,0.021092000,False
500038,1,6,[3],"[1,3,1,3,1,1]","[[0,1,2,3,5]]",FEASIBLE,FEASIBLE,null,0.006564000,0.022006000,False
500039,5,5,"[2,1,2,2,1]","[2,1,3,1,1]","[[0,2,4],[0,1,2,3],[2,3,4],[0,1,4],[4]]",FEASIBLE,FEASIBLE,null,0.142418000,0.062382000,False
500040,6,2,"[2,1,1,1,1,1]","[3,1]","[[0,1],[0,1],[0],[0],[0,1],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.087878000,0.048478000,False
500041,3,1,"[1,1,1]",[2],"[[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.026701000,0.030016000,False
500042,4,5,"[3,1,2,1]","[1,3,2,2,2]","[[0,1,3,4],[3,4],[0,2],[0]]",UNSAT,UNSAT,"[2,3]",0.041715000,0.056616000,False
500043,3,7,"[2,1,1]","[3,2,1,2,1,2,2]","[[0,1,3,4,5],[1],[0,1,5]]",FEASIBLE,FEASIBLE,null,0.040531000,0.130191000,False
500044,1,2,[1],"[1,3]",[[1]],FEASIBLE,FEASIBLE,null,0.004000000,0.012103000,False
500045,6,1,"[1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.030994000,0.039599000,False
500046,3,3,"[1,2,1]","[3,3,2]","[[0],[0,1],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.021073000,0.024862000,False
