run_order,instance,family,scale,variant,noise_percent,variables,clauses,cnf_sha256,expected_result,repetition,timeout_seconds,solver,solver_version,binary_sha256,seed,runtime_ms,status,timed_out,exit_code,peak_rss_kb,conflicts,decisions,propagations,raw_log,benefit_gate_decision,benefit_gate_ms,benefit_gate_reason,boxes_found,fallback_cdcl_ms,fallback_exit_code,fallback_status,fallback_timed_out,fallback_used,final_result,flow_edges,flow_ms,flow_nodes,gate_decision,gate_ms,gate_reason,gate_signals,maximum_flow,recovery_ms,recovery_reason,recovery_status,registry_ms,registry_reason,registry_status,resources_found,structural_result,total_demand,total_lkk_hybrid_ms,witness_file,witness_valid,total_lkk_end_to_end_ms
1,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,0,56,372,d7a1b12214169d82f4cb8ae46abdcb99e1f678166a3fb94d1dd240beb3b1413e,UNSATISFIABLE,1,5.0,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,35.772306,UNSATISFIABLE,False,20,1680,1951,2616,46203,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00001__001_pigeonhole_exact1_boundary_low_scale8_noise0__kissat__seed1__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,0,56,372,d7a1b12214169d82f4cb8ae46abdcb99e1f678166a3fb94d1dd240beb3b1413e,UNSATISFIABLE,1,5.0,lkk_hybrid,,,1,218.174506,UNSATISFIABLE,False,0,19348,,,,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/hybrid/00002__001_pigeonhole_exact1_boundary_low_scale8_noise0__lkk_hybrid__seed1__rep1.log,RUN_LKK,0.006684,"deterministic_accept(signal_count=372,clauses=372)",8,0.0,,NOT_RUN,False,False,UNSATISFIABLE,71,0.167704,17,RUN_LKK,1.498468,monotone_cardinality_signal,"{""estimated_resolution_pairs"":728,""mirror_pairs"":0,""mixed_clauses"":0,""monotone_negative_clauses"":364,""monotone_positive_clauses"":8}",7,1.214704,fixed_point,COMPLETE,32.604382,sound_exact_r_and_capacity_families,COMPLETE,7,UNSAT,8,64.686879,/work/results/phase3/20260816Tphase3benchmark01Z/logs/measurements/witnesses/00002__001_pigeonhole_exact1_boundary_low_scale8_noise0__lkk_hybrid__seed1__rep1.witness.json,True,218.174506
3,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,0,56,372,d7a1b12214169d82f4cb8ae46abdcb99e1f678166a3fb94d1dd240beb3b1413e,UNSATISFIABLE,1,5.0,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,117.883458,UNSATISFIABLE,False,20,2552,0,6781,78128,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00003__001_pigeonhole_exact1_boundary_low_scale8_noise0__cadical__seed1__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,0,56,372,d7a1b12214169d82f4cb8ae46abdcb99e1f678166a3fb94d1dd240beb3b1413e,UNSATISFIABLE,1,5.0,lkk_hybrid,,,2,268.800094,UNSATISFIABLE,False,0,19480,,,,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/hybrid/00004__001_pigeonhole_exact1_boundary_low_scale8_noise0__lkk_hybrid__seed2__rep1.log,RUN_LKK,0.007595,"deterministic_accept(signal_count=372,clauses=372)",8,0.0,,NOT_RUN,False,False,UNSATISFIABLE,71,0.243872,17,RUN_LKK,1.88229,monotone_cardinality_signal,"{""estimated_resolution_pairs"":728,""mirror_pairs"":0,""mixed_clauses"":0,""monotone_negative_clauses"":364,""monotone_positive_clauses"":8}",7,1.446818,fixed_point,COMPLETE,44.904536,sound_exact_r_and_capacity_families,COMPLETE,7,UNSAT,8,80.16502,/work/results/phase3/20260816Tphase3benchmark01Z/logs/measurements/witnesses/00004__001_pigeonhole_exact1_boundary_low_scale8_noise0__lkk_hybrid__seed2__rep1.witness.json,True,268.800094
5,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,0,56,372,d7a1b12214169d82f4cb8ae46abdcb99e1f678166a3fb94d1dd240beb3b1413e,UNSATISFIABLE,1,5.0,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,2,118.089616,UNSATISFIABLE,False,20,2552,0,6781,78128,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00005__001_pigeonhole_exact1_boundary_low_scale8_noise0__cadical__seed2__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,0,56,372,d7a1b12214169d82f4cb8ae46abdcb99e1f678166a3fb94d1dd240beb3b1413e,UNSATISFIABLE,1,5.0,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,2,35.14607,UNSATISFIABLE,False,20,1652,1941,2707,46345,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00006__001_pigeonhole_exact1_boundary_low_scale8_noise0__kissat__seed2__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,0,56,372,d7a1b12214169d82f4cb8ae46abdcb99e1f678166a3fb94d1dd240beb3b1413e,UNSATISFIABLE,1,5.0,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,3,118.084367,UNSATISFIABLE,False,20,2552,0,6781,78128,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00007__001_pigeonhole_exact1_boundary_low_scale8_noise0__cadical__seed3__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,0,56,372,d7a1b12214169d82f4cb8ae46abdcb99e1f678166a3fb94d1dd240beb3b1413e,UNSATISFIABLE,1,5.0,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,3,35.527822,UNSATISFIABLE,False,20,1692,1666,2222,39783,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/direct/00008__001_pigeonhole_exact1_boundary_low_scale8_noise0__kissat__seed3__rep1.log,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,0,56,372,d7a1b12214169d82f4cb8ae46abdcb99e1f678166a3fb94d1dd240beb3b1413e,UNSATISFIABLE,1,5.0,lkk_hybrid,,,3,217.830735,UNSATISFIABLE,False,0,19492,,,,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/hybrid/00009__001_pigeonhole_exact1_boundary_low_scale8_noise0__lkk_hybrid__seed3__rep1.log,RUN_LKK,0.00536,"deterministic_accept(signal_count=372,clauses=372)",8,0.0,,NOT_RUN,False,False,UNSATISFIABLE,71,0.244037,17,RUN_LKK,1.281113,monotone_cardinality_signal,"{""estimated_resolution_pairs"":728,""mirror_pairs"":0,""mixed_clauses"":0,""monotone_negative_clauses"":364,""monotone_positive_clauses"":8}",7,1.008378,fixed_point,COMPLETE,40.607896,sound_exact_r_and_capacity_families,COMPLETE,7,UNSAT,8,78.207071,/work/results/phase3/20260816Tphase3benchmark01Z/logs/measurements/witnesses/00009__001_pigeonhole_exact1_boundary_low_scale8_noise0__lkk_hybrid__seed3__rep1.witness.json,True,217.830735
10,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,0,90,775,7c48905b7eea8c29dd5cba65fbdd9e47e938a4dc397c98b66bb07dd1c76f760e,UNSATISFIABLE,1,5.0,lkk_hybrid,,,1,318.582942,UNSATISFIABLE,False,0,20300,,,,results/phase3/20260816Tphase3benchmark01Z/logs/measurements/hybrid/00010__002_pigeonhole_exact1_boundary_high_scale10_noise0__lkk_hybrid__seed1__rep1.log,RUN_LKK,0.009415,"deterministic_accept(signal_count=775,clauses=775)",10,0.0,,NOT_RUN,False,False,UNSATISFIABLE,109,0.303984,21,RUN_LKK,2.694024,monotone_cardinality_signal,"{""estimated_resolution_pairs"":1530,""mirror_pairs"":0,""mixed_clauses"":0,""monotone_negative_clauses"":765,""monotone_positive_clauses"":10}",9,2.137516,fixed_point,COMPLETE,123.793012,sound_exact_r_and_capacity_families,COMPLETE,9,UNSAT,10,169.579234,/work/results/phase3/20260816Tphase3benchmark01Z/logs/measurements/witnesses/00010__002_pigeonhole_exact1_boundary_high_scale10_noise0__lkk_hybrid__seed1__rep1.witness.json,True,318.582942
