instance,family,scale,variant,solver,runs,solved,timeouts,median_solved_ms,median_wall_ms,par2_ms,max_peak_rss_kb,cadical_par2_over_lkk,kissat_par2_over_lkk
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,cadical,3,3,0,118.084367,118.084367,118.019147,2552,,
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,kissat,3,3,0,35.527822,35.527822,35.482066,1692,,
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,lkk_hybrid,3,3,0,218.174506,218.174506,234.935112,19492,0.502348,0.151029
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,cadical,3,2,1,4410.721745,4485.847817,6273.814496,7748,,
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,kissat,3,3,0,519.888725,519.888725,503.392013,3128,,
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,lkk_hybrid,3,3,0,319.211446,319.211446,319.330715,20300,19.646762,1.576397
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,cadical,3,3,0,220.623353,220.623353,236.400636,2884,,
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,kissat,3,3,0,168.923930,168.923930,185.653550,2524,,
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,lkk_hybrid,3,3,0,620.619032,620.619032,637.237717,19932,0.370977,0.291341
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,cadical,3,0,3,,5036.445586,10000.000000,1724,,
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,kissat,3,0,3,,5038.070854,10000.000000,1744,,
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,lkk_hybrid,3,0,3,,5036.749212,10000.000000,1724,1.000000,1.000000
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,cadical,3,3,0,468.453411,468.453411,468.252840,3568,,
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,kissat,3,3,0,167.057980,167.057980,167.074522,2456,,
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,lkk_hybrid,3,3,0,1170.157586,1170.157586,1137.599546,19184,0.411615,0.146866
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,boundary_high,cadical,3,3,0,4384.832151,4384.832151,4117.404012,7208,,
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,boundary_high,kissat,3,3,0,418.702226,418.702226,435.096050,3272,,
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,boundary_high,lkk_hybrid,3,1,2,4134.261056,5036.281880,8044.753685,19496,0.511812,0.054084
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,cadical,3,3,0,971.013968,971.013968,1172.337046,7952,,
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,kissat,3,3,0,268.800371,268.800371,285.314714,2828,,
