instance,family,scale,variant,variables,clauses,solver,solver_version,binary_sha256,seed,runtime_ms,status,timed_out,exit_code,peak_rss_kb,conflicts,decisions,propagations,raw_log
001_pigeonhole_exact1_default_scale8.cnf,pigeonhole_exact1,8,default,56,372,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,90.18106200000001,UNSATISFIABLE,False,20,2552,0,6781,78128,/work/results/phase3/20260816Tphase3calibration02Z/logs/001_pigeonhole_exact1_default_scale8__cadical.log
001_pigeonhole_exact1_default_scale8.cnf,pigeonhole_exact1,8,default,56,372,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,33.397716,UNSATISFIABLE,False,20,1548,1951,2616,46203,/work/results/phase3/20260816Tphase3calibration02Z/logs/001_pigeonhole_exact1_default_scale8__kissat.log
002_pigeonhole_exact1_default_scale10.cnf,pigeonhole_exact1,10,default,90,775,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,3002.9480999999996,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/002_pigeonhole_exact1_default_scale10__cadical.log
002_pigeonhole_exact1_default_scale10.cnf,pigeonhole_exact1,10,default,90,775,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,398.900619,UNSATISFIABLE,False,20,3124,30284,45848,895524,/work/results/phase3/20260816Tphase3calibration02Z/logs/002_pigeonhole_exact1_default_scale10__kissat.log
003_pigeonhole_exact1_default_scale12.cnf,pigeonhole_exact1,12,default,132,1398,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,3003.640551,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/003_pigeonhole_exact1_default_scale12__cadical.log
003_pigeonhole_exact1_default_scale12.cnf,pigeonhole_exact1,12,default,132,1398,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,3002.726618,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/003_pigeonhole_exact1_default_scale12__kissat.log
004_pigeonhole_exact1_default_scale14.cnf,pigeonhole_exact1,14,default,182,2289,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,3000.692999,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/004_pigeonhole_exact1_default_scale14__cadical.log
004_pigeonhole_exact1_default_scale14.cnf,pigeonhole_exact1,14,default,182,2289,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,3004.424352,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/004_pigeonhole_exact1_default_scale14__kissat.log
005_pigeonhole_exact1_default_scale16.cnf,pigeonhole_exact1,16,default,240,3496,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,3000.277101,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/005_pigeonhole_exact1_default_scale16__cadical.log
005_pigeonhole_exact1_default_scale16.cnf,pigeonhole_exact1,16,default,240,3496,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,3003.521679,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/005_pigeonhole_exact1_default_scale16__kissat.log
006_pigeonhole_exact1_default_scale18.cnf,pigeonhole_exact1,18,default,306,5067,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,3000.697539,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/006_pigeonhole_exact1_default_scale18__cadical.log
006_pigeonhole_exact1_default_scale18.cnf,pigeonhole_exact1,18,default,306,5067,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,3003.055779,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/006_pigeonhole_exact1_default_scale18__kissat.log
007_pigeonhole_exact1_default_scale20.cnf,pigeonhole_exact1,20,default,380,7050,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,3000.505428,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/007_pigeonhole_exact1_default_scale20__cadical.log
007_pigeonhole_exact1_default_scale20.cnf,pigeonhole_exact1,20,default,380,7050,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,3003.687683,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/007_pigeonhole_exact1_default_scale20__kissat.log
008_exact_r_allocation_default_scale7.cnf,exact_r_allocation,7,default,28,210,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,48.741537,UNSATISFIABLE,False,20,2020,0,507,4914,/work/results/phase3/20260816Tphase3calibration02Z/logs/008_exact_r_allocation_default_scale7__cadical.log
008_exact_r_allocation_default_scale7.cnf,exact_r_allocation,7,default,28,210,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,23.263678,UNSATISFIABLE,False,20,1432,491,574,7232,/work/results/phase3/20260816Tphase3calibration02Z/logs/008_exact_r_allocation_default_scale7__kissat.log
009_exact_r_allocation_default_scale9.cnf,exact_r_allocation,9,default,45,555,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,176.72201800000002,UNSATISFIABLE,False,20,2888,0,17793,181743,/work/results/phase3/20260816Tphase3calibration02Z/logs/009_exact_r_allocation_default_scale9__cadical.log
009_exact_r_allocation_default_scale9.cnf,exact_r_allocation,9,default,45,555,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,153.971533,UNSATISFIABLE,False,20,2256,8181,10125,233008,/work/results/phase3/20260816Tphase3calibration02Z/logs/009_exact_r_allocation_default_scale9__kissat.log
010_exact_r_allocation_default_scale11.cnf,exact_r_allocation,11,default,66,1221,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,3001.8439799999996,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/010_exact_r_allocation_default_scale11__cadical.log
010_exact_r_allocation_default_scale11.cnf,exact_r_allocation,11,default,66,1221,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,3002.4437919999996,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/010_exact_r_allocation_default_scale11__kissat.log
011_exact_r_allocation_default_scale13.cnf,exact_r_allocation,13,default,91,2366,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,3000.6736269999997,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/011_exact_r_allocation_default_scale13__cadical.log
011_exact_r_allocation_default_scale13.cnf,exact_r_allocation,13,default,91,2366,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,3002.868389,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/011_exact_r_allocation_default_scale13__kissat.log
012_exact_r_allocation_default_scale15.cnf,exact_r_allocation,15,default,120,4180,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,3003.5225149999997,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/012_exact_r_allocation_default_scale15__cadical.log
012_exact_r_allocation_default_scale15.cnf,exact_r_allocation,15,default,120,4180,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,3003.658678,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/012_exact_r_allocation_default_scale15__kissat.log
013_overlapping_hall_violation_default_scale8.cnf,overlapping_hall_violation,8,default,144,1097,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,462.022194,UNSATISFIABLE,False,20,3480,10,49432,475080,/work/results/phase3/20260816Tphase3calibration02Z/logs/013_overlapping_hall_violation_default_scale8__cadical.log
013_overlapping_hall_violation_default_scale8.cnf,overlapping_hall_violation,8,default,144,1097,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,115.041538,UNSATISFIABLE,False,20,2456,8422,12151,245912,/work/results/phase3/20260816Tphase3calibration02Z/logs/013_overlapping_hall_violation_default_scale8__kissat.log
014_overlapping_hall_violation_default_scale10.cnf,overlapping_hall_violation,10,default,220,2111,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,3004.9454610000003,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/014_overlapping_hall_violation_default_scale10__cadical.log
014_overlapping_hall_violation_default_scale10.cnf,overlapping_hall_violation,10,default,220,2111,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,1889.708913,UNSATISFIABLE,False,20,5844,125042,168844,3347000,/work/results/phase3/20260816Tphase3calibration02Z/logs/014_overlapping_hall_violation_default_scale10__kissat.log
015_overlapping_hall_violation_default_scale12.cnf,overlapping_hall_violation,12,default,312,3613,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,3004.803462,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/015_overlapping_hall_violation_default_scale12__cadical.log
015_overlapping_hall_violation_default_scale12.cnf,overlapping_hall_violation,12,default,312,3613,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,3002.104256,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/015_overlapping_hall_violation_default_scale12__kissat.log
016_overlapping_hall_violation_default_scale14.cnf,overlapping_hall_violation,14,default,420,5699,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,3004.5672990000003,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/016_overlapping_hall_violation_default_scale14__cadical.log
016_overlapping_hall_violation_default_scale14.cnf,overlapping_hall_violation,14,default,420,5699,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,3002.38865,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/016_overlapping_hall_violation_default_scale14__kissat.log
017_overlapping_hall_violation_default_scale16.cnf,overlapping_hall_violation,16,default,544,8465,cadical,3.0.1,77236219227fe9bc340e54563f347e2ec1b60f0189a076899dd82340fd3a304d,1,3005.364144,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/017_overlapping_hall_violation_default_scale16__cadical.log
017_overlapping_hall_violation_default_scale16.cnf,overlapping_hall_violation,16,default,544,8465,kissat,4.0.4,e3d85acb36b9feb1828cedbfca70941efe69f76dc80fa99273e60ed0ed73e168,1,3004.866077,TIMEOUT,True,-9,,,,,/work/results/phase3/20260816Tphase3calibration02Z/logs/017_overlapping_hall_violation_default_scale16__kissat.log
