seed,boxes,resources,demands,capacities,reachable,exhaustive_result,flow_result,exhaustive_subset,exhaustive_ms,flow_ms,mismatch
500000,1,1,[1],[1],[[0]],FEASIBLE,FEASIBLE,null,0.012844000,0.024082000,False
500001,5,2,"[1,1,1,1,1]","[1,2]","[[0,1],[1],[1],[1],[1]]",UNSAT,UNSAT,"[1,2,3]",0.059426000,0.056047000,False
500002,6,4,"[1,1,3,1,1,1]","[2,2,3,3]","[[0,1,3],[0,2,3],[0,2,3],[0,1,2],[2,3],[2,3]]",FEASIBLE,FEASIBLE,null,0.258738000,0.069736000,False
500003,6,4,"[1,1,1,1,3,1]","[2,1,1,2]","[[0,2,3],[2],[3],[2,3],[0,1,2,3],[2,3]]",UNSAT,UNSAT,"[1,2,3,4]",0.205953000,0.067367000,False
500004,1,4,[1],"[3,3,2,2]","[[0,1]]",FEASIBLE,FEASIBLE,null,0.005721000,0.016625000,False
500005,5,4,"[3,1,1,1,1]","[1,1,2,2]","[[0,2,3],[0,1,2,3],[2],[0,1,2,3],[0,1,2,3]]",UNSAT,UNSAT,"[0,1,2,3,4]",0.128229000,0.071718000,False
500006,3,3,"[2,2,1]","[1,3,2]","[[0,1,2],[0,1],[0,1,2]]",FEASIBLE,FEASIBLE,null,0.023882000,0.046471000,False
500007,4,1,"[1,1,1,1]",[2],"[[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2]",0.018967000,0.036413000,False
500008,1,3,[1],"[2,3,2]",[[1]],FEASIBLE,FEASIBLE,null,0.005590000,0.014950000,False
500009,1,1,[1],[1],[[0]],FEASIBLE,FEASIBLE,null,0.003480000,0.011937000,False
500010,3,6,"[1,1,1]","[2,2,3,3,1,2]","[[0,1,4,5],[1,3],[1,5]]",FEASIBLE,FEASIBLE,null,0.038906000,0.030261000,False
500011,3,6,"[3,2,1]","[1,1,2,1,2,2]","[[0,2,3,5],[2,3],[0,1,2,3,4,5]]",FEASIBLE,FEASIBLE,null,0.038740000,0.058434000,False
500012,2,4,"[1,1]","[3,2,1,2]","[[1],[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.013373000,0.022764000,False
500013,5,2,"[1,1,1,2,2]","[1,1]","[[0,1],[0],[0,1],[0,1],[0,1]]",UNSAT,UNSAT,"[0,3]",0.019067000,0.049651000,False
500014,6,1,"[1,1,1,1,1,1]",[3],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,"[0,1,2,3]",0.064870000,0.048196000,False
500015,1,4,[1],"[2,1,3,3]","[[0,1,2,3]]",FEASIBLE,FEASIBLE,null,0.005691000,0.135875000,False
500016,4,6,"[2,3,3,2]","[1,1,2,2,2,3]","[[0,1,2,3,4],[0,2,3,4],[0,1,3,4,5],[0,2,4,5]]",FEASIBLE,FEASIBLE,null,0.083787000,0.059617000,False
500017,5,4,"[2,1,1,3,2]","[2,2,2,3]","[[1,2],[0,1,3],[0,1,2],[0,1,2,3],[2,3]]",FEASIBLE,FEASIBLE,null,0.123741000,0.067729000,False
500018,7,4,"[2,1,1,2,2,1,1]","[2,1,3,2]","[[1,2],[2],[0,2],[1,2,3],[0,1,2,3],[0,1,2,3],[1]]",UNSAT,UNSAT,"[0,6]",0.047583000,0.082177000,False
500019,5,5,"[1,1,1,3,1]","[2,1,3,1,2]","[[0,1],[0,2,3,4],[0],[1,2,3,4],[0,1,2,3,4]]",FEASIBLE,FEASIBLE,null,0.148502000,0.067230000,False
500020,7,2,"[1,1,1,2,1,1,1]","[2,1]","[[1],[1],[1],[0,1],[0,1],[1],[0,1]]",UNSAT,UNSAT,"[0,1]",0.033538000,0.059027000,False
