instance,family,scale,variant,expected_result,cadical_status,cadical_ms,cadical_timed_out,cadical_log,kissat_status,kissat_ms,kissat_timed_out,kissat_log,lkk_hybrid_status,lkk_hybrid_ms,passed
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,UNSATISFIABLE,UNSATISFIABLE,118.372948,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/001_pigeonhole_exact1_boundary_low_scale8_noise0__cadical.log,UNSATISFIABLE,34.946790,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/001_pigeonhole_exact1_boundary_low_scale8_noise0__kissat.log,UNSATISFIABLE,218.299152,True
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,UNSATISFIABLE,UNSATISFIABLE,4687.449096,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/002_pigeonhole_exact1_boundary_high_scale10_noise0__cadical.log,UNSATISFIABLE,469.504267,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/002_pigeonhole_exact1_boundary_high_scale10_noise0__kissat.log,UNSATISFIABLE,318.604796,True
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,UNSATISFIABLE,UNSATISFIABLE,217.681901,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/003_exact_r_allocation_boundary_low_scale9_noise0__cadical.log,UNSATISFIABLE,168.525217,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/003_exact_r_allocation_boundary_low_scale9_noise0__kissat.log,UNSATISFIABLE,571.871887,True
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,UNSATISFIABLE,UNSATISFIABLE,17545.601213,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/004_exact_r_allocation_boundary_high_scale11_noise0__cadical.log,UNSATISFIABLE,22112.639557,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/004_exact_r_allocation_boundary_high_scale11_noise0__kissat.log,UNSATISFIABLE,19350.274038,True
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,UNSATISFIABLE,UNSATISFIABLE,570.984002,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/005_overlapping_hall_violation_boundary_low_scale8_noise0__cadical.log,UNSATISFIABLE,118.234992,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/005_overlapping_hall_violation_boundary_low_scale8_noise0__kissat.log,UNSATISFIABLE,1223.584048,True
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,boundary_high,UNSATISFIABLE,UNSATISFIABLE,4143.791885,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/006_overlapping_hall_violation_boundary_high_scale9_noise0__cadical.log,UNSATISFIABLE,369.390567,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/006_overlapping_hall_violation_boundary_high_scale9_noise0__kissat.log,UNSATISFIABLE,4686.013948,True
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,UNSATISFIABLE,UNSATISFIABLE,669.796672,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/007_capacity2_violation_boundary_low_scale5_noise0__cadical.log,UNSATISFIABLE,268.367958,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/007_capacity2_violation_boundary_low_scale5_noise0__kissat.log,UNSATISFIABLE,620.900337,True
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,noise100,UNSATISFIABLE,UNSATISFIABLE,2026.663407,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/008_capacity2_violation_noise100_scale5_noise100__cadical.log,UNSATISFIABLE,217.935861,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/008_capacity2_violation_noise100_scale5_noise100__kissat.log,UNSATISFIABLE,669.869571,True
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,visible_noise0,UNSATISFIABLE,UNSATISFIABLE,419.556114,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/009_hidden_pigeonhole_visible_noise0_scale9_noise0__cadical.log,UNSATISFIABLE,117.116766,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/009_hidden_pigeonhole_visible_noise0_scale9_noise0__kissat.log,UNSATISFIABLE,418.986442,True
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,hidden_noise100,UNSATISFIABLE,UNSATISFIABLE,519.888454,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__cadical.log,UNSATISFIABLE,118.266477,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/010_hidden_pigeonhole_hidden_noise100_scale9_noise100__kissat.log,UNSATISFIABLE,870.326537,True
011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,sat_fallback,SATISFIABLE,SATISFIABLE,117.549759,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/011_satisfiable_capacity_control_sat_fallback_scale24_noise0__cadical.log,SATISFIABLE,35.362736,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/011_satisfiable_capacity_control_sat_fallback_scale24_noise0__kissat.log,SATISFIABLE,821.751201,True
012_random_3sat_uniform_scale150_noise0.cnf,random_3sat,150,uniform,SATISFIABLE,SATISFIABLE,117.665571,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/012_random_3sat_uniform_scale150_noise0__cadical.log,SATISFIABLE,117.976122,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/012_random_3sat_uniform_scale150_noise0__kissat.log,SATISFIABLE,318.695231,True
013_random_3sat_planted_sat_scale400_noise0.cnf,random_3sat,400,planted_sat,SATISFIABLE,SATISFIABLE,820.191394,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/013_random_3sat_planted_sat_scale400_noise0__cadical.log,SATISFIABLE,117.859984,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/013_random_3sat_planted_sat_scale400_noise0__kissat.log,SATISFIABLE,1020.774585,True
014_random_3sat_planted_sat_scale800_noise0.cnf,random_3sat,800,planted_sat,SATISFIABLE,SATISFIABLE,972.417806,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/014_random_3sat_planted_sat_scale800_noise0__cadical.log,SATISFIABLE,169.184018,False,results/phase3/20260816Tphase3candidate02Z/logs/validation/014_random_3sat_planted_sat_scale800_noise0__kissat.log,SATISFIABLE,1273.697556,True
