instance,family,scale,variant,noise_percent,seed,variables,clauses,direct_structural_clauses,encoded_structural_clauses,noise_clauses,boxes,resources,demands,capacities,reachable,expected_result,cnf_sha256
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,0,32001,56,372,372,372,0,8,7,"[1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6],[0,1,2,3,4,5,6]]",UNSATISFIABLE,d7a1b12214169d82f4cb8ae46abdcb99e1f678166a3fb94d1dd240beb3b1413e
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,0,32002,90,775,775,775,0,10,9,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8]]",UNSATISFIABLE,7c48905b7eea8c29dd5cba65fbdd9e47e938a4dc397c98b66bb07dd1c76f760e
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,0,32003,45,555,555,555,0,5,9,"[2,2,2,2,2]","[1,1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8]]",UNSATISFIABLE,d4c34d34c9e60c784da433a7d46db173255ce8a302f34dedade29f3cff625c5b
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,0,32004,66,1221,1221,1221,0,6,11,"[2,2,2,2,2,2]","[1,1,1,1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7,8,9,10],[0,1,2,3,4,5,6,7,8,9,10],[0,1,2,3,4,5,6,7,8,9,10],[0,1,2,3,4,5,6,7,8,9,10],[0,1,2,3,4,5,6,7,8,9,10],[0,1,2,3,4,5,6,7,8,9,10]]",UNSATISFIABLE,45b9c77daf04aa7b23c475ec4db018f1c81f9cf4d409de9a862bba02d5735f11
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,0,32005,144,1097,1097,1097,0,17,17,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[8,9,10,11,12,13,14,15,16],[8,9,10,11,12,13,14,15,16],[8,9,10,11,12,13,14,15,16],[8,9,10,11,12,13,14,15,16],[8,9,10,11,12,13,14,15,16],[8,9,10,11,12,13,14,15,16],[8,9,10,11,12,13,14,15,16],[8,9,10,11,12,13,14,15,16]]",UNSATISFIABLE,64dd020aa88c22deea202e06e4dfaa9d932b35f2c9d45fed680663cd8c18c2c2
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,boundary_high,0,32006,180,1549,1549,1549,0,19,19,"[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[0,1,2,3,4,5,6,7,8],[9,10,11,12,13,14,15,16,17,18],[9,10,11,12,13,14,15,16,17,18],[9,10,11,12,13,14,15,16,17,18],[9,10,11,12,13,14,15,16,17,18],[9,10,11,12,13,14,15,16,17,18],[9,10,11,12,13,14,15,16,17,18],[9,10,11,12,13,14,15,16,17,18],[9,10,11,12,13,14,15,16,17,18],[9,10,11,12,13,14,15,16,17,18]]",UNSATISFIABLE,feaefc6ff68046ee608f459c6688d99d8640db9e7b4c7d255314658080965f50
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,0,32007,55,946,946,946,0,11,5,"[1,1,1,1,1,1,1,1,1,1,1]","[2,2,2,2,2]","[[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4]]",UNSATISFIABLE,81fd6bd9961b33abf0cf74c0a1740179f87689b3cd424c88f4ec324b14c844be
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,noise100,100,32008,528,1892,946,946,946,11,5,"[1,1,1,1,1,1,1,1,1,1,1]","[2,2,2,2,2]","[[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4],[0,1,2,3,4]]",UNSATISFIABLE,8cf905634095c0d9e2d622aa86ce5084c4b2682c677eb67a5e32a2577eb1c5f9
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,visible_noise0,0,32009,657,1134,549,1134,0,9,8,"[1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7]]",UNSATISFIABLE,d0c30ee9db160cd8909edf36e5530ff51a3f890d47498130ca08413f55adedd4
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,hidden_noise100,100,32010,1224,2268,549,1134,1134,9,8,"[1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1]","[[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7],[0,1,2,3,4,5,6,7]]",UNSATISFIABLE,e99d4fc83bef887da5c2de8ff54f6c03b3accc8112da5bfe7635d993305796b5
