instance,family,scale,variant,solver,runs,solved,timeouts,median_solved_ms,median_wall_ms,par2_ms,max_peak_rss_kb,cadical_par2_over_lkk,kissat_par2_over_lkk
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,cadical,3,3,0,119.347646,119.347646,136.592860,2552,,
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,kissat,3,3,0,69.129715,69.129715,58.084480,1744,,
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,lkk_hybrid,3,3,0,269.327569,269.327569,252.916923,19488,0.540070,0.229658
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,cadical,3,3,0,4788.041467,4788.041467,4704.423947,8032,,
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,kissat,3,3,0,468.751192,468.751192,468.660087,3128,,
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,lkk_hybrid,3,3,0,319.506446,319.506446,319.111034,20288,14.742279,1.468643
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,cadical,3,3,0,167.218715,167.218715,184.487758,2880,,
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,kissat,3,3,0,168.459493,168.459493,185.043320,2524,,
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,lkk_hybrid,3,3,0,518.946519,518.946519,535.708535,19992,0.344381,0.345418
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,cadical,3,0,3,,5038.493149,10000.000000,1720,,
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,kissat,3,0,3,,5039.345171,10000.000000,1720,,
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,lkk_hybrid,3,0,3,,5038.366826,10000.000000,1688,1.000000,1.000000
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,cadical,3,3,0,518.431844,518.431844,552.088506,3568,,
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,kissat,3,3,0,167.225742,167.225742,184.017107,2452,,
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,boundary_low,lkk_hybrid,3,3,0,1220.966265,1220.966265,1188.742323,19240,0.464431,0.154800
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,boundary_high,cadical,3,3,0,4385.610501,4385.610501,4302.150499,7208,,
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,boundary_high,kissat,3,3,0,418.572236,418.572236,418.962814,3276,,
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,boundary_high,lkk_hybrid,3,1,2,4435.164522,5038.299653,8145.054841,19476,0.528192,0.051438
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,cadical,3,3,0,1072.161494,1072.161494,1273.274660,7952,,
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,kissat,3,3,0,269.818261,269.818261,286.042448,2832,,
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,boundary_low,lkk_hybrid,3,3,0,620.218454,620.218454,636.760078,20848,1.999614,0.449215
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,noise100,cadical,3,3,0,1624.043836,1624.043836,1691.683427,8564,,
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,noise100,kissat,3,3,0,218.134274,218.134274,251.689965,2924,,
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,noise100,lkk_hybrid,3,3,0,671.202158,671.202158,687.355230,23088,2.461149,0.366172
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,visible_noise0,cadical,3,3,0,570.258443,570.258443,554.315510,3508,,
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,visible_noise0,kissat,3,3,0,168.748299,168.748299,169.072556,2464,,
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,visible_noise0,lkk_hybrid,3,3,0,469.558011,469.558011,503.148728,22940,1.101693,0.336029
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,hidden_noise100,cadical,3,3,0,572.705502,572.705502,570.781350,3944,,
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,hidden_noise100,kissat,3,3,0,168.440772,168.440772,151.536286,2548,,
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,hidden_noise100,lkk_hybrid,3,3,0,820.320796,820.320796,837.013357,20300,0.681926,0.181044
011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,sat_fallback,cadical,3,3,0,118.111068,118.111068,118.390454,3112,,
011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,sat_fallback,kissat,3,3,0,19.917260,19.917260,24.671391,1796,,
011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,sat_fallback,lkk_hybrid,3,3,0,871.009102,871.009102,854.132841,24656,0.138609,0.028885
