campaign,instance,family,expected_result,python_structural_result,native_structural_result,structural_equal,native_final_result,cadical_result,kissat_result,witness_valid,witness_check_ms,passed
phase2,001_pigeonhole_exact1_noise0.cnf,pigeonhole_exact1,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,5.896583,True
phase2,002_pigeonhole_exact1_noise50.cnf,pigeonhole_exact1,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,6.475568,True
phase2,003_pigeonhole_exact1_noise100.cnf,pigeonhole_exact1,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,10.463528,True
phase2,004_pigeonhole_exact1_noise200.cnf,pigeonhole_exact1,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,10.222386,True
phase2,005_exact_r_allocation_noise0.cnf,exact_r_allocation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,9.692962,True
phase2,006_exact_r_allocation_noise50.cnf,exact_r_allocation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,8.270252,True
phase2,007_exact_r_allocation_noise100.cnf,exact_r_allocation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,6.837568,True
phase2,008_exact_r_allocation_noise200.cnf,exact_r_allocation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,11.996131,True
phase2,009_bipartite_matching_noise0.cnf,bipartite_matching,SATISFIABLE,FEASIBLE,FEASIBLE,True,SATISFIABLE,SATISFIABLE,SATISFIABLE,,0.0,True
phase2,010_bipartite_matching_noise50.cnf,bipartite_matching,SATISFIABLE,FEASIBLE,FEASIBLE,True,SATISFIABLE,SATISFIABLE,SATISFIABLE,,0.0,True
phase2,011_bipartite_matching_noise100.cnf,bipartite_matching,SATISFIABLE,FEASIBLE,FEASIBLE,True,SATISFIABLE,SATISFIABLE,SATISFIABLE,,0.0,True
phase2,012_bipartite_matching_noise200.cnf,bipartite_matching,SATISFIABLE,FEASIBLE,FEASIBLE,True,SATISFIABLE,SATISFIABLE,SATISFIABLE,,0.0,True
phase2,013_overlapping_hall_violation_noise0.cnf,overlapping_hall_violation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,6.058342,True
phase2,014_overlapping_hall_violation_noise50.cnf,overlapping_hall_violation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,6.049425,True
phase2,015_overlapping_hall_violation_noise100.cnf,overlapping_hall_violation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,6.649089,True
phase2,016_overlapping_hall_violation_noise200.cnf,overlapping_hall_violation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,8.817262,True
phase2,017_satisfiable_capacity_control_noise0.cnf,satisfiable_capacity_control,SATISFIABLE,FEASIBLE,FEASIBLE,True,SATISFIABLE,SATISFIABLE,SATISFIABLE,,0.0,True
phase2,018_satisfiable_capacity_control_noise50.cnf,satisfiable_capacity_control,SATISFIABLE,FEASIBLE,FEASIBLE,True,SATISFIABLE,SATISFIABLE,SATISFIABLE,,0.0,True
phase2,019_satisfiable_capacity_control_noise100.cnf,satisfiable_capacity_control,SATISFIABLE,FEASIBLE,FEASIBLE,True,SATISFIABLE,SATISFIABLE,SATISFIABLE,,0.0,True
phase2,020_satisfiable_capacity_control_noise200.cnf,satisfiable_capacity_control,SATISFIABLE,FEASIBLE,FEASIBLE,True,SATISFIABLE,SATISFIABLE,SATISFIABLE,,0.0,True
phase2,021_capacity_violation_noise0.cnf,capacity_violation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,6.462126,True
phase2,022_capacity_violation_noise50.cnf,capacity_violation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,10.203907,True
phase2,023_capacity_violation_noise100.cnf,capacity_violation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,6.094013,True
phase2,024_capacity_violation_noise200.cnf,capacity_violation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,7.424685,True
phase2,025_hidden_cardinality_noise0.cnf,hidden_cardinality,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,7.876646,True
phase2,026_hidden_cardinality_noise50.cnf,hidden_cardinality,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,7.455695,True
phase2,027_hidden_cardinality_noise100.cnf,hidden_cardinality,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,7.590923,True
phase2,028_hidden_cardinality_noise200.cnf,hidden_cardinality,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,8.077779,True
phase2,029_recovery_budget_abort_control_noise0.cnf,recovery_budget_abort_control,UNSATISFIABLE,UNKNOWN,UNKNOWN,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,0.0,True
phase2,030_recovery_budget_abort_control_noise50.cnf,recovery_budget_abort_control,UNSATISFIABLE,UNKNOWN,UNKNOWN,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,0.0,True
phase2,031_recovery_budget_abort_control_noise100.cnf,recovery_budget_abort_control,UNSATISFIABLE,UNKNOWN,UNKNOWN,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,0.0,True
phase2,032_recovery_budget_abort_control_noise200.cnf,recovery_budget_abort_control,UNSATISFIABLE,UNKNOWN,UNKNOWN,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,0.0,True
phase3,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,10.071487,True
phase3,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,19.672091,True
phase3,003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,UNSATISFIABLE,UNSAT,UNSAT,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,True,16.989439,True
phase3,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,UNSATISFIABLE,UNKNOWN,UNKNOWN,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,0.0,True
phase3,005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,UNSATISFIABLE,UNKNOWN,UNKNOWN,True,UNSATISFIABLE,UNSATISFIABLE,UNSATISFIABLE,,0.0,True
