seed,boxes,resources,demands,capacities,reachable,exhaustive_result,python_flow_result,native_flow_result,exhaustive_subset,exhaustive_ms,python_flow_ms,native_flow_ms,mismatch
700000,3,5,"[1,2,1]","[3,2,3,2,2]","[[3,4],[3,4],[1,2,3]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.063066,0.073846,0.007403,False
700001,4,4,"[3,2,2,1]","[1,3,2,2]","[[0,1,2],[0,2],[0,2,3],[3]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.022291,0.073443,0.005728,False
700002,3,7,"[2,2,1]","[2,2,3,1,2,3,2]","[[5,6],[0,1,2,4,5,6],[0,1,2,3,4,5,6]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.049982,0.06307,0.003749,False
700003,3,1,"[1,1,1]",[3],"[[0],[0],[0]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.014212,0.022467,0.001258,False
700004,2,2,"[1,1]","[3,3]","[[0,1],[1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.010821,0.020507,0.001191,False
700005,6,1,"[1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.040896,0.054259,0.003218,False
700006,4,1,"[1,1,1,1]",[2],"[[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.021847,0.040255,0.002105,False
700007,3,5,"[1,1,1]","[3,1,1,1,2]","[[0,1,2,3,4],[2,4],[1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.039842,0.03137,0.002005,False
700008,7,3,"[1,2,1,1,2,2,1]","[1,2,2]","[[2],[0,1,2],[1],[2],[1,2],[0,1,2],[1]]",UNSAT,UNSAT,UNSAT,"[0, 3, 4]",0.119257,0.195981,0.00456,False
700009,5,1,"[1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.058117,0.046564,0.002235,False
700010,7,1,"[1,1,1,1,1,1,1]",[2],"[[0],[0],[0],[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.048537,0.05278,0.002453,False
700011,2,2,"[1,2]","[2,2]","[[0,1],[0,1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.01058,0.0245,0.001201,False
700012,1,2,[1],"[3,1]","[[0,1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.004788,0.014437,0.000819,False
700013,6,2,"[1,1,1,2,1,2]","[2,3]","[[0],[0],[0],[0,1],[1],[0,1]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.055863,0.055961,0.002865,False
700014,2,5,"[1,1]","[2,3,3,1,2]","[[2],[0,1]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.019332,0.027528,0.001246,False
700015,3,7,"[1,1,3]","[2,3,1,2,2,3,2]","[[1],[4,5,6],[1,3,4,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.048742,0.037056,0.002098,False
700016,6,4,"[1,2,2,1,1,2]","[2,1,1,1]","[[1],[1,2,3],[0,1,2,3],[0,1],[1,2,3],[0,1,2,3]]",UNSAT,UNSAT,UNSAT,"[0, 1, 2]",0.096063,0.083825,0.005588,False
700017,2,6,"[1,1]","[3,2,1,3,3,1]","[[0],[1,2,3,4,5]]",FEASIBLE,FEASIBLE,FEASIBLE,null,0.019872,0.025604,0.00139,False
700018,4,1,"[1,1,1,1]",[1],"[[0],[0],[0],[0]]",UNSAT,UNSAT,UNSAT,"[0, 1]",0.010893,0.038391,0.001709,False
