instance,family,scale,variant,variables,clauses,cnf_sha256,solver,runtime_ms,status,timed_out,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,fallback_ms,structural_result,fallback_used,peak_rss_kb,witness_check_ms
001_pigeonhole_exact1_scale8_phase4a_sweep.cnf,pigeonhole_exact1,8,phase4a_sweep,56,372,b592f7eb50acaf4ef19086702489f78a4652b8720ca6dbb776a2f57332fb8c76,native_lkk,34.318324,UNSATISFIABLE,False,1.25784,0.048094,0.104247,8.30787,0.011305,0,UNSAT,False,4144,5.8744
001_pigeonhole_exact1_scale8_phase4a_sweep.cnf,pigeonhole_exact1,8,phase4a_sweep,56,372,b592f7eb50acaf4ef19086702489f78a4652b8720ca6dbb776a2f57332fb8c76,cadical,117.125938,UNSATISFIABLE,False,,,,,,,,,2552,
001_pigeonhole_exact1_scale8_phase4a_sweep.cnf,pigeonhole_exact1,8,phase4a_sweep,56,372,b592f7eb50acaf4ef19086702489f78a4652b8720ca6dbb776a2f57332fb8c76,kissat,34.483545,UNSATISFIABLE,False,,,,,,,,,1732,
002_pigeonhole_exact1_scale9_phase4a_sweep.cnf,pigeonhole_exact1,9,phase4a_sweep,72,549,8375ac92c5794a81d337eb6bc8af7a45549221f0853944c3300a6dc0631341cc,native_lkk,66.709686,UNSATISFIABLE,False,1.47756,0.085657,0.15376,24.6379,0.021394,0,UNSAT,False,4228,7.4515
002_pigeonhole_exact1_scale9_phase4a_sweep.cnf,pigeonhole_exact1,9,phase4a_sweep,72,549,8375ac92c5794a81d337eb6bc8af7a45549221f0853944c3300a6dc0631341cc,cadical,518.587651,UNSATISFIABLE,False,,,,,,,,,3372,
002_pigeonhole_exact1_scale9_phase4a_sweep.cnf,pigeonhole_exact1,9,phase4a_sweep,72,549,8375ac92c5794a81d337eb6bc8af7a45549221f0853944c3300a6dc0631341cc,kissat,219.488448,UNSATISFIABLE,False,,,,,,,,,2060,
003_pigeonhole_exact1_scale10_phase4a_sweep.cnf,pigeonhole_exact1,10,phase4a_sweep,90,775,7056875616f4c990cc82f321add903343d824a8b48d83f67141fa097e309c5d6,native_lkk,117.121411,UNSATISFIABLE,False,1.79723,0.0943,0.203866,54.4565,0.023668,0,UNSAT,False,4152,11.6417
003_pigeonhole_exact1_scale10_phase4a_sweep.cnf,pigeonhole_exact1,10,phase4a_sweep,90,775,7056875616f4c990cc82f321add903343d824a8b48d83f67141fa097e309c5d6,cadical,4233.535163,UNSATISFIABLE,False,,,,,,,,,7748,
003_pigeonhole_exact1_scale10_phase4a_sweep.cnf,pigeonhole_exact1,10,phase4a_sweep,90,775,7056875616f4c990cc82f321add903343d824a8b48d83f67141fa097e309c5d6,kissat,468.297509,UNSATISFIABLE,False,,,,,,,,,3124,
004_pigeonhole_exact1_scale11_phase4a_sweep.cnf,pigeonhole_exact1,11,phase4a_sweep,110,1056,ac8478458a27bf67a0d59744432c05a178323902e42e08673dd8d6d74df8a79f,native_lkk,117.067548,UNSATISFIABLE,False,1.62217,0.111067,0.304804,88.1716,0.033352,0,UNSAT,False,4420,18.2091
