instance,family,scale,variant,seed,solver,runtime_ms,status,timed_out,peak_rss_kb
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,1,kissat,34.085442,UNSATISFIABLE,False,1712
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,1,native_lkk,34.522268,UNSATISFIABLE,False,4304
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,1,cadical,116.920374,UNSATISFIABLE,False,2552
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,2,native_lkk,34.702098,UNSATISFIABLE,False,4160
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,2,cadical,117.184889,UNSATISFIABLE,False,2552
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,2,kissat,34.234133,UNSATISFIABLE,False,1808
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,3,cadical,116.840215,UNSATISFIABLE,False,2548
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,3,kissat,34.520803,UNSATISFIABLE,False,1808
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,3,native_lkk,35.387846,UNSATISFIABLE,False,4128
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,1,native_lkk,118.273334,UNSATISFIABLE,False,4352
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,1,cadical,4032.260172,UNSATISFIABLE,False,7748
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,1,kissat,418.238768,UNSATISFIABLE,False,3124
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,2,cadical,4230.757711,UNSATISFIABLE,False,7544
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,2,kissat,518.022689,UNSATISFIABLE,False,3124
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,2,native_lkk,117.700009,UNSATISFIABLE,False,4428
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,3,kissat,468.365759,UNSATISFIABLE,False,3004
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,3,native_lkk,66.953547,UNSATISFIABLE,False,4364
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,3,cadical,4784.267285,UNSATISFIABLE,False,8032
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,1,cadical,217.351623,UNSATISFIABLE,False,2880
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,1,kissat,168.649227,UNSATISFIABLE,False,2256
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,1,native_lkk,67.337077,UNSATISFIABLE,False,4248
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,2,kissat,218.948476,UNSATISFIABLE,False,2524
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,2,native_lkk,66.774141,UNSATISFIABLE,False,4060
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,2,cadical,217.657299,UNSATISFIABLE,False,2852
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,3,native_lkk,67.827656,UNSATISFIABLE,False,4100
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,3,cadical,218.054556,UNSATISFIABLE,False,2804
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,3,kissat,168.394506,UNSATISFIABLE,False,2028
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,1,kissat,5034.493107,TIMEOUT,True,1688
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,1,native_lkk,5036.131022,TIMEOUT,True,1752
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,1,cadical,5035.934974,TIMEOUT,True,1688
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,2,native_lkk,5040.008794,TIMEOUT,True,1688
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,2,cadical,5039.962297,TIMEOUT,True,1736
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,2,kissat,5038.807701,TIMEOUT,True,1624
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,3,cadical,5037.536471,TIMEOUT,True,1768
