instance,seed,parse_ms,gate_ms,benefit_gate_ms,recovery_ms,registry_ms,flow_ms,witness_ms,fallback_ms,total_end_to_end_ms,peak_rss_kb,boxes_found,capacity_groups,flow_nodes,flow_edges,structural_result,fallback_used,recovery_abort_reason,witness_check_ms
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,1,1.85543,0.066804,0.007004,0.107401,9.65198,0.015382,3.16501,0,15.275,3836,8,7,17,71,UNSAT,False,,6.1425
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,2,1.93396,0.062701,0.006674,0.105097,8.43495,0.012128,2.69959,0,13.5625,3712,8,7,17,71,UNSAT,False,,5.8449
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,3,2.17566,0.069343,0.007247,0.114637,8.8588,0.012429,2.67292,0,14.3015,3704,8,7,17,71,UNSAT,False,,5.9184
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,1,2.6277,0.147539,0.008343,0.277243,50.4906,0.023258,4.90292,0,58.9738,3764,10,9,21,109,UNSAT,False,,13.489
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,2,2.25937,0.131457,0.007742,0.279257,51.8262,0.022548,5.28846,0,60.2703,3820,10,9,21,109,UNSAT,False,,13.8572
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,3,2.52461,0.12138,0.011486,0.243551,48.5219,0.019738,4.558,0,56.4527,3796,10,9,21,109,UNSAT,False,,13.7259
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,1,2.61673,0.11826,0.012473,0.21416,22.4211,0.014207,3.84044,0,29.6928,3816,5,9,16,59,UNSAT,False,,10.6616
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,2,2.39971,0.141022,0.006906,0.199851,21.4055,0.014323,4.03017,0,28.5993,3684,5,9,16,59,UNSAT,False,,10.6086
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,3,2.62612,0.111914,0.007749,0.183819,23.0028,0.015501,4.57605,0,31.0621,3640,5,9,16,59,UNSAT,False,,10.33
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,1,,,,,,,,,,,,,,,,,,0.0
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,2,,,,,,,,,,,,,,,,,,0.0
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,3,,,,,,,,,,,,,,,,,,0.0
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,1,2.00028,0.120355,0.005602,0.298227,330.755,0,0,388.529,722.742,6304,17,0,0,0,UNKNOWN,True,,0.0
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,2,2.60067,0.124768,0.007197,0.287182,325.415,0,0,316.043,645.368,6192,17,0,0,0,UNKNOWN,True,,0.0
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,3,5.60785,0.220521,0.017055,0.422187,370.879,0,0,329.028,707.217,6536,17,0,0,0,UNKNOWN,True,,0.0
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,1,2.44509,0.185655,0.007995,0.40014,383.537,0,0,4076.15,4464.19,10064,19,0,0,0,UNKNOWN,True,,0.0
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,2,3.01055,0.242632,0.016884,0.489599,421.526,0,0,4451.22,4878.14,10380,19,0,0,0,UNKNOWN,True,,0.0
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,3,2.4114,0.208189,0.005802,0.396609,402.035,0,0,3271.69,3677.94,9052,19,0,0,0,UNKNOWN,True,,0.0
007_capacity2_violation_boundary_low_scale5_noise0.cnf,1,1.97115,0.11179,0.005378,0.251156,231.777,0.013761,4.78711,0,239.277,3896,11,5,18,71,UNSAT,False,,18.9009
007_capacity2_violation_boundary_low_scale5_noise0.cnf,2,1.98809,0.114499,0.005281,0.257684,213.272,0.013492,5.5316,0,221.556,3644,11,5,18,71,UNSAT,False,,19.2538
007_capacity2_violation_boundary_low_scale5_noise0.cnf,3,2.08402,0.114234,0.006262,0.251428,210.403,0.014083,3.73535,0,216.96,3904,11,5,18,71,UNSAT,False,,19.4764
008_capacity2_violation_noise100_scale5_noise100.cnf,1,2.63813,0.321003,0.00629,0.638868,274.165,0.015762,7.02649,0,285.245,4204,11,5,18,71,UNSAT,False,,26.2256
008_capacity2_violation_noise100_scale5_noise100.cnf,2,2.63817,0.322758,0.007127,0.614788,300.789,0.019275,7.83643,0,312.651,4196,11,5,18,71,UNSAT,False,,25.566
008_capacity2_violation_noise100_scale5_noise100.cnf,3,2.55639,0.333476,0.00664,0.637752,286.342,0.029296,8.03024,0,298.431,4068,11,5,18,71,UNSAT,False,,24.2284
