file,line,operation,primitive_calls,total_calls,self_seconds,cumulative_seconds
structure.py,133,recover_exact_registry,14,14,1.4352972160000002,8.200333726
cnf.py,216,combinations_as_clauses,613087,613087,0.427566445,3.9454520270000004
cnf.py,18,canonical_clause,645512,645512,1.003060607,3.7186718520000004
structure.py,163,<setcomp>,762778,762778,0.32681446200000003,0.437989815
witness.py,173,<setcomp>,43,43,0.000553826,0.022555147
structure.py,227,<setcomp>,31153,31153,0.022519461,0.022519461
witness.py,155,<setcomp>,54,54,0.00032044100000000003,0.0075310360000000005
structure.py,218,<setcomp>,6659,6659,0.002348544,0.002348544
cnf.py,179,<setcomp>,1750,1750,0.001148933,0.001277956
structure.py,155,<setcomp>,1191,1191,0.000838031,0.0011323560000000002
~,0,<method 'update' of '_hashlib.HASH' objects>,20,20,0.00042277700000000005,0.00042277700000000005
witness.py,114,<setcomp>,691,691,0.000332741,0.000370279
~,0,<built-in method _hashlib.openssl_sha256>,20,20,0.000306841,0.000306841
~,0,<method 'hexdigest' of '_hashlib.HASH' objects>,20,20,0.000178519,0.000178519
