instance,current_traced_bytes,peak_traced_bytes,recovery_status,registry_status,top_allocations
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,139795,1112857,COMPLETE,COMPLETE,"[{""location"":""/work/phase2/cnf.py:135"",""bytes"":52616,""count"":744},{""location"":""/work/phase2/cnf.py:66"",""bytes"":18564,""count"":663},{""location"":""/work/phase2/cnf.py:24"",""bytes"":15272,""count"":272},{""location"":""/work/phase2/structure.py:222"",""bytes"":8400,""count"":150},{""location"":""/work/phase2/cnf.py:139"",""bytes"":3808,""count"":68},{""location"":""/work/phase2/cnf.py:81"",""bytes"":3336,""count"":3},{""location"":""/work/phase2/cnf.py:134"",""bytes"":3220,""count"":115},{""location"":""/work/phase2/cnf.py:154"",""bytes"":3016,""count"":1},{""location"":""/work/phase2/structure.py:246"",""bytes"":2744,""count"":49},{""location"":""/usr/lib/python3.11/encodings/ascii.py:20"",""bytes"":2476,""count"":7}]"
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,227910,1147770,COMPLETE,COMPLETE,"[{""location"":""/work/phase2/cnf.py:135"",""bytes"":105400,""count"":1550},{""location"":""/work/phase2/cnf.py:66"",""bytes"":40460,""count"":1445},{""location"":""/work/phase2/cnf.py:24"",""bytes"":33992,""count"":606},{""location"":""/work/phase2/cnf.py:134"",""bytes"":14504,""count"":518},{""location"":""/work/phase2/cnf.py:81"",""bytes"":6552,""count"":3},{""location"":""/work/phase2/cnf.py:154"",""bytes"":6240,""count"":1},{""location"":""/work/phase2/structure.py:222"",""bytes"":3864,""count"":69},{""location"":""/work/phase2/structure.py:250"",""bytes"":3600,""count"":9},{""location"":""/work/phase2/structure.py:183"",""bytes"":3360,""count"":10},{""location"":""/work/phase2/structure.py:194"",""bytes"":2096,""count"":20}]"
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,177512,1131167,COMPLETE,COMPLETE,"[{""location"":""/work/phase2/cnf.py:135"",""bytes"":75480,""count"":1110},{""location"":""/work/phase2/cnf.py:24"",""bytes"":37976,""count"":564},{""location"":""/work/phase2/cnf.py:66"",""bytes"":35840,""count"":1280},{""location"":""/work/phase2/cnf.py:134"",""bytes"":8344,""count"":298},{""location"":""/work/phase2/cnf.py:81"",""bytes"":4784,""count"":3},{""location"":""/work/phase2/cnf.py:154"",""bytes"":4480,""count"":1},{""location"":""/work/phase2/structure.py:183"",""bytes"":3920,""count"":5},{""location"":""/work/phase2/structure.py:262"",""bytes"":1280,""count"":18},{""location"":""/work/phase2/structure.py:250"",""bytes"":1200,""count"":10},{""location"":""/work/phase2/structure.py:194"",""bytes"":720,""count"":10}]"
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,363750,1234931,COMPLETE,UNKNOWN,"[{""location"":""/work/phase2/cnf.py:135"",""bytes"":166056,""count"":2442},{""location"":""/work/phase2/cnf.py:66"",""bytes"":85400,""count"":3050},{""location"":""/work/phase2/cnf.py:24"",""bytes"":62680,""count"":905},{""location"":""/work/phase2/cnf.py:134"",""bytes"":26992,""count"":964},{""location"":""/work/phase2/cnf.py:81"",""bytes"":10104,""count"":3},{""location"":""/work/phase2/cnf.py:154"",""bytes"":9808,""count"":1},{""location"":""/work/phase2/cnf.py:55"",""bytes"":423,""count"":6},{""location"":""/work/phase2/structure.py:178"",""bytes"":296,""count"":2},{""location"":""/work/phase2/cnf.py:153"",""bytes"":296,""count"":2},{""location"":""/work/phase2/structure.py:93"",""bytes"":272,""count"":2}]"
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,282022,1140319,COMPLETE,UNKNOWN,"[{""location"":""/work/phase2/cnf.py:135"",""bytes"":149192,""count"":2194},{""location"":""/work/phase2/cnf.py:66"",""bytes"":58380,""count"":2085},{""location"":""/work/phase2/cnf.py:134"",""bytes"":23520,""count"":840},{""location"":""/work/phase2/structure.py:222"",""bytes"":21728,""count"":388},{""location"":""/work/phase2/cnf.py:81"",""bytes"":9104,""count"":3},{""location"":""/work/phase2/cnf.py:154"",""bytes"":8816,""count"":1},{""location"":""/work/phase2/structure.py:183"",""bytes"":5136,""count"":17},{""location"":""/work/phase2/structure.py:194"",""bytes"":1776,""count"":34},{""location"":""/work/phase2/structure.py:246"",""bytes"":1456,""count"":26},{""location"":""/work/phase2/cnf.py:55"",""bytes"":429,""count"":6}]"
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,423880,1232054,COMPLETE,UNKNOWN,"[{""location"":""/work/phase2/cnf.py:135"",""bytes"":210664,""count"":3098},{""location"":""/work/phase2/cnf.py:66"",""bytes"":83300,""count"":2975},{""location"":""/work/phase2/cnf.py:24"",""bytes"":53944,""count"":953},{""location"":""/work/phase2/cnf.py:134"",""bytes"":36176,""count"":1292},{""location"":""/work/phase2/cnf.py:81"",""bytes"":12712,""count"":3},{""location"":""/work/phase2/cnf.py:154"",""bytes"":12432,""count"":1},{""location"":""/work/phase2/structure.py:183"",""bytes"":7032,""count"":19},{""location"":""/work/phase2/structure.py:194"",""bytes"":1976,""count"":38},{""location"":""/work/phase2/structure.py:244"",""bytes"":1752,""count"":15},{""location"":""/work/phase2/structure.py:166"",""bytes"":1080,""count"":9}]"
007_capacity2_violation_boundary_low_scale5_noise0.cnf,271998,1148815,COMPLETE,COMPLETE,"[{""location"":""/work/phase2/cnf.py:135"",""bytes"":128656,""count"":1892},{""location"":""/work/phase2/cnf.py:66"",""bytes"":68600,""count"":2450},{""location"":""/work/phase2/cnf.py:134"",""bytes"":19292,""count"":689},{""location"":""/work/phase2/structure.py:183"",""bytes"":13184,""count"":103},{""location"":""/work/phase2/structure.py:222"",""bytes"":8640,""count"":135},{""location"":""/work/phase2/cnf.py:81"",""bytes"":7880,""count"":3},{""location"":""/work/phase2/cnf.py:154"",""bytes"":7608,""count"":1},{""location"":""/work/phase2/structure.py:250"",""bytes"":6800,""count"":5},{""location"":""/work/phase2/structure.py:246"",""bytes"":6400,""count"":100},{""location"":""/work/phase2/structure.py:194"",""bytes"":1144,""count"":22}]"
008_capacity2_violation_noise100_scale5_noise100.cnf,555248,1303173,COMPLETE,COMPLETE,"[{""location"":""/work/phase2/cnf.py:135"",""bytes"":257312,""count"":3784},{""location"":""/work/phase2/cnf.py:66"",""bytes"":131768,""count"":4706},{""location"":""/work/phase2/cnf.py:24"",""bytes"":60784,""count"":949},{""location"":""/work/phase2/cnf.py:134"",""bytes"":45780,""count"":1635},{""location"":""/work/phase2/cnf.py:81"",""bytes"":15432,""count"":3},{""location"":""/work/phase2/cnf.py:154"",""bytes"":15304,""count"":1},{""location"":""/work/phase2/structure.py:183"",""bytes"":13184,""count"":103},{""location"":""/work/phase2/structure.py:250"",""bytes"":6800,""count"":5},{""location"":""/work/phase2/cnf.py:197"",""bytes"":2176,""count"":32},{""location"":""/work/phase2/structure.py:194"",""bytes"":1144,""count"":22}]"
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,447936,1190790,COMPLETE,COMPLETE,"[{""location"":""/work/phase2/cnf.py:135"",""bytes"":154224,""count"":2268},{""location"":""/work/phase2/cnf.py:197"",""bytes"":91800,""count"":1350},{""location"":""/work/phase2/cnf.py:66"",""bytes"":83888,""count"":2996},{""location"":""/work/phase2/cnf.py:134"",""bytes"":24556,""count"":877},{""location"":""/work/phase2/cnf.py:24"",""bytes"":22056,""count"":333},{""location"":""/work/phase2/cnf.py:195"",""bytes"":18900,""count"":675},{""location"":""/work/phase2/cnf.py:154"",""bytes"":14512,""count"":1},{""location"":""/work/phase2/cnf.py:141"",""bytes"":14496,""count"":453},{""location"":""/work/phase2/cnf.py:81"",""bytes"":9360,""count"":3},{""location"":""/work/phase2/cnf.py:184"",""bytes"":2880,""count"":90}]"
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,752846,1401558,COMPLETE,UNKNOWN,"[{""location"":""/work/phase2/cnf.py:135"",""bytes"":308448,""count"":4536},{""location"":""/work/phase2/cnf.py:66"",""bytes"":179144,""count"":6398},{""location"":""/work/phase2/cnf.py:197"",""bytes"":94792,""count"":1394},{""location"":""/work/phase2/cnf.py:134"",""bytes"":56308,""count"":2011},{""location"":""/work/phase2/cnf.py:24"",""bytes"":31736,""count"":496},{""location"":""/work/phase2/cnf.py:154"",""bytes"":23760,""count"":1},{""location"":""/work/phase2/cnf.py:195"",""bytes"":19516,""count"":697},{""location"":""/work/phase2/cnf.py:81"",""bytes"":18424,""count"":3},{""location"":""/work/phase2/cnf.py:141"",""bytes"":15168,""count"":474},{""location"":""/work/phase2/cnf.py:184"",""bytes"":3200,""count"":100}]"
011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,3879405,5483992,ABORT,UNKNOWN,"[{""location"":""/work/phase2/cnf.py:135"",""bytes"":1804992,""count"":26544},{""location"":""/work/phase2/cnf.py:24"",""bytes"":745160,""count"":13231},{""location"":""/work/phase2/cnf.py:66"",""bytes"":744408,""count"":26586},{""location"":""/work/phase2/cnf.py:134"",""bytes"":364420,""count"":13015},{""location"":""/work/phase2/cnf.py:81"",""bytes"":106616,""count"":5},{""location"":""/work/phase2/cnf.py:154"",""bytes"":106216,""count"":1},{""location"":""/work/phase2/cnf.py:139"",""bytes"":4256,""count"":76},{""location"":""/work/phase2/structure.py:76"",""bytes"":1176,""count"":21},{""location"":""/work/phase2/cnf.py:55"",""bytes"":430,""count"":6},{""location"":""/work/phase2/structure.py:138"",""bytes"":232,""count"":2}]"
012_random_3sat_uniform_scale150_noise0.cnf,180602,1136532,COMPLETE,UNKNOWN,"[{""location"":""/work/phase2/cnf.py:135"",""bytes"":86904,""count"":1278},{""location"":""/work/phase2/cnf.py:24"",""bytes"":40000,""count"":625},{""location"":""/work/phase2/cnf.py:66"",""bytes"":25788,""count"":921},{""location"":""/work/phase2/cnf.py:134"",""bytes"":10696,""count"":382},{""location"":""/work/phase2/cnf.py:81"",""bytes"":5536,""count"":5},{""location"":""/work/phase2/cnf.py:154"",""bytes"":5160,""count"":1},{""location"":""/work/phase2/cnf.py:139"",""bytes"":4088,""count"":73},{""location"":""/work/phase2/cnf.py:55"",""bytes"":337,""count"":5},{""location"":""/work/phase2/cnf.py:197"",""bytes"":232,""count"":3},{""location"":""/work/phase2/structure.py:198"",""bytes"":224,""count"":2}]"
