instance,family,seed,arm,conflicts,decisions,propagations,restarts,learned,irredundant,redundant,ticks,solve_ms,status
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,1,kissat,,,,,,,,,5036.909866,TIMEOUT
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,1,lkk_cadical,,,,,,,,,5038.082978,TIMEOUT
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,1,lkk_kissat,,,,,,,,,5036.879067,TIMEOUT
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,1,lemma_cadical,,,,,,,,,5036.589947,TIMEOUT
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,1,cadical,,,,,,,,,5036.479086,TIMEOUT
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,2,lkk_cadical,,,,,,,,,5036.987569,TIMEOUT
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,2,lkk_kissat,,,,,,,,,5036.686436,TIMEOUT
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,2,lemma_cadical,,,,,,,,,5036.335346,TIMEOUT
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,2,cadical,,,,,,,,,5035.598773,TIMEOUT
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,2,kissat,,,,,,,,,5035.671158,TIMEOUT
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,3,lkk_kissat,,,,,,,,,5038.055838,TIMEOUT
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,3,lemma_cadical,,,,,,,,,5037.573342,TIMEOUT
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,3,cadical,,,,,,,,,5036.090977,TIMEOUT
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,3,kissat,,,,,,,,,5035.501622,TIMEOUT
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,3,lkk_cadical,,,,,,,,,5037.554181,TIMEOUT
