set,instance,family,scale,variant,seed,solver,runtime_ms,status,timed_out,par2_ms,structural_result,fallback_used,fallback_engine,fallback_ms,fallback_serialize_ms,fallback_solver_self_ms,fallback_overhead_ms,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,witness_ms,conflicts,decisions,propagations,peak_rss_kb,raw_log
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,1,kissat,35.154302,UNSATISFIABLE,False,35.154302,,,kissat,,,,,,,,,,,1951,2616,46203,1652,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_001__001_pigeonhole_exact1_boundary_low_scale8_noise0__kissat__seed1.log
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,1,lkk_cadical,35.272377,UNSATISFIABLE,False,35.272377,UNSAT,False,cadical,0,0,0,0,2.21792,0.06038,0.119874,11.2331,0.018374,3.71886,-1,-1,-1,4160,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_001__001_pigeonhole_exact1_boundary_low_scale8_noise0__lkk_cadical__seed1.log
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,1,lkk_kissat,35.444232,UNSATISFIABLE,False,35.444232,UNSAT,False,kissat,0,0,0,0,2.48864,0.069125,0.127391,10.1418,0.013573,2.97886,-1,-1,-1,4176,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_001__001_pigeonhole_exact1_boundary_low_scale8_noise0__lkk_kissat__seed1.log
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,1,lkk_none,36.002382,UNSATISFIABLE,False,36.002382,UNSAT,False,none,0,0,0,0,2.26966,0.062428,0.123621,10.0531,0.017412,2.63655,-1,-1,-1,4076,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_001__001_pigeonhole_exact1_boundary_low_scale8_noise0__lkk_none__seed1.log
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,1,cadical,118.048745,UNSATISFIABLE,False,118.048745,,,cadical,,,,,,,,,,,0,6781,78128,2552,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_001__001_pigeonhole_exact1_boundary_low_scale8_noise0__cadical__seed1.log
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,2,lkk_cadical,34.992437,UNSATISFIABLE,False,34.992437,UNSAT,False,cadical,0,0,0,0,2.22698,0.060302,0.129893,9.87345,0.012669,2.49273,-1,-1,-1,4116,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_001__001_pigeonhole_exact1_boundary_low_scale8_noise0__lkk_cadical__seed2.log
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,2,lkk_kissat,35.101438,UNSATISFIABLE,False,35.101438,UNSAT,False,kissat,0,0,0,0,2.01755,0.058189,0.127184,9.14908,0.014112,3.00125,-1,-1,-1,4168,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_001__001_pigeonhole_exact1_boundary_low_scale8_noise0__lkk_kissat__seed2.log
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,2,lkk_none,35.359728,UNSATISFIABLE,False,35.359728,UNSAT,False,none,0,0,0,0,2.51483,0.086373,0.134313,10.1455,0.012736,2.74911,-1,-1,-1,4212,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_001__001_pigeonhole_exact1_boundary_low_scale8_noise0__lkk_none__seed2.log
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,2,cadical,119.208842,UNSATISFIABLE,False,119.208842,,,cadical,,,,,,,,,,,0,6781,78128,2552,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_001__001_pigeonhole_exact1_boundary_low_scale8_noise0__cadical__seed2.log
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,2,kissat,69.110787,UNSATISFIABLE,False,69.110787,,,kissat,,,,,,,,,,,1941,2707,46345,1652,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_a/accepted14_001__001_pigeonhole_exact1_boundary_low_scale8_noise0__kissat__seed2.log
