instance,family,scale,seed,arm,runtime_ms,status,par2_ms,lemma_generation_ms,lemma_candidates,lemmas_injected,lemma_literals_injected,fallback_ms,peak_rss_kb,raw_log
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,1,kissat,5036.909866,TIMEOUT,10000.0,,,,,,1756,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_b/001__004_exact_r_allocation_boundary_high_scale11_noise0__kissat__seed1.log
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,1,lkk_cadical,5038.082978,TIMEOUT,10000.0,,,,,,1704,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_b/001__004_exact_r_allocation_boundary_high_scale11_noise0__lkk_cadical__seed1.log
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,1,lkk_kissat,5036.879067,TIMEOUT,10000.0,,,,,,1652,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_b/001__004_exact_r_allocation_boundary_high_scale11_noise0__lkk_kissat__seed1.log
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,1,lemma_cadical,5036.589947,TIMEOUT,10000.0,,,,,,1704,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_b/001__004_exact_r_allocation_boundary_high_scale11_noise0__lemma_cadical__seed1.log
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,1,cadical,5036.479086,TIMEOUT,10000.0,,,,,,1732,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_b/001__004_exact_r_allocation_boundary_high_scale11_noise0__cadical__seed1.log
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,2,lkk_cadical,5036.987569,TIMEOUT,10000.0,,,,,,1728,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_b/001__004_exact_r_allocation_boundary_high_scale11_noise0__lkk_cadical__seed2.log
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,2,lkk_kissat,5036.686436,TIMEOUT,10000.0,,,,,,1740,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_b/001__004_exact_r_allocation_boundary_high_scale11_noise0__lkk_kissat__seed2.log
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,2,lemma_cadical,5036.335346,TIMEOUT,10000.0,,,,,,1616,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_b/001__004_exact_r_allocation_boundary_high_scale11_noise0__lemma_cadical__seed2.log
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,2,cadical,5035.598773,TIMEOUT,10000.0,,,,,,1660,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_b/001__004_exact_r_allocation_boundary_high_scale11_noise0__cadical__seed2.log
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,2,kissat,5035.671158,TIMEOUT,10000.0,,,,,,1656,/work/results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_b/001__004_exact_r_allocation_boundary_high_scale11_noise0__kissat__seed2.log
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,3,lkk_kissat,5038.055838,TIMEOUT,10000.0,,,,,,1720,results/phase4b/20260816Tphase4bfallbacklemma01Z/logs/part_b/001__004_exact_r_allocation_boundary_high_scale11_noise0__lkk_kissat__seed3.log
