instance,family,conflicts_no_lemmas,conflicts_with_lemmas,conflicts_change_pct,decisions_no_lemmas,decisions_with_lemmas,decisions_change_pct,propagations_no_lemmas,propagations_with_lemmas,propagations_change_pct,par2_no_lemmas_ms,par2_with_lemmas_ms,runtime_change_pct,lemmas_injected
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,,,,,,,,,,10000.0,10000.0,0.0,
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,40842.333333333336,40842.333333333336,0.0,44953.666666666664,44953.666666666664,0.0,391001.0,391001.0,0.0,753.9962006666667,1021.4222573333334,35.467825491721904,0.0
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,341513.6666666667,327642.0,-4.0618189023182145,366895.0,353088.5,-3.763065727251666,3193743.0,3085262.5,-3.3966571511859285,4350.614042,6507.005842333333,49.56522871291125,0.0
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,47703.666666666664,45266.0,-5.110019495356746,57480.0,50615.333333333336,-11.942704708884246,470594.3333333333,440209.0,-6.456799663971018,519.586223,553.0347573333333,6.43753295462827,697.0
011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,0.0,0.0,,0.0,0.0,,0.0,0.0,,67.95836866666667,302.097582,344.5333046203296,0.0
012_random_3sat_uniform_scale150_noise0.cnf,random_3sat,3062.0,2736.0,-10.646636185499673,3446.0,2999.0,-12.971561230412071,86300.0,79247.0,-8.172653534183082,67.89004733333333,68.21657866666666,0.48097084353189384,1.0
013_random_3sat_planted_sat_scale400_noise0.cnf,random_3sat,28013.333333333332,28013.333333333332,0.0,45778.0,45778.0,0.0,1673723.6666666667,1673723.6666666667,0.0,787.224834,786.814971,-0.05206428739263744,0.0
014_random_3sat_planted_sat_scale800_noise0.cnf,random_3sat,23347.333333333332,23347.333333333332,0.0,45514.333333333336,45514.333333333336,0.0,2168938.0,2168938.0,0.0,887.1555886666666,891.4084183333333,0.47937810695172345,0.0
003_exact_r_allocation_scale11_phase4b.cnf,exact_r_allocation,,,,,,,,,,10000.0,10000.0,0.0,
004_exact_r_allocation_scale13_phase4b.cnf,exact_r_allocation,,,,,,,,,,10000.0,10000.0,0.0,
006_overlapping_hall_violation_scale8_phase4b.cnf,overlapping_hall_violation,40842.333333333336,40842.333333333336,0.0,44953.666666666664,44953.666666666664,0.0,391001.0,391001.0,0.0,719.718107,1021.5150283333332,41.93265646619798,0.0
007_overlapping_hall_violation_scale9_phase4b.cnf,overlapping_hall_violation,341513.6666666667,313426.0,-8.224463442653837,366895.0,337237.0,-8.083511631393177,3193743.0,2960222.0,-7.311828158997138,4418.715805333333,8295.381771,87.73286485153857,0.0
008_overlapping_hall_violation_scale10_phase4b.cnf,overlapping_hall_violation,,,,,,,,,,10000.0,10000.0,0.0,
