set,instance,family,scale,cadical_par2_ms,cadical_timeouts,kissat_par2_ms,kissat_timeouts,lkk_cadical_par2_ms,lkk_cadical_timeouts,lkk_kissat_par2_ms,lkk_kissat_timeouts,lkk_none_par2_ms,lkk_none_timeouts,fallback_used,kissat_process_overhead_ms,kissat_serialize_ms,cadical_over_kissat_fallback,kissat_fallback_faster
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,118.21332966666667,0,57.585648,0,35.236933666666665,0,35.560424,0,35.63686966666666,0,False,0.0,0.0,0.990903079970775,False
accepted14,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,4450.597589333333,0,468.4710283333333,0,66.63644566666666,0,84.19799533333334,0,66.82339433333334,0,False,0.0,0.0,0.7914255607019874,False
accepted14,003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,183.75136533333333,0,167.28950333333333,0,45.466140333333335,0,45.690746,0,45.25499533333333,0,False,0.0,0.0,0.9950842197527994,False
accepted14,004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,10000.0,3,10000.0,3,10000.0,3,10000.0,3,10000.0,3,,,,1.0,False
accepted14,005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,418.737034,0,150.727812,0,753.8497209999999,0,485.58618466666667,0,10000.0,3,True,21.662,2.798173333333333,1.5524529832278573,True
accepted14,006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,4032.2625803333335,0,401.74225466666667,0,4367.957265666667,0,820.6441196666667,0,10000.0,3,True,32.88603333333333,4.91179,5.322596191197794,True
accepted14,007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,1188.1497136666667,0,268.06006633333334,0,268.41942466666666,0,267.925068,0,285.8214853333333,0,False,0.0,0.0,1.0018451303207905,True
accepted14,008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,1505.7766103333333,0,234.39591066666668,0,335.0916956666667,0,385.23982266666667,0,368.95484733333336,0,False,0.0,0.0,0.8698262120128966,False
accepted14,009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,485.5277996666667,0,134.40127966666665,0,68.25625,0,84.769854,0,67.03100633333334,0,False,0.0,0.0,0.8051948514621718,False
accepted14,010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,484.832841,0,134.438039,0,486.16154866666665,0,167.232629,0,10000.0,3,True,24.848866666666666,2.63478,2.907097446077145,True
accepted14,011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,83.58912,0,24.002946666666666,0,66.75611766666667,0,117.380242,0,10000.0,3,True,7.431663333333333,7.431663333333333,0.5687168174918796,False
accepted14,012_random_3sat_uniform_scale150_noise0.cnf,random_3sat,150,117.96675133333333,0,83.93629966666667,0,67.17098066666667,0,118.080167,0,10000.0,3,True,22.580766666666666,1.8899133333333333,0.5688591265853026,False
accepted14,013_random_3sat_planted_sat_scale400_noise0.cnf,random_3sat,400,887.4810296666667,0,971.2338726666667,0,853.8218653333333,0,1155.1127333333334,0,10000.0,3,True,71.74116666666666,2.2330266666666665,0.7391675640778727,False
accepted14,014_random_3sat_planted_sat_scale800_noise0.cnf,random_3sat,800,971.1163806666666,0,185.53510166666666,0,972.1173753333334,0,234.95993133333334,0,10000.0,3,True,30.848233333333333,3.89344,4.137375125268522,True
expanded,001_exact_r_allocation_scale7_phase4b.cnf,exact_r_allocation,7,66.957918,0,34.767666,0,18.746722,0,18.348213,0,18.308023,0,False,0.0,0.0,1.0217192268260673,True
expanded,002_exact_r_allocation_scale9_phase4b.cnf,exact_r_allocation,9,166.719445,0,167.574737,0,66.912799,0,34.53065,0,34.457203,0,False,0.0,0.0,1.9377798854061539,True
expanded,003_exact_r_allocation_scale11_phase4b.cnf,exact_r_allocation,11,10000.0,1,10000.0,1,10000.0,1,10000.0,1,10000.0,1,,,,1.0,False
expanded,004_exact_r_allocation_scale13_phase4b.cnf,exact_r_allocation,13,10000.0,1,10000.0,1,10000.0,1,10000.0,1,10000.0,1,,,,1.0,False
expanded,005_overlapping_hall_violation_scale6_phase4b.cnf,overlapping_hall_violation,6,66.783596,0,34.941388,0,66.660947,0,66.682347,0,66.981163,0,False,0.0,0.0,0.999679075483051,False
expanded,006_overlapping_hall_violation_scale8_phase4b.cnf,overlapping_hall_violation,8,518.235796,0,116.952987,0,820.459082,0,468.857215,0,10000.0,1,True,19.9241,2.25228,1.7499124589561876,True
expanded,007_overlapping_hall_violation_scale9_phase4b.cnf,overlapping_hall_violation,9,4635.355386,0,418.403311,0,4083.00171,0,820.064764,0,10000.0,1,True,35.7729,3.41146,4.978877143903235,True
expanded,008_overlapping_hall_violation_scale10_phase4b.cnf,overlapping_hall_violation,10,10000.0,1,1873.966886,0,10000.0,1,2577.264128,0,10000.0,1,,-15.1464,2.94132,3.8800834929403094,True
