set,instance,family,scale,seed,solver,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,witness_ms,fallback_ms,fallback_serialize_ms,fallback_solver_self_ms,fallback_overhead_ms,runtime_ms,structural_result,fallback_used,peak_rss_kb
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,1,lkk_cadical,2.21792,0.06038,0.119874,11.2331,0.018374,3.71886,0,0,0,0,35.272377,UNSAT,False,4160
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,1,lkk_kissat,2.48864,0.069125,0.127391,10.1418,0.013573,2.97886,0,0,0,0,35.444232,UNSAT,False,4176
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,1,lkk_none,2.26966,0.062428,0.123621,10.0531,0.017412,2.63655,0,0,0,0,36.002382,UNSAT,False,4076
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,2,lkk_cadical,2.22698,0.060302,0.129893,9.87345,0.012669,2.49273,0,0,0,0,34.992437,UNSAT,False,4116
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,2,lkk_kissat,2.01755,0.058189,0.127184,9.14908,0.014112,3.00125,0,0,0,0,35.101438,UNSAT,False,4168
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,2,lkk_none,2.51483,0.086373,0.134313,10.1455,0.012736,2.74911,0,0,0,0,35.359728,UNSAT,False,4212
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,3,lkk_kissat,2.77866,0.08459,0.156267,12.1,0.016327,3.67295,0,0,0,0,36.135602,UNSAT,False,4160
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,3,lkk_none,2.53114,0.082899,0.141415,11.3853,0.015755,3.38582,0,0,0,0,35.548499,UNSAT,False,4268
accepted14,001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,3,lkk_cadical,2.51696,0.097256,0.144399,10.4971,0.014195,3.06437,0,0,0,0,35.445987,UNSAT,False,4072
accepted14,002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,1,lkk_cadical,2.52186,0.111191,0.238712,46.0574,0.023235,5.01929,0,0,0,0,66.807389,UNSAT,False,4300
