instance,family,scale,generator_structural_unsat,generator_reason,independent_result,rebuilt_boxes,rebuilt_resources,maximum_flow,total_demand,expected_result,replay_errors,family_errors,replay_ms
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,True,harvested_sub_model_max_flow_11_below_demand_12,UNSAT,6,11,11,12,UNSATISFIABLE,0,0,13.093522
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,True,harvested_sub_model_max_flow_16_below_demand_17,UNSAT,17,17,16,17,UNSATISFIABLE,0,0,12.668123
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,True,harvested_sub_model_max_flow_18_below_demand_19,UNSAT,19,19,18,19,UNSATISFIABLE,0,0,14.374361
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,True,harvested_sub_model_max_flow_8_below_demand_9,UNSAT,9,8,8,9,UNSATISFIABLE,0,0,20.883533
011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,False,,NO_SUB_MODEL,0,0,,,SATISFIABLE,0,0,130.757295
012_random_3sat_uniform_scale150_noise0.cnf,random_3sat,150,False,,NO_SUB_MODEL,0,0,,,TO_VALIDATE,0,0,9.88913
013_random_3sat_planted_sat_scale400_noise0.cnf,random_3sat,400,False,,NO_SUB_MODEL,0,0,,,SATISFIABLE,0,0,15.011416
014_random_3sat_planted_sat_scale800_noise0.cnf,random_3sat,800,False,,NO_SUB_MODEL,0,0,,,SATISFIABLE,0,0,31.566349
003_exact_r_allocation_scale11_phase4b.cnf,exact_r_allocation,11,True,harvested_sub_model_max_flow_11_below_demand_12,UNSAT,6,11,11,12,UNSATISFIABLE,0,0,18.05208
004_exact_r_allocation_scale13_phase4b.cnf,exact_r_allocation,13,False,,NO_SUB_MODEL,0,0,,,UNSATISFIABLE,0,0,32.148192
006_overlapping_hall_violation_scale8_phase4b.cnf,overlapping_hall_violation,8,True,harvested_sub_model_max_flow_16_below_demand_17,UNSAT,17,17,16,17,UNSATISFIABLE,0,0,11.344163
007_overlapping_hall_violation_scale9_phase4b.cnf,overlapping_hall_violation,9,True,harvested_sub_model_max_flow_18_below_demand_19,UNSAT,19,19,18,19,UNSATISFIABLE,0,0,13.685542
008_overlapping_hall_violation_scale10_phase4b.cnf,overlapping_hall_violation,10,True,harvested_sub_model_max_flow_20_below_demand_21,UNSAT,21,21,20,21,UNSATISFIABLE,0,0,18.65903
009_overlapping_hall_violation_scale11_phase4b.cnf,overlapping_hall_violation,11,True,harvested_sub_model_max_flow_22_below_demand_23,UNSAT,23,23,22,23,UNSATISFIABLE,0,0,29.846051
014_capacity2_violation_scale7_phase4b.cnf,capacity2_violation,7,True,harvested_sub_model_max_flow_14_below_demand_15,UNSAT,15,7,14,15,UNSATISFIABLE,0,0,30.574005
015_capacity2_violation_scale8_phase4b.cnf,capacity2_violation,8,True,harvested_sub_model_max_flow_16_below_demand_17,UNSAT,17,8,16,17,UNSATISFIABLE,0,0,70.554626
016_satisfiable_capacity_control_scale8_phase4b.cnf,satisfiable_capacity_control,8,False,,FEASIBLE,8,8,8,8,SATISFIABLE,0,0,11.872219
017_satisfiable_capacity_control_scale16_phase4b.cnf,satisfiable_capacity_control,16,False,,FEASIBLE,16,16,16,16,SATISFIABLE,0,0,31.221462
018_satisfiable_capacity_control_scale24_phase4b.cnf,satisfiable_capacity_control,24,False,,NO_SUB_MODEL,0,0,,,SATISFIABLE,0,0,106.195449
019_satisfiable_capacity_control_scale32_phase4b.cnf,satisfiable_capacity_control,32,False,,NO_SUB_MODEL,0,0,,,SATISFIABLE,0,0,224.182423
025_hidden_pigeonhole_scale9_phase4b_noise100.cnf,hidden_pigeonhole,9,True,harvested_sub_model_max_flow_8_below_demand_9,UNSAT,9,8,8,9,UNSATISFIABLE,0,0,29.608578
026_hidden_pigeonhole_scale10_phase4b_noise0.cnf,hidden_pigeonhole,10,True,harvested_sub_model_max_flow_9_below_demand_10,UNSAT,10,9,9,10,UNSATISFIABLE,0,0,21.48814
027_hidden_pigeonhole_scale10_phase4b_noise100.cnf,hidden_pigeonhole,10,True,harvested_sub_model_max_flow_9_below_demand_10,UNSAT,10,9,9,10,UNSATISFIABLE,0,0,35.677727
028_random_3sat_scale150_uniform.cnf,random_3sat,150,False,,NO_SUB_MODEL,0,0,,,TO_VALIDATE,0,0,8.222608
029_random_3sat_scale400_uniform.cnf,random_3sat,400,False,,NO_SUB_MODEL,0,0,,,TO_VALIDATE,0,0,12.78365
030_random_3sat_scale800_uniform.cnf,random_3sat,800,False,,NO_SUB_MODEL,0,0,,,TO_VALIDATE,0,0,27.815804
031_random_3sat_scale150_planted_sat.cnf,random_3sat,150,False,,NO_SUB_MODEL,0,0,,,SATISFIABLE,0,0,8.932309
032_random_3sat_scale400_planted_sat.cnf,random_3sat,400,False,,NO_SUB_MODEL,0,0,,,SATISFIABLE,0,0,15.914529
033_random_3sat_scale800_planted_sat.cnf,random_3sat,800,False,,NO_SUB_MODEL,0,0,,,SATISFIABLE,0,0,31.845981
