instance,family,scale,variant,seed,solver,runtime_ms,status,par2_ms,timed_out,structural_result,fallback_used,registry_ms,family_checks,recovery_ms,flow_ms,fallback_ms,total_end_to_end_ms,peak_rss_kb
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,1,kissat,67.677072,UNSATISFIABLE,67.677072,False,,,,,,,,67.677072,1700
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,1,lkk_4a_sealed,35.497655,UNSATISFIABLE,35.497655,False,UNSAT,False,9.10059,11312,0.115794,0.013917,0,12.4863,4076
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,1,lkk_4c_indexed,20.960924,UNSATISFIABLE,20.960924,False,UNSAT,False,2.00669,11124,0.12717,0.014206,0,6.39078,4312
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,1,cadical,118.983374,UNSATISFIABLE,118.983374,False,,,,,,,,118.983374,2548
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,2,lkk_4a_sealed,38.593099,UNSATISFIABLE,38.593099,False,UNSAT,False,16.8009,11312,0.19473,0.02019,0,23.1303,4192
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,2,lkk_4c_indexed,19.750389,UNSATISFIABLE,19.750389,False,UNSAT,False,2.32612,11124,0.147054,0.016436,0,6.43519,4312
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,2,cadical,119.814587,UNSATISFIABLE,119.814587,False,,,,,,,,119.814587,2552
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,2,kissat,68.32237,UNSATISFIABLE,68.32237,False,,,,,,,,68.32237,1652
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,3,lkk_4c_indexed,20.746841,UNSATISFIABLE,20.746841,False,UNSAT,False,1.67064,11124,0.103948,0.011756,0,4.42952,4376
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,3,cadical,119.8903,UNSATISFIABLE,119.8903,False,,,,,,,,119.8903,2552
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,3,kissat,69.980135,UNSATISFIABLE,69.980135,False,,,,,,,,69.980135,1808
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,3,lkk_4a_sealed,36.460061,UNSATISFIABLE,36.460061,False,UNSAT,False,12.0782,11312,0.149999,0.016511,0,16.405,4172
