instance,family,scale,cadical_par2_ms,cadical_timeouts,kissat_par2_ms,kissat_timeouts,lkk_4a_sealed_par2_ms,lkk_4a_sealed_timeouts,lkk_4c_indexed_par2_ms,lkk_4c_indexed_timeouts,speedup_4c_over_4a,speedup_4c_over_cadical,speedup_4c_over_kissat,structural_result,fallback_used,sealed_structural_result,newly_structural
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,119.56275366666667,0,68.659859,0,36.85027166666667,0,20.486051333333332,0,1.798798170865985,5.836300598940866,3.3515418800245773,UNSAT,False,UNSAT,False
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,4619.439008333334,0,502.55102999999997,0,101.95494466666666,0,18.551589333333332,0,5.495752565171056,249.00502729613393,27.089378757270175,UNSAT,False,UNSAT,False
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,217.84565133333334,0,184.92340066666665,0,46.137078333333335,0,19.250154666666667,0,2.396712085291644,11.316566287675196,9.606333240889631,UNSAT,False,UNSAT,False
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,10000.0,3,10000.0,3,10000.0,3,18.222108,0,548.7839277431568,548.7839277431568,548.7839277431568,UNSAT,False,,False
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,520.1207756666666,0,151.937687,0,787.892425,0,30.564863,0,25.777718192291587,17.016950989332642,4.970991919708589,UNSAT,False,UNKNOWN,True
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,4134.536233666667,0,368.82008433333334,0,4118.000587333333,0,35.960124,0,114.51575048332239,114.97558333410271,10.256362973980105,UNSAT,False,UNKNOWN,True
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,1189.536588,0,302.614102,0,269.11762266666665,0,84.39559433333334,0,3.188763877931179,14.094771147670848,3.5856623131863876,UNSAT,False,UNSAT,False
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,1591.2940993333334,0,268.71229166666666,0,402.94018600000004,0,101.30559,0,3.977472378375172,15.707860734371454,2.652492243188818,UNSAT,False,UNSAT,False
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,486.14248,0,134.71889533333334,0,67.75900866666666,0,29.64707333333333,0,2.2855209991497754,16.39765499056568,4.544087499586806,UNSAT,False,UNSAT,False
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,620.389956,0,169.720181,0,553.8947173333333,0,36.44059,0,15.199938237370288,17.024695703335208,4.65744876798098,UNSAT,False,UNKNOWN,True
011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,118.09046466666666,0,35.857282999999995,0,85.159646,0,119.01970633333333,0,0.7155087894562356,0.9921925394096992,0.301271815438496,UNKNOWN,True,UNKNOWN,False
012_random_3sat_uniform_scale150_noise0.cnf,random_3sat,150,118.48586833333333,0,100.77710533333332,0,68.07012233333333,0,68.540826,0,0.99313250665134,1.728690406114063,1.4703223059105435,UNKNOWN,True,UNKNOWN,False
013_random_3sat_planted_sat_scale400_noise0.cnf,random_3sat,400,871.6589613333333,0,1005.6076593333335,0,820.9545056666666,0,838.48384,0,0.9790940105257921,1.0395656060984233,1.1993166849027568,UNKNOWN,True,UNKNOWN,False
014_random_3sat_planted_sat_scale800_noise0.cnf,random_3sat,800,887.042033,0,151.42242266666668,0,971.991193,0,905.1131396666667,0,1.073889164130313,0.9800344223559477,0.16729667931064643,UNKNOWN,True,UNKNOWN,False
