instance,family,scale,cadical_par2_ms,cadical_timeouts,kissat_par2_ms,kissat_timeouts,lkk_4a_sealed_par2_ms,lkk_4a_sealed_timeouts,lkk_4c_indexed_par2_ms,lkk_4c_indexed_timeouts,speedup_4c_over_4a,speedup_4c_over_cadical,speedup_4c_over_kissat,structural_result,fallback_used,sealed_structural_result,newly_structural
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,117.44800233333333,0,34.499161666666666,0,23.928929333333333,0,18.657250666666666,0,1.2825538853956189,6.295032662190028,1.8491021149382638,UNSAT,False,UNSAT,False
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,4535.117500666666,0,519.3805156666666,0,67.31965766666667,0,34.601686,0,1.945560041977916,131.06637349020122,15.010266137513259,UNSAT,False,UNSAT,False
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,200.77833666666666,0,167.64305066666668,0,45.53075466666667,0,18.478877,0,2.4639351550782367,10.865288873705186,9.072144950511152,UNSAT,False,UNSAT,False
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,10000.0,3,10000.0,3,10000.0,3,18.535829333333332,0,539.49568806273,539.49568806273,539.49568806273,UNSAT,False,,False
005_overlapping_hall_violation_boundary_low_scale8_noise0.cnf,overlapping_hall_violation,8,418.3811053333333,0,133.67139466666666,0,686.314419,0,34.867552,0,19.683470150126972,11.999153405817916,3.8336902649967124,UNSAT,False,UNKNOWN,True
006_overlapping_hall_violation_boundary_high_scale9_noise0.cnf,overlapping_hall_violation,9,4184.673487,0,384.95426399999997,0,4066.238637,0,67.47318633333333,0,60.264511844925025,62.01979948489069,5.705292500908966,UNSAT,False,UNKNOWN,True
007_capacity2_violation_boundary_low_scale5_noise0.cnf,capacity2_violation,5,1155.2132406666667,0,285.0563256666667,0,268.24214166666667,0,285.45445233333334,0,0.939702076720221,4.04692668558447,0.9986052882923622,UNSAT,False,UNSAT,False
008_capacity2_violation_noise100_scale5_noise100.cnf,capacity2_violation,5,1657.6626626666668,0,251.49067566666668,0,335.188031,0,285.32599,0,1.1747546411737677,5.80971492525678,0.8814152389926578,UNSAT,False,UNSAT,False
009_hidden_pigeonhole_visible_noise0_scale9_noise0.cnf,hidden_pigeonhole,9,485.952226,0,151.24579266666666,0,67.38063933333333,0,35.272282,0,1.910299972463742,13.777170016955525,4.287950313695799,UNSAT,False,UNSAT,False
010_hidden_pigeonhole_hidden_noise100_scale9_noise100.cnf,hidden_pigeonhole,9,536.0179843333333,0,167.95744266666668,0,469.4534566666666,0,35.297397333333336,0,13.299945382186438,15.185765093992952,4.758352041668946,UNSAT,False,UNKNOWN,True
011_satisfiable_capacity_control_sat_fallback_scale24_noise0.cnf,satisfiable_capacity_control,24,83.14473833333334,0,24.149438333333332,0,67.60730933333333,0,6473.708265,1,0.010443366702026282,0.012843448442503043,0.0037303871822424997,FEASIBLE,True,UNKNOWN,True
012_random_3sat_uniform_scale150_noise0.cnf,random_3sat,150,100.36236600000001,0,66.67869166666667,0,67.21676366666667,0,67.138014,0,1.0011729519831591,1.4948664701341927,0.9931585355900856,UNKNOWN,True,UNKNOWN,False
013_random_3sat_planted_sat_scale400_noise0.cnf,random_3sat,400,821.002906,0,954.3788996666667,0,804.5300536666667,0,736.3262686666667,0,1.09262712455377,1.1149988000382833,1.2961358847007425,UNKNOWN,True,UNKNOWN,False
014_random_3sat_planted_sat_scale800_noise0.cnf,random_3sat,800,904.5044343333333,0,150.96304266666667,0,820.7745493333333,0,922.0759643333333,0,0.8901376687838929,0.9809435115113272,0.16372083050208763,UNKNOWN,True,UNKNOWN,False
