instance,family,scale,variant,seed,solver,runtime_ms,status,par2_ms,timed_out,structural_result,fallback_used,registry_ms,family_checks,recovery_ms,flow_ms,fallback_ms,total_end_to_end_ms,peak_rss_kb
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,1,kissat,68.971788,UNSATISFIABLE,68.971788,False,,,,,,,,68.971788,1684
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,1,lkk_4a_sealed,36.182427,UNSATISFIABLE,36.182427,False,UNSAT,False,10.7513,11312,0.126556,0.016893,0,14.6927,4224
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,1,lkk_4c_indexed,19.292089,UNSATISFIABLE,19.292089,False,UNSAT,False,3.88435,5636,0.12546,0.020369,0,7.79086,4324
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,1,cadical,118.998728,UNSATISFIABLE,118.998728,False,,,,,,,,118.998728,2548
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,2,lkk_4a_sealed,35.958622,UNSATISFIABLE,35.958622,False,UNSAT,False,12.8805,11312,0.148459,0.034472,0,17.404,4068
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,2,lkk_4c_indexed,20.17847,UNSATISFIABLE,20.17847,False,UNSAT,False,3.4474,5636,0.145986,0.028403,0,7.52241,4072
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,2,cadical,168.759831,UNSATISFIABLE,168.759831,False,,,,,,,,168.759831,2552
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,2,kissat,68.362461,UNSATISFIABLE,68.362461,False,,,,,,,,68.362461,1804
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,3,lkk_4c_indexed,21.194979,UNSATISFIABLE,21.194979,False,UNSAT,False,4.16021,5636,0.203627,0.017874,0,8.55206,4164
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,3,cadical,169.405009,UNSATISFIABLE,169.405009,False,,,,,,,,169.405009,2556
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,3,kissat,69.777874,UNSATISFIABLE,69.777874,False,,,,,,,,69.777874,1600
001_pigeonhole_exact1_boundary_low_scale8_noise0.cnf,pigeonhole_exact1,8,boundary_low,3,lkk_4a_sealed,37.202316,UNSATISFIABLE,37.202316,False,UNSAT,False,12.1156,11312,0.151205,0.018234,0,16.6592,4228
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,1,lkk_4a_sealed,119.621305,UNSATISFIABLE,119.621305,False,UNSAT,False,63.2855,37170,0.284082,0.028469,0,68.0195,4132
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,1,lkk_4c_indexed,82.958474,UNSATISFIABLE,82.958474,False,UNSAT,False,24.488,18550,0.501496,0.030335,0,38.2451,4432
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,1,cadical,5039.808507,TIMEOUT,10000.0,True,,,,,,,,5039.808507,1620
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,1,kissat,518.821324,UNSATISFIABLE,518.821324,False,,,,,,,,518.821324,3124
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,2,lkk_4c_indexed,35.311183,UNSATISFIABLE,35.311183,False,UNSAT,False,11.2324,18550,0.275414,0.028056,0,15.1407,4580
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,2,cadical,4586.071647,UNSATISFIABLE,4586.071647,False,,,,,,,,4586.071647,7540
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,2,kissat,569.526396,UNSATISFIABLE,569.526396,False,,,,,,,,569.526396,3124
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,2,lkk_4a_sealed,118.112312,UNSATISFIABLE,118.112312,False,UNSAT,False,56.7992,37170,0.284894,0.02332,0,61.2506,4312
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,3,cadical,4584.042757,UNSATISFIABLE,4584.042757,False,,,,,,,,4584.042757,8036
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,3,kissat,468.19776,UNSATISFIABLE,468.19776,False,,,,,,,,468.19776,3008
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,3,lkk_4a_sealed,66.951314,UNSATISFIABLE,66.951314,False,UNSAT,False,46.5294,37170,0.301524,0.018427,0,50.3253,4144
002_pigeonhole_exact1_boundary_high_scale10_noise0.cnf,pigeonhole_exact1,10,boundary_high,3,lkk_4c_indexed,34.931451,UNSATISFIABLE,34.931451,False,UNSAT,False,9.31764,18550,0.225965,0.018067,0,12.5519,4568
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,1,lkk_4c_indexed,9.832107,UNSATISFIABLE,9.832107,False,UNSAT,False,1.17032,5055,0.162431,0.010878,0,3.60377,4268
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,1,cadical,267.396722,UNSATISFIABLE,267.396722,False,,,,,,,,267.396722,2880
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,1,kissat,167.999322,UNSATISFIABLE,167.999322,False,,,,,,,,167.999322,2256
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,1,lkk_4a_sealed,34.967856,UNSATISFIABLE,34.967856,False,UNSAT,False,19.977,141480,0.205269,0.013675,0,23.3646,4184
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,2,cadical,218.129578,UNSATISFIABLE,218.129578,False,,,,,,,,218.129578,2852
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,2,kissat,167.378534,UNSATISFIABLE,167.378534,False,,,,,,,,167.378534,2520
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,2,lkk_4a_sealed,34.933719,UNSATISFIABLE,34.933719,False,UNSAT,False,21.3372,141480,0.196396,0.013292,0,24.9387,4112
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,2,lkk_4c_indexed,18.783596,UNSATISFIABLE,18.783596,False,UNSAT,False,1.34584,5055,0.178923,0.012642,0,4.77693,4352
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,3,kissat,116.688809,UNSATISFIABLE,116.688809,False,,,,,,,,116.688809,2032
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,3,lkk_4a_sealed,34.575192,UNSATISFIABLE,34.575192,False,UNSAT,False,20.2681,141480,0.186243,0.012855,0,24.2095,4320
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,3,lkk_4c_indexed,18.148015,UNSATISFIABLE,18.148015,False,UNSAT,False,1.20619,5055,0.164474,0.011244,0,4.07773,4420
003_exact_r_allocation_boundary_low_scale9_noise0.cnf,exact_r_allocation,9,boundary_low,3,cadical,218.952073,UNSATISFIABLE,218.952073,False,,,,,,,,218.952073,2800
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,1,cadical,5038.836678,TIMEOUT,10000.0,True,,,,,,,,5038.836678,1736
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,1,kissat,5036.93146,TIMEOUT,10000.0,True,,,,,,,,5036.93146,1656
004_exact_r_allocation_boundary_high_scale11_noise0.cnf,exact_r_allocation,11,boundary_high,1,lkk_4a_sealed,5037.830031,TIMEOUT,10000.0,True,,,,,,,,5037.830031,1736
