timeout_s,instance,stratum,domain,mode,runtime_ms,status,timed_out,derived_from_timeout_s
5.0,aim-50-1_6-no-1.cnf,cardinality_exact_r_heavy,crafted_structured,A_cadical,66.513822,UNSATISFIABLE,False,60.0
5.0,aim-50-1_6-no-1.cnf,cardinality_exact_r_heavy,crafted_structured,B_kissat,34.801442,UNSATISFIABLE,False,60.0
5.0,hole6.cnf,lkk_direct_structural_unsat,matching_capacity,A_cadical,118.455692,UNSATISFIABLE,False,60.0
5.0,hole6.cnf,lkk_direct_structural_unsat,matching_capacity,B_kissat,35.586043,UNSATISFIABLE,False,60.0
5.0,noL-11-4.sanitized.cnf,matching_hall_like,competition_main,A_cadical,60054.826707,TIMEOUT,True,60.0
5.0,noL-11-4.sanitized.cnf,matching_hall_like,competition_main,B_kissat,60052.270941,TIMEOUT,True,60.0
5.0,e0ddr2-10-by-5-4.cnf,no_useful_detected_structure,planning_scheduling,A_cadical,417.368816,SATISFIABLE,False,60.0
5.0,e0ddr2-10-by-5-4.cnf,no_useful_detected_structure,planning_scheduling,B_kissat,66.333172,SATISFIABLE,False,60.0
5.0,uf250-029.cnf,resource_allocation_like,random_control,A_cadical,17.5247,TIMEOUT,True,60.0
5.0,uf250-029.cnf,resource_allocation_like,random_control,B_kissat,17.963431,TIMEOUT,True,60.0
5.0,ais6.cnf,structural_not_closed_by_flow,matching_capacity,A_cadical,66.127721,SATISFIABLE,False,60.0
5.0,ais6.cnf,structural_not_closed_by_flow,matching_capacity,B_kissat,18.179751,SATISFIABLE,False,60.0
5.0,mdp-32-16-sat.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,60049.238543,TIMEOUT,True,60.0
5.0,mdp-32-16-sat.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60051.245376,TIMEOUT,True,60.0
5.0,hole10.cnf,lkk_direct_structural_unsat,matching_capacity,A_cadical,60051.104367,TIMEOUT,True,60.0
5.0,hole10.cnf,lkk_direct_structural_unsat,matching_capacity,B_kissat,2325.058484,UNSATISFIABLE,False,60.0
5.0,noL-11-20.sanitized.cnf,matching_hall_like,competition_main,A_cadical,51469.419767,TIMEOUT,True,60.0
5.0,noL-11-20.sanitized.cnf,matching_hall_like,competition_main,B_kissat,45805.765562,TIMEOUT,True,60.0
5.0,combined-crypto1-wff-seed-1-wffvars-450-cryptocplx-40-overlap-2.cnf,no_useful_detected_structure,competition_main,A_cadical,17838.798801,TIMEOUT,True,60.0
5.0,combined-crypto1-wff-seed-1-wffvars-450-cryptocplx-40-overlap-2.cnf,no_useful_detected_structure,competition_main,B_kissat,38767.913133,TIMEOUT,True,60.0
5.0,flat200-78.cnf,resource_allocation_like,matching_capacity,A_cadical,66.315458,SATISFIABLE,False,60.0
5.0,flat200-78.cnf,resource_allocation_like,matching_capacity,B_kissat,33.802889,SATISFIABLE,False,60.0
5.0,mchess_17.cnf,structural_not_closed_by_flow,competition_main,A_cadical,60044.928743,TIMEOUT,True,60.0
5.0,mchess_17.cnf,structural_not_closed_by_flow,competition_main,B_kissat,60043.832478,TIMEOUT,True,60.0
5.0,2bitadd_12.cnf,cardinality_exact_r_heavy,planning_scheduling,A_cadical,66.114108,SATISFIABLE,False,60.0
5.0,2bitadd_12.cnf,cardinality_exact_r_heavy,planning_scheduling,B_kissat,66.636252,SATISFIABLE,False,60.0
5.0,Schur_161_5_d38.cnf,matching_hall_like,competition_main,A_cadical,60057.926948,TIMEOUT,True,60.0
5.0,Schur_161_5_d38.cnf,matching_hall_like,competition_main,B_kissat,60054.034173,TIMEOUT,True,60.0
5.0,hwmcc17miters-xits-iso-oski15a08b00s.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60048.034497,TIMEOUT,True,60.0
5.0,hwmcc17miters-xits-iso-oski15a08b00s.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,6894.565593,TIMEOUT,True,60.0
5.0,lec_mult_CvW_12x12.sanitized.cnf,resource_allocation_like,competition_main,A_cadical,60048.928391,TIMEOUT,True,60.0
5.0,lec_mult_CvW_12x12.sanitized.cnf,resource_allocation_like,competition_main,B_kissat,60044.313799,TIMEOUT,True,60.0
5.0,logistics.a.cnf,cardinality_exact_r_heavy,planning_scheduling,A_cadical,66.46925,SATISFIABLE,False,60.0
5.0,logistics.a.cnf,cardinality_exact_r_heavy,planning_scheduling,B_kissat,66.476822,SATISFIABLE,False,60.0
5.0,Folkman-175-9054056.sanitized.cnf,matching_hall_like,competition_main,A_cadical,60008.348218,TIMEOUT,True,60.0
5.0,Folkman-175-9054056.sanitized.cnf,matching_hall_like,competition_main,B_kissat,60049.288133,TIMEOUT,True,60.0
5.0,g2-hwmcc15deep-6s161-k17.cnf,no_useful_detected_structure,competition_main,A_cadical,60007.531452,TIMEOUT,True,60.0
5.0,g2-hwmcc15deep-6s161-k17.cnf,no_useful_detected_structure,competition_main,B_kissat,60050.492464,TIMEOUT,True,60.0
5.0,uuf200-051.cnf,resource_allocation_like,random_control,A_cadical,17.662783,TIMEOUT,True,60.0
5.0,uuf200-051.cnf,resource_allocation_like,random_control,B_kissat,17.434806,TIMEOUT,True,60.0
5.0,par32-1-c.cnf,cardinality_exact_r_heavy,crafted_parity,A_cadical,60045.229162,TIMEOUT,True,60.0
5.0,par32-1-c.cnf,cardinality_exact_r_heavy,crafted_parity,B_kissat,60036.723195,TIMEOUT,True,60.0
5.0,noL-11-16.sanitized.cnf,matching_hall_like,competition_main,A_cadical,27069.68776,TIMEOUT,True,60.0
5.0,noL-11-16.sanitized.cnf,matching_hall_like,competition_main,B_kissat,44135.032315,TIMEOUT,True,60.0
5.0,j3037_10_mdd_b.cnf,no_useful_detected_structure,competition_main,A_cadical,1572.224784,SATISFIABLE,False,60.0
5.0,j3037_10_mdd_b.cnf,no_useful_detected_structure,competition_main,B_kissat,60038.904757,TIMEOUT,True,60.0
