instance,stratum,domain,mode,measured_at_timeout_s,runtime_ms,status,timed_out
aim-50-1_6-no-1.cnf,cardinality_exact_r_heavy,crafted_structured,A_cadical,60.0,66.513822,UNSATISFIABLE,False
aim-50-1_6-no-1.cnf,cardinality_exact_r_heavy,crafted_structured,B_kissat,60.0,34.801442,UNSATISFIABLE,False
hole6.cnf,lkk_direct_structural_unsat,matching_capacity,A_cadical,60.0,118.455692,UNSATISFIABLE,False
hole6.cnf,lkk_direct_structural_unsat,matching_capacity,B_kissat,60.0,35.586043,UNSATISFIABLE,False
noL-11-4.sanitized.cnf,matching_hall_like,competition_main,A_cadical,60.0,60054.826707,TIMEOUT,True
noL-11-4.sanitized.cnf,matching_hall_like,competition_main,B_kissat,60.0,60052.270941,TIMEOUT,True
e0ddr2-10-by-5-4.cnf,no_useful_detected_structure,planning_scheduling,A_cadical,60.0,417.368816,SATISFIABLE,False
e0ddr2-10-by-5-4.cnf,no_useful_detected_structure,planning_scheduling,B_kissat,60.0,66.333172,SATISFIABLE,False
uf250-029.cnf,resource_allocation_like,random_control,A_cadical,60.0,17.5247,UNKNOWN,False
uf250-029.cnf,resource_allocation_like,random_control,B_kissat,60.0,17.963431,UNKNOWN,False
ais6.cnf,structural_not_closed_by_flow,matching_capacity,A_cadical,60.0,66.127721,SATISFIABLE,False
ais6.cnf,structural_not_closed_by_flow,matching_capacity,B_kissat,60.0,18.179751,SATISFIABLE,False
mdp-32-16-sat.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,60.0,60049.238543,TIMEOUT,True
mdp-32-16-sat.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60.0,60051.245376,TIMEOUT,True
hole10.cnf,lkk_direct_structural_unsat,matching_capacity,A_cadical,60.0,60051.104367,TIMEOUT,True
hole10.cnf,lkk_direct_structural_unsat,matching_capacity,B_kissat,60.0,2325.058484,UNSATISFIABLE,False
noL-11-20.sanitized.cnf,matching_hall_like,competition_main,A_cadical,60.0,51469.419767,SATISFIABLE,False
noL-11-20.sanitized.cnf,matching_hall_like,competition_main,B_kissat,60.0,45805.765562,SATISFIABLE,False
combined-crypto1-wff-seed-1-wffvars-450-cryptocplx-40-overlap-2.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,17838.798801,SATISFIABLE,False
combined-crypto1-wff-seed-1-wffvars-450-cryptocplx-40-overlap-2.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,38767.913133,SATISFIABLE,False
flat200-78.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,66.315458,SATISFIABLE,False
flat200-78.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,33.802889,SATISFIABLE,False
mchess_17.cnf,structural_not_closed_by_flow,competition_main,A_cadical,60.0,60044.928743,TIMEOUT,True
mchess_17.cnf,structural_not_closed_by_flow,competition_main,B_kissat,60.0,60043.832478,TIMEOUT,True
2bitadd_12.cnf,cardinality_exact_r_heavy,planning_scheduling,A_cadical,60.0,66.114108,SATISFIABLE,False
2bitadd_12.cnf,cardinality_exact_r_heavy,planning_scheduling,B_kissat,60.0,66.636252,SATISFIABLE,False
Schur_161_5_d38.cnf,matching_hall_like,competition_main,A_cadical,60.0,60057.926948,TIMEOUT,True
Schur_161_5_d38.cnf,matching_hall_like,competition_main,B_kissat,60.0,60054.034173,TIMEOUT,True
hwmcc17miters-xits-iso-oski15a08b00s.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60048.034497,TIMEOUT,True
hwmcc17miters-xits-iso-oski15a08b00s.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,6894.565593,UNSATISFIABLE,False
lec_mult_CvW_12x12.sanitized.cnf,resource_allocation_like,competition_main,A_cadical,60.0,60048.928391,TIMEOUT,True
lec_mult_CvW_12x12.sanitized.cnf,resource_allocation_like,competition_main,B_kissat,60.0,60044.313799,TIMEOUT,True
logistics.a.cnf,cardinality_exact_r_heavy,planning_scheduling,A_cadical,60.0,66.46925,SATISFIABLE,False
logistics.a.cnf,cardinality_exact_r_heavy,planning_scheduling,B_kissat,60.0,66.476822,SATISFIABLE,False
Folkman-175-9054056.sanitized.cnf,matching_hall_like,competition_main,A_cadical,60.0,60008.348218,TIMEOUT,True
Folkman-175-9054056.sanitized.cnf,matching_hall_like,competition_main,B_kissat,60.0,60049.288133,TIMEOUT,True
g2-hwmcc15deep-6s161-k17.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60007.531452,TIMEOUT,True
g2-hwmcc15deep-6s161-k17.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60050.492464,TIMEOUT,True
uuf200-051.cnf,resource_allocation_like,random_control,A_cadical,60.0,17.662783,UNKNOWN,False
uuf200-051.cnf,resource_allocation_like,random_control,B_kissat,60.0,17.434806,UNKNOWN,False
par32-1-c.cnf,cardinality_exact_r_heavy,crafted_parity,A_cadical,60.0,60045.229162,TIMEOUT,True
par32-1-c.cnf,cardinality_exact_r_heavy,crafted_parity,B_kissat,60.0,60036.723195,TIMEOUT,True
noL-11-16.sanitized.cnf,matching_hall_like,competition_main,A_cadical,60.0,27069.68776,SATISFIABLE,False
