instance,stratum,mode,runtime_ms,status
aim-50-1_6-no-1.cnf,cardinality_exact_r_heavy,C_lkk_cadical,18.237894,UNSATISFIABLE
aim-50-1_6-no-1.cnf,cardinality_exact_r_heavy,D_lkk_kissat,67.016937,UNSATISFIABLE
hole6.cnf,lkk_direct_structural_unsat,C_lkk_cadical,18.165224,UNSATISFIABLE
hole6.cnf,lkk_direct_structural_unsat,D_lkk_kissat,9.498291,UNSATISFIABLE
noL-11-4.sanitized.cnf,matching_hall_like,C_lkk_cadical,60045.332353,TIMEOUT
noL-11-4.sanitized.cnf,matching_hall_like,D_lkk_kissat,60044.81206,TIMEOUT
e0ddr2-10-by-5-4.cnf,no_useful_detected_structure,C_lkk_cadical,166.371577,SATISFIABLE
e0ddr2-10-by-5-4.cnf,no_useful_detected_structure,D_lkk_kissat,217.138328,SATISFIABLE
uf250-029.cnf,resource_allocation_like,C_lkk_cadical,4082.633286,SATISFIABLE
uf250-029.cnf,resource_allocation_like,D_lkk_kissat,1673.766469,SATISFIABLE
ais6.cnf,structural_not_closed_by_flow,C_lkk_cadical,17.989171,SATISFIABLE
ais6.cnf,structural_not_closed_by_flow,D_lkk_kissat,66.897908,SATISFIABLE
mdp-32-16-sat.cnf,cardinality_exact_r_heavy,C_lkk_cadical,60045.497103,TIMEOUT
mdp-32-16-sat.cnf,cardinality_exact_r_heavy,D_lkk_kissat,60016.785393,TIMEOUT
hole10.cnf,lkk_direct_structural_unsat,C_lkk_cadical,18.89576,UNSATISFIABLE
hole10.cnf,lkk_direct_structural_unsat,D_lkk_kissat,35.520669,UNSATISFIABLE
noL-11-20.sanitized.cnf,matching_hall_like,C_lkk_cadical,52992.908075,SATISFIABLE
noL-11-20.sanitized.cnf,matching_hall_like,D_lkk_kissat,43140.564381,SATISFIABLE
combined-crypto1-wff-seed-1-wffvars-450-cryptocplx-40-overlap-2.cnf,no_useful_detected_structure,C_lkk_cadical,19943.223154,SATISFIABLE
combined-crypto1-wff-seed-1-wffvars-450-cryptocplx-40-overlap-2.cnf,no_useful_detected_structure,D_lkk_kissat,6237.540512,SATISFIABLE
flat200-78.cnf,resource_allocation_like,C_lkk_cadical,66.605589,SATISFIABLE
flat200-78.cnf,resource_allocation_like,D_lkk_kissat,65.916918,SATISFIABLE
mchess_17.cnf,structural_not_closed_by_flow,C_lkk_cadical,60045.883937,TIMEOUT
mchess_17.cnf,structural_not_closed_by_flow,D_lkk_kissat,60041.415322,TIMEOUT
2bitadd_12.cnf,cardinality_exact_r_heavy,C_lkk_cadical,34.09968,SATISFIABLE
2bitadd_12.cnf,cardinality_exact_r_heavy,D_lkk_kissat,116.758749,SATISFIABLE
Schur_161_5_d38.cnf,matching_hall_like,C_lkk_cadical,60048.748481,TIMEOUT
Schur_161_5_d38.cnf,matching_hall_like,D_lkk_kissat,60047.632731,TIMEOUT
hwmcc17miters-xits-iso-oski15a08b00s.sanitized.cnf,no_useful_detected_structure,C_lkk_cadical,60017.697581,TIMEOUT
hwmcc17miters-xits-iso-oski15a08b00s.sanitized.cnf,no_useful_detected_structure,D_lkk_kissat,17080.223076,UNSATISFIABLE
lec_mult_CvW_12x12.sanitized.cnf,resource_allocation_like,C_lkk_cadical,60054.349498,TIMEOUT
lec_mult_CvW_12x12.sanitized.cnf,resource_allocation_like,D_lkk_kissat,60051.851913,TIMEOUT
logistics.a.cnf,cardinality_exact_r_heavy,C_lkk_cadical,34.402328,SATISFIABLE
logistics.a.cnf,cardinality_exact_r_heavy,D_lkk_kissat,116.423539,SATISFIABLE
Folkman-175-9054056.sanitized.cnf,matching_hall_like,C_lkk_cadical,60008.313533,TIMEOUT
Folkman-175-9054056.sanitized.cnf,matching_hall_like,D_lkk_kissat,60020.690072,TIMEOUT
g2-hwmcc15deep-6s161-k17.cnf,no_useful_detected_structure,C_lkk_cadical,60024.977711,TIMEOUT
g2-hwmcc15deep-6s161-k17.cnf,no_useful_detected_structure,D_lkk_kissat,60010.687401,TIMEOUT
uuf200-051.cnf,resource_allocation_like,C_lkk_cadical,669.222707,UNSATISFIABLE
uuf200-051.cnf,resource_allocation_like,D_lkk_kissat,719.233309,UNSATISFIABLE
par32-1-c.cnf,cardinality_exact_r_heavy,C_lkk_cadical,60010.183778,TIMEOUT
par32-1-c.cnf,cardinality_exact_r_heavy,D_lkk_kissat,60043.270353,TIMEOUT
noL-11-16.sanitized.cnf,matching_hall_like,C_lkk_cadical,31514.355642,SATISFIABLE
noL-11-16.sanitized.cnf,matching_hall_like,D_lkk_kissat,49883.529192,SATISFIABLE
j3037_10_mdd_b.cnf,no_useful_detected_structure,C_lkk_cadical,7444.36822,SATISFIABLE
j3037_10_mdd_b.cnf,no_useful_detected_structure,D_lkk_kissat,27017.457855,SATISFIABLE
Break_08_24.xml.cnf,resource_allocation_like,C_lkk_cadical,517.683435,SATISFIABLE
Break_08_24.xml.cnf,resource_allocation_like,D_lkk_kissat,669.223398,SATISFIABLE
dubois25.cnf,cardinality_exact_r_heavy,C_lkk_cadical,18.783781,UNSATISFIABLE
dubois25.cnf,cardinality_exact_r_heavy,D_lkk_kissat,34.084816,UNSATISFIABLE
