timeout_s,instance,stratum,domain,mode,runtime_ms,status,timed_out,derived_from_timeout_s
5.0,aim-50-1_6-no-1.cnf,cardinality_exact_r_heavy,crafted_structured,A_cadical,66.948174,UNSATISFIABLE,False,60.0
5.0,aim-50-1_6-no-1.cnf,cardinality_exact_r_heavy,crafted_structured,B_kissat,34.3075,UNSATISFIABLE,False,60.0
5.0,hole6.cnf,lkk_direct_structural_unsat,matching_capacity,A_cadical,66.243968,UNSATISFIABLE,False,60.0
5.0,hole6.cnf,lkk_direct_structural_unsat,matching_capacity,B_kissat,33.905413,UNSATISFIABLE,False,60.0
5.0,noL-11-4.sanitized.cnf,matching_hall_like,competition_main,A_cadical,60019.303516,TIMEOUT,True,60.0
5.0,noL-11-4.sanitized.cnf,matching_hall_like,competition_main,B_kissat,60026.220823,TIMEOUT,True,60.0
5.0,e0ddr2-10-by-5-4.cnf,no_useful_detected_structure,planning_scheduling,A_cadical,519.294075,SATISFIABLE,False,60.0
5.0,e0ddr2-10-by-5-4.cnf,no_useful_detected_structure,planning_scheduling,B_kissat,67.823666,SATISFIABLE,False,60.0
5.0,uf250-029.cnf,resource_allocation_like,random_control,A_cadical,769.870243,SATISFIABLE,False,60.0
5.0,uf250-029.cnf,resource_allocation_like,random_control,B_kissat,2478.194291,SATISFIABLE,False,60.0
5.0,ais6.cnf,structural_not_closed_by_flow,matching_capacity,A_cadical,67.564677,SATISFIABLE,False,60.0
5.0,ais6.cnf,structural_not_closed_by_flow,matching_capacity,B_kissat,35.091988,SATISFIABLE,False,60.0
5.0,mdp-32-16-sat.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,60024.409258,TIMEOUT,True,60.0
5.0,mdp-32-16-sat.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60035.987836,TIMEOUT,True,60.0
5.0,hole10.cnf,lkk_direct_structural_unsat,matching_capacity,A_cadical,60046.097793,TIMEOUT,True,60.0
5.0,hole10.cnf,lkk_direct_structural_unsat,matching_capacity,B_kissat,2123.267165,UNSATISFIABLE,False,60.0
5.0,noL-11-20.sanitized.cnf,matching_hall_like,competition_main,A_cadical,49105.325544,TIMEOUT,True,60.0
5.0,noL-11-20.sanitized.cnf,matching_hall_like,competition_main,B_kissat,41626.227093,TIMEOUT,True,60.0
5.0,combined-crypto1-wff-seed-1-wffvars-450-cryptocplx-40-overlap-2.cnf,no_useful_detected_structure,competition_main,A_cadical,16481.584128,TIMEOUT,True,60.0
5.0,combined-crypto1-wff-seed-1-wffvars-450-cryptocplx-40-overlap-2.cnf,no_useful_detected_structure,competition_main,B_kissat,38666.146306,TIMEOUT,True,60.0
5.0,flat200-78.cnf,resource_allocation_like,matching_capacity,A_cadical,66.093388,SATISFIABLE,False,60.0
5.0,flat200-78.cnf,resource_allocation_like,matching_capacity,B_kissat,34.054006,SATISFIABLE,False,60.0
5.0,mchess_17.cnf,structural_not_closed_by_flow,competition_main,A_cadical,60047.12777,TIMEOUT,True,60.0
5.0,mchess_17.cnf,structural_not_closed_by_flow,competition_main,B_kissat,60041.564946,TIMEOUT,True,60.0
5.0,2bitadd_12.cnf,cardinality_exact_r_heavy,planning_scheduling,A_cadical,67.042127,SATISFIABLE,False,60.0
5.0,2bitadd_12.cnf,cardinality_exact_r_heavy,planning_scheduling,B_kissat,67.463964,SATISFIABLE,False,60.0
5.0,Schur_161_5_d38.cnf,matching_hall_like,competition_main,A_cadical,60048.046829,TIMEOUT,True,60.0
5.0,Schur_161_5_d38.cnf,matching_hall_like,competition_main,B_kissat,60049.956437,TIMEOUT,True,60.0
5.0,hwmcc17miters-xits-iso-oski15a08b00s.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60053.742275,TIMEOUT,True,60.0
5.0,hwmcc17miters-xits-iso-oski15a08b00s.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,6995.121176,TIMEOUT,True,60.0
5.0,lec_mult_CvW_12x12.sanitized.cnf,resource_allocation_like,competition_main,A_cadical,60016.005199,TIMEOUT,True,60.0
5.0,lec_mult_CvW_12x12.sanitized.cnf,resource_allocation_like,competition_main,B_kissat,60051.158472,TIMEOUT,True,60.0
5.0,logistics.a.cnf,cardinality_exact_r_heavy,planning_scheduling,A_cadical,117.049115,SATISFIABLE,False,60.0
5.0,logistics.a.cnf,cardinality_exact_r_heavy,planning_scheduling,B_kissat,117.223072,SATISFIABLE,False,60.0
5.0,Folkman-175-9054056.sanitized.cnf,matching_hall_like,competition_main,A_cadical,60018.951826,TIMEOUT,True,60.0
5.0,Folkman-175-9054056.sanitized.cnf,matching_hall_like,competition_main,B_kissat,60018.126296,TIMEOUT,True,60.0
5.0,g2-hwmcc15deep-6s161-k17.cnf,no_useful_detected_structure,competition_main,A_cadical,60013.513171,TIMEOUT,True,60.0
5.0,g2-hwmcc15deep-6s161-k17.cnf,no_useful_detected_structure,competition_main,B_kissat,60007.101347,TIMEOUT,True,60.0
5.0,uuf200-051.cnf,resource_allocation_like,random_control,A_cadical,518.732268,UNSATISFIABLE,False,60.0
5.0,uuf200-051.cnf,resource_allocation_like,random_control,B_kissat,518.159108,UNSATISFIABLE,False,60.0
5.0,par32-1-c.cnf,cardinality_exact_r_heavy,crafted_parity,A_cadical,60015.097705,TIMEOUT,True,60.0
5.0,par32-1-c.cnf,cardinality_exact_r_heavy,crafted_parity,B_kissat,60009.659225,TIMEOUT,True,60.0
5.0,noL-11-16.sanitized.cnf,matching_hall_like,competition_main,A_cadical,27929.702763,TIMEOUT,True,60.0
5.0,noL-11-16.sanitized.cnf,matching_hall_like,competition_main,B_kissat,44234.880503,TIMEOUT,True,60.0
5.0,j3037_10_mdd_b.cnf,no_useful_detected_structure,competition_main,A_cadical,1522.1635,SATISFIABLE,False,60.0
5.0,j3037_10_mdd_b.cnf,no_useful_detected_structure,competition_main,B_kissat,60044.936067,TIMEOUT,True,60.0
5.0,Break_08_24.xml.cnf,resource_allocation_like,competition_main,A_cadical,568.629514,SATISFIABLE,False,60.0
5.0,Break_08_24.xml.cnf,resource_allocation_like,competition_main,B_kissat,468.349488,SATISFIABLE,False,60.0
5.0,dubois25.cnf,cardinality_exact_r_heavy,crafted_parity,A_cadical,66.226181,UNSATISFIABLE,False,60.0
5.0,dubois25.cnf,cardinality_exact_r_heavy,crafted_parity,B_kissat,17.557459,UNSATISFIABLE,False,60.0
5.0,Folkman-180-5383714.sanitized.cnf,matching_hall_like,competition_main,A_cadical,60007.418399,TIMEOUT,True,60.0
5.0,Folkman-180-5383714.sanitized.cnf,matching_hall_like,competition_main,B_kissat,60053.594963,TIMEOUT,True,60.0
5.0,Dodecahedron-k7.cnf,no_useful_detected_structure,competition_main,A_cadical,60024.916169,TIMEOUT,True,60.0
5.0,Dodecahedron-k7.cnf,no_useful_detected_structure,competition_main,B_kissat,60005.117767,TIMEOUT,True,60.0
5.0,uf250-059.cnf,resource_allocation_like,random_control,A_cadical,468.237733,SATISFIABLE,False,60.0
5.0,uf250-059.cnf,resource_allocation_like,random_control,B_kissat,116.879368,SATISFIABLE,False,60.0
5.0,2bitadd_10.cnf,cardinality_exact_r_heavy,planning_scheduling,A_cadical,10256.248903,TIMEOUT,True,60.0
5.0,2bitadd_10.cnf,cardinality_exact_r_heavy,planning_scheduling,B_kissat,3278.250137,UNSATISFIABLE,False,60.0
5.0,bmc-galileo-9.cnf,no_useful_detected_structure,eda_formal_verification,A_cadical,2073.45648,SATISFIABLE,False,60.0
5.0,bmc-galileo-9.cnf,no_useful_detected_structure,eda_formal_verification,B_kissat,870.461035,SATISFIABLE,False,60.0
5.0,uuf200-07.cnf,resource_allocation_like,random_control,A_cadical,669.091455,UNSATISFIABLE,False,60.0
5.0,uuf200-07.cnf,resource_allocation_like,random_control,B_kissat,417.822901,UNSATISFIABLE,False,60.0
5.0,mp1-Nb5T15.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,19243.326041,TIMEOUT,True,60.0
5.0,mp1-Nb5T15.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60050.791741,TIMEOUT,True,60.0
