instance,stratum,domain,mode,measured_at_timeout_s,runtime_ms,status,timed_out
aim-50-1_6-no-1.cnf,cardinality_exact_r_heavy,crafted_structured,A_cadical,60.0,66.948174,UNSATISFIABLE,False
aim-50-1_6-no-1.cnf,cardinality_exact_r_heavy,crafted_structured,B_kissat,60.0,34.3075,UNSATISFIABLE,False
hole6.cnf,lkk_direct_structural_unsat,matching_capacity,A_cadical,60.0,66.243968,UNSATISFIABLE,False
hole6.cnf,lkk_direct_structural_unsat,matching_capacity,B_kissat,60.0,33.905413,UNSATISFIABLE,False
noL-11-4.sanitized.cnf,matching_hall_like,competition_main,A_cadical,60.0,60019.303516,TIMEOUT,True
noL-11-4.sanitized.cnf,matching_hall_like,competition_main,B_kissat,60.0,60026.220823,TIMEOUT,True
e0ddr2-10-by-5-4.cnf,no_useful_detected_structure,planning_scheduling,A_cadical,60.0,519.294075,SATISFIABLE,False
e0ddr2-10-by-5-4.cnf,no_useful_detected_structure,planning_scheduling,B_kissat,60.0,67.823666,SATISFIABLE,False
uf250-029.cnf,resource_allocation_like,random_control,A_cadical,60.0,769.870243,SATISFIABLE,False
uf250-029.cnf,resource_allocation_like,random_control,B_kissat,60.0,2478.194291,SATISFIABLE,False
ais6.cnf,structural_not_closed_by_flow,matching_capacity,A_cadical,60.0,67.564677,SATISFIABLE,False
ais6.cnf,structural_not_closed_by_flow,matching_capacity,B_kissat,60.0,35.091988,SATISFIABLE,False
mdp-32-16-sat.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,60.0,60024.409258,TIMEOUT,True
mdp-32-16-sat.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60.0,60035.987836,TIMEOUT,True
hole10.cnf,lkk_direct_structural_unsat,matching_capacity,A_cadical,60.0,60046.097793,TIMEOUT,True
hole10.cnf,lkk_direct_structural_unsat,matching_capacity,B_kissat,60.0,2123.267165,UNSATISFIABLE,False
noL-11-20.sanitized.cnf,matching_hall_like,competition_main,A_cadical,60.0,49105.325544,SATISFIABLE,False
noL-11-20.sanitized.cnf,matching_hall_like,competition_main,B_kissat,60.0,41626.227093,SATISFIABLE,False
combined-crypto1-wff-seed-1-wffvars-450-cryptocplx-40-overlap-2.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,16481.584128,SATISFIABLE,False
combined-crypto1-wff-seed-1-wffvars-450-cryptocplx-40-overlap-2.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,38666.146306,SATISFIABLE,False
flat200-78.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,66.093388,SATISFIABLE,False
flat200-78.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,34.054006,SATISFIABLE,False
mchess_17.cnf,structural_not_closed_by_flow,competition_main,A_cadical,60.0,60047.12777,TIMEOUT,True
mchess_17.cnf,structural_not_closed_by_flow,competition_main,B_kissat,60.0,60041.564946,TIMEOUT,True
2bitadd_12.cnf,cardinality_exact_r_heavy,planning_scheduling,A_cadical,60.0,67.042127,SATISFIABLE,False
2bitadd_12.cnf,cardinality_exact_r_heavy,planning_scheduling,B_kissat,60.0,67.463964,SATISFIABLE,False
Schur_161_5_d38.cnf,matching_hall_like,competition_main,A_cadical,60.0,60048.046829,TIMEOUT,True
Schur_161_5_d38.cnf,matching_hall_like,competition_main,B_kissat,60.0,60049.956437,TIMEOUT,True
hwmcc17miters-xits-iso-oski15a08b00s.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60053.742275,TIMEOUT,True
hwmcc17miters-xits-iso-oski15a08b00s.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,6995.121176,UNSATISFIABLE,False
lec_mult_CvW_12x12.sanitized.cnf,resource_allocation_like,competition_main,A_cadical,60.0,60016.005199,TIMEOUT,True
lec_mult_CvW_12x12.sanitized.cnf,resource_allocation_like,competition_main,B_kissat,60.0,60051.158472,TIMEOUT,True
logistics.a.cnf,cardinality_exact_r_heavy,planning_scheduling,A_cadical,60.0,117.049115,SATISFIABLE,False
logistics.a.cnf,cardinality_exact_r_heavy,planning_scheduling,B_kissat,60.0,117.223072,SATISFIABLE,False
Folkman-175-9054056.sanitized.cnf,matching_hall_like,competition_main,A_cadical,60.0,60018.951826,TIMEOUT,True
Folkman-175-9054056.sanitized.cnf,matching_hall_like,competition_main,B_kissat,60.0,60018.126296,TIMEOUT,True
g2-hwmcc15deep-6s161-k17.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60013.513171,TIMEOUT,True
g2-hwmcc15deep-6s161-k17.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60007.101347,TIMEOUT,True
uuf200-051.cnf,resource_allocation_like,random_control,A_cadical,60.0,518.732268,UNSATISFIABLE,False
uuf200-051.cnf,resource_allocation_like,random_control,B_kissat,60.0,518.159108,UNSATISFIABLE,False
par32-1-c.cnf,cardinality_exact_r_heavy,crafted_parity,A_cadical,60.0,60015.097705,TIMEOUT,True
par32-1-c.cnf,cardinality_exact_r_heavy,crafted_parity,B_kissat,60.0,60009.659225,TIMEOUT,True
noL-11-16.sanitized.cnf,matching_hall_like,competition_main,A_cadical,60.0,27929.702763,SATISFIABLE,False
noL-11-16.sanitized.cnf,matching_hall_like,competition_main,B_kissat,60.0,44234.880503,SATISFIABLE,False
j3037_10_mdd_b.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,1522.1635,SATISFIABLE,False
j3037_10_mdd_b.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60044.936067,TIMEOUT,True
Break_08_24.xml.cnf,resource_allocation_like,competition_main,A_cadical,60.0,568.629514,SATISFIABLE,False
Break_08_24.xml.cnf,resource_allocation_like,competition_main,B_kissat,60.0,468.349488,SATISFIABLE,False
dubois25.cnf,cardinality_exact_r_heavy,crafted_parity,A_cadical,60.0,66.226181,UNSATISFIABLE,False
dubois25.cnf,cardinality_exact_r_heavy,crafted_parity,B_kissat,60.0,17.557459,UNSATISFIABLE,False
Folkman-180-5383714.sanitized.cnf,matching_hall_like,competition_main,A_cadical,60.0,60007.418399,TIMEOUT,True
Folkman-180-5383714.sanitized.cnf,matching_hall_like,competition_main,B_kissat,60.0,60053.594963,TIMEOUT,True
Dodecahedron-k7.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60024.916169,TIMEOUT,True
Dodecahedron-k7.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60005.117767,TIMEOUT,True
uf250-059.cnf,resource_allocation_like,random_control,A_cadical,60.0,468.237733,SATISFIABLE,False
uf250-059.cnf,resource_allocation_like,random_control,B_kissat,60.0,116.879368,SATISFIABLE,False
2bitadd_10.cnf,cardinality_exact_r_heavy,planning_scheduling,A_cadical,60.0,10256.248903,UNSATISFIABLE,False
2bitadd_10.cnf,cardinality_exact_r_heavy,planning_scheduling,B_kissat,60.0,3278.250137,UNSATISFIABLE,False
bmc-galileo-9.cnf,no_useful_detected_structure,eda_formal_verification,A_cadical,60.0,2073.45648,SATISFIABLE,False
bmc-galileo-9.cnf,no_useful_detected_structure,eda_formal_verification,B_kissat,60.0,870.461035,SATISFIABLE,False
uuf200-07.cnf,resource_allocation_like,random_control,A_cadical,60.0,669.091455,UNSATISFIABLE,False
uuf200-07.cnf,resource_allocation_like,random_control,B_kissat,60.0,417.822901,UNSATISFIABLE,False
mp1-Nb5T15.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,60.0,19243.326041,SATISFIABLE,False
mp1-Nb5T15.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60.0,60050.791741,TIMEOUT,True
par32-3.cnf,no_useful_detected_structure,crafted_parity,A_cadical,60.0,60046.195374,TIMEOUT,True
par32-3.cnf,no_useful_detected_structure,crafted_parity,B_kissat,60.0,60042.656551,TIMEOUT,True
flat200-77.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,66.522329,SATISFIABLE,False
flat200-77.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,66.340712,SATISFIABLE,False
mdp-36-10-sat.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,60.0,60046.528357,TIMEOUT,True
mdp-36-10-sat.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60.0,60039.235019,TIMEOUT,True
hwmcc20miters-iso-rast-p11.sanitized.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,2224.911561,UNSATISFIABLE,False
hwmcc20miters-iso-rast-p11.sanitized.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,368.434035,UNSATISFIABLE,False
flat200-96.cnf,resource_allocation_like,matching_capacity,A_cadical,60.0,168.042793,SATISFIABLE,False
flat200-96.cnf,resource_allocation_like,matching_capacity,B_kissat,60.0,34.138495,SATISFIABLE,False
4blocksb.cnf,cardinality_exact_r_heavy,planning_scheduling,A_cadical,60.0,167.88853,SATISFIABLE,False
4blocksb.cnf,cardinality_exact_r_heavy,planning_scheduling,B_kissat,60.0,117.194195,SATISFIABLE,False
g2-slp-synthesis-aes-top30.cnf,no_useful_detected_structure,competition_main,A_cadical,60.0,60008.106966,TIMEOUT,True
g2-slp-synthesis-aes-top30.cnf,no_useful_detected_structure,competition_main,B_kissat,60.0,60015.280977,TIMEOUT,True
uf250-086.cnf,resource_allocation_like,random_control,A_cadical,60.0,618.104042,SATISFIABLE,False
uf250-086.cnf,resource_allocation_like,random_control,B_kissat,60.0,568.877337,SATISFIABLE,False
mdp-28-11-sat.cnf,cardinality_exact_r_heavy,competition_main,A_cadical,60.0,29480.976887,SATISFIABLE,False
mdp-28-11-sat.cnf,cardinality_exact_r_heavy,competition_main,B_kissat,60.0,60032.523611,TIMEOUT,True
