instance,mode,seed,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,witness_ms,fallback_ms,fallback_serialize_ms,fallback_overhead_ms,total_end_to_end_ms,structural_result,fallback_used,peak_rss_kb
bmc-galileo-8.cnf,C_lkk_cadical,1,225.279,204.659,0,0,0,0,855.334,0,0,1336.12,UNKNOWN,True,86152
bmc-galileo-8.cnf,D_lkk_kissat,1,245.27,128.089,0,0,0,0,265.847,84.3938,130.241,777.591,UNKNOWN,True,46976
bmc-galileo-8.cnf,E_lkk_selector,1,192.085,192.562,0,0,0,0,246.556,84.7723,121.329,764.4,UNKNOWN,True,46100
bmc-ibm-10.cnf,C_lkk_cadical,1,212.985,198.004,0,0,0,0,703.687,0,0,1178.55,UNKNOWN,True,85464
bmc-ibm-10.cnf,D_lkk_kissat,1,216.315,193.462,0,0,0,0,336.333,102.605,148.938,911.238,UNKNOWN,True,51020
bmc-ibm-10.cnf,E_lkk_selector,1,232.641,184.118,0,0,0,0,340.855,101.947,142.802,927.259,UNKNOWN,True,52008
bmc-ibm-11.cnf,D_lkk_kissat,1,92.2361,51.7059,0,0,0,0,550.643,46.5444,-402.813,765.583,UNKNOWN,True,26044
bmc-ibm-11.cnf,E_lkk_selector,1,102.79,59.2648,0,0,0,0,626.299,50.6085,-323.092,865.154,UNKNOWN,True,26952
bmc-ibm-11.cnf,C_lkk_cadical,1,111.771,65.4778,0,0,0,0,455.872,0,0,651.723,UNKNOWN,True,46192
bmc-ibm-12.cnf,E_lkk_selector,1,135.135,107.449,0,0,0,0,1522.33,86.1104,608.445,1903.73,UNKNOWN,True,34108
bmc-ibm-12.cnf,C_lkk_cadical,1,162.703,110.378,0,0,0,0,1646.45,0,0,1967.47,UNKNOWN,True,64712
bmc-ibm-12.cnf,D_lkk_kissat,1,134.664,107.043,0,0,0,0,1404.09,74.6236,478.709,1760.41,UNKNOWN,True,33992
bmc-ibm-13.cnf,C_lkk_cadical,1,36.9574,16.8659,0,0,0,0,119.07,0,0,179.801,UNKNOWN,True,22148
