instance,stratum,mode,runtime_ms,status
aim-50-1_6-no-1.cnf,cardinality_exact_r_heavy,C_lkk_cadical,34.330531,UNSATISFIABLE
aim-50-1_6-no-1.cnf,cardinality_exact_r_heavy,D_lkk_kissat,67.008756,UNSATISFIABLE
hole6.cnf,lkk_direct_structural_unsat,C_lkk_cadical,34.959866,UNSATISFIABLE
hole6.cnf,lkk_direct_structural_unsat,D_lkk_kissat,18.948121,UNSATISFIABLE
noL-11-4.sanitized.cnf,matching_hall_like,C_lkk_cadical,60046.993223,TIMEOUT
noL-11-4.sanitized.cnf,matching_hall_like,D_lkk_kissat,60051.521491,TIMEOUT
e0ddr2-10-by-5-4.cnf,no_useful_detected_structure,C_lkk_cadical,167.407797,SATISFIABLE
e0ddr2-10-by-5-4.cnf,no_useful_detected_structure,D_lkk_kissat,268.042153,SATISFIABLE
uf250-029.cnf,resource_allocation_like,C_lkk_cadical,4635.384943,SATISFIABLE
uf250-029.cnf,resource_allocation_like,D_lkk_kissat,1673.245964,SATISFIABLE
ais6.cnf,structural_not_closed_by_flow,C_lkk_cadical,34.649323,SATISFIABLE
ais6.cnf,structural_not_closed_by_flow,D_lkk_kissat,67.407323,SATISFIABLE
mdp-32-16-sat.cnf,cardinality_exact_r_heavy,C_lkk_cadical,60054.442095,TIMEOUT
mdp-32-16-sat.cnf,cardinality_exact_r_heavy,D_lkk_kissat,60041.916806,TIMEOUT
hole10.cnf,lkk_direct_structural_unsat,C_lkk_cadical,34.542542,UNSATISFIABLE
hole10.cnf,lkk_direct_structural_unsat,D_lkk_kissat,35.184541,UNSATISFIABLE
noL-11-20.sanitized.cnf,matching_hall_like,C_lkk_cadical,48252.411296,SATISFIABLE
noL-11-20.sanitized.cnf,matching_hall_like,D_lkk_kissat,40316.282242,SATISFIABLE
combined-crypto1-wff-seed-1-wffvars-450-cryptocplx-40-overlap-2.cnf,no_useful_detected_structure,C_lkk_cadical,18989.715536,SATISFIABLE
combined-crypto1-wff-seed-1-wffvars-450-cryptocplx-40-overlap-2.cnf,no_useful_detected_structure,D_lkk_kissat,6690.455194,SATISFIABLE
flat200-78.cnf,resource_allocation_like,C_lkk_cadical,66.177008,SATISFIABLE
flat200-78.cnf,resource_allocation_like,D_lkk_kissat,65.873539,SATISFIABLE
mchess_17.cnf,structural_not_closed_by_flow,C_lkk_cadical,60045.590558,TIMEOUT
mchess_17.cnf,structural_not_closed_by_flow,D_lkk_kissat,60045.331371,TIMEOUT
2bitadd_12.cnf,cardinality_exact_r_heavy,C_lkk_cadical,34.159266,SATISFIABLE
2bitadd_12.cnf,cardinality_exact_r_heavy,D_lkk_kissat,116.518304,SATISFIABLE
Schur_161_5_d38.cnf,matching_hall_like,C_lkk_cadical,60051.05649,TIMEOUT
Schur_161_5_d38.cnf,matching_hall_like,D_lkk_kissat,60047.664598,TIMEOUT
hwmcc17miters-xits-iso-oski15a08b00s.sanitized.cnf,no_useful_detected_structure,C_lkk_cadical,60013.105191,TIMEOUT
hwmcc17miters-xits-iso-oski15a08b00s.sanitized.cnf,no_useful_detected_structure,D_lkk_kissat,16525.586937,UNSATISFIABLE
lec_mult_CvW_12x12.sanitized.cnf,resource_allocation_like,C_lkk_cadical,60041.631251,TIMEOUT
lec_mult_CvW_12x12.sanitized.cnf,resource_allocation_like,D_lkk_kissat,60036.239697,TIMEOUT
logistics.a.cnf,cardinality_exact_r_heavy,C_lkk_cadical,66.228907,SATISFIABLE
logistics.a.cnf,cardinality_exact_r_heavy,D_lkk_kissat,116.254111,SATISFIABLE
Folkman-175-9054056.sanitized.cnf,matching_hall_like,C_lkk_cadical,60006.562765,TIMEOUT
Folkman-175-9054056.sanitized.cnf,matching_hall_like,D_lkk_kissat,60042.024286,TIMEOUT
g2-hwmcc15deep-6s161-k17.cnf,no_useful_detected_structure,C_lkk_cadical,60009.299032,TIMEOUT
