min_boxes,min_clauses,min_signal,instances,accuracy,total_regret_ms,mean_regret_ms,harmful_selections,beneficial_selections,selector_total_par2_ms,oracle_total_par2_ms,always_cadical_total_par2_ms,always_kissat_total_par2_ms
1,100000,0,160,0.56875,480043.531504,3000.2720719,69,53,5552064.928499007,5072021.396995005,5698024.539181998,5383158.735141006
1,100000,2,160,0.56875,480043.531504,3000.2720719,69,53,5552064.928499007,5072021.396995005,5698024.539181998,5383158.735141006
1,100000,8,160,0.56875,480043.531504,3000.2720719,69,53,5552064.928499007,5072021.396995005,5698024.539181998,5383158.735141006
1,500000,0,160,0.5625,571662.6711980001,3572.8916949875006,70,52,5643684.068193006,5072021.396995005,5698024.539181998,5383158.735141006
1,500000,2,160,0.5625,571662.6711980001,3572.8916949875006,70,52,5643684.068193006,5072021.396995005,5698024.539181998,5383158.735141006
1,500000,8,160,0.5625,571662.6711980001,3572.8916949875006,70,52,5643684.068193006,5072021.396995005,5698024.539181998,5383158.735141006
1,2000000,0,160,0.55625,606110.9695600001,3788.1935597500005,71,51,5678132.366555005,5072021.396995005,5698024.539181998,5383158.735141006
1,2000000,2,160,0.55625,606110.9695600001,3788.1935597500005,71,51,5678132.366555005,5072021.396995005,5698024.539181998,5383158.735141006
1,2000000,8,160,0.55625,606110.9695600001,3788.1935597500005,71,51,5678132.366555005,5072021.396995005,5698024.539181998,5383158.735141006
1,1000000000,0,160,0.55,709585.3826230001,4434.90864139375,72,50,5781606.779618006,5072021.396995005,5698024.539181998,5383158.735141006
1,1000000000,2,160,0.55,709585.3826230001,4434.90864139375,72,50,5781606.779618006,5072021.396995005,5698024.539181998,5383158.735141006
1,1000000000,8,160,0.55,709585.3826230001,4434.90864139375,72,50,5781606.779618006,5072021.396995005,5698024.539181998,5383158.735141006
2,100000,0,160,0.56875,480043.531504,3000.2720719,69,53,5552064.928499007,5072021.396995005,5698024.539181998,5383158.735141006
2,100000,2,160,0.56875,480043.531504,3000.2720719,69,53,5552064.928499007,5072021.396995005,5698024.539181998,5383158.735141006
2,100000,8,160,0.56875,480043.531504,3000.2720719,69,53,5552064.928499007,5072021.396995005,5698024.539181998,5383158.735141006
2,500000,0,160,0.5625,571662.6711980001,3572.8916949875006,70,52,5643684.068193006,5072021.396995005,5698024.539181998,5383158.735141006
2,500000,2,160,0.5625,571662.6711980001,3572.8916949875006,70,52,5643684.068193006,5072021.396995005,5698024.539181998,5383158.735141006
2,500000,8,160,0.5625,571662.6711980001,3572.8916949875006,70,52,5643684.068193006,5072021.396995005,5698024.539181998,5383158.735141006
2,2000000,0,160,0.55625,606110.9695600001,3788.1935597500005,71,51,5678132.366555005,5072021.396995005,5698024.539181998,5383158.735141006
2,2000000,2,160,0.55625,606110.9695600001,3788.1935597500005,71,51,5678132.366555005,5072021.396995005,5698024.539181998,5383158.735141006
2,2000000,8,160,0.55625,606110.9695600001,3788.1935597500005,71,51,5678132.366555005,5072021.396995005,5698024.539181998,5383158.735141006
2,1000000000,0,160,0.55,709585.3826230001,4434.90864139375,72,50,5781606.779618006,5072021.396995005,5698024.539181998,5383158.735141006
2,1000000000,2,160,0.55,709585.3826230001,4434.90864139375,72,50,5781606.779618006,5072021.396995005,5698024.539181998,5383158.735141006
2,1000000000,8,160,0.55,709585.3826230001,4434.90864139375,72,50,5781606.779618006,5072021.396995005,5698024.539181998,5383158.735141006
4,100000,0,160,0.575,479960.99134500005,2999.7561959062505,68,54,5551982.388340007,5072021.396995005,5698024.539181998,5383158.735141006
4,100000,2,160,0.575,479960.99134500005,2999.7561959062505,68,54,5551982.388340007,5072021.396995005,5698024.539181998,5383158.735141006
4,100000,8,160,0.575,479960.99134500005,2999.7561959062505,68,54,5551982.388340007,5072021.396995005,5698024.539181998,5383158.735141006
4,500000,0,160,0.56875,571580.1310390001,3572.3758189937507,69,53,5643601.528034006,5072021.396995005,5698024.539181998,5383158.735141006
4,500000,2,160,0.56875,571580.1310390001,3572.3758189937507,69,53,5643601.528034006,5072021.396995005,5698024.539181998,5383158.735141006
4,500000,8,160,0.56875,571580.1310390001,3572.3758189937507,69,53,5643601.528034006,5072021.396995005,5698024.539181998,5383158.735141006
4,2000000,0,160,0.5625,606028.429401,3787.67768375625,70,52,5678049.826396005,5072021.396995005,5698024.539181998,5383158.735141006
4,2000000,2,160,0.5625,606028.429401,3787.67768375625,70,52,5678049.826396005,5072021.396995005,5698024.539181998,5383158.735141006
4,2000000,8,160,0.5625,606028.429401,3787.67768375625,70,52,5678049.826396005,5072021.396995005,5698024.539181998,5383158.735141006
4,1000000000,0,160,0.55625,709502.842464,4434.3927654,71,51,5781524.239459006,5072021.396995005,5698024.539181998,5383158.735141006
4,1000000000,2,160,0.55625,709502.842464,4434.3927654,71,51,5781524.239459006,5072021.396995005,5698024.539181998,5383158.735141006
4,1000000000,8,160,0.55625,709502.842464,4434.3927654,71,51,5781524.239459006,5072021.396995005,5698024.539181998,5383158.735141006
8,100000,0,160,0.5875,479896.38926200004,2999.3524328875,66,56,5551917.786257006,5072021.396995005,5698024.539181998,5383158.735141006
8,100000,2,160,0.5875,479896.38926200004,2999.3524328875,66,56,5551917.786257006,5072021.396995005,5698024.539181998,5383158.735141006
8,100000,8,160,0.5875,479896.38926200004,2999.3524328875,66,56,5551917.786257006,5072021.396995005,5698024.539181998,5383158.735141006
8,500000,0,160,0.58125,571515.5289560001,3571.972055975001,67,55,5643536.925951006,5072021.396995005,5698024.539181998,5383158.735141006
8,500000,2,160,0.58125,571515.5289560001,3571.972055975001,67,55,5643536.925951006,5072021.396995005,5698024.539181998,5383158.735141006
8,500000,8,160,0.58125,571515.5289560001,3571.972055975001,67,55,5643536.925951006,5072021.396995005,5698024.539181998,5383158.735141006
8,2000000,0,160,0.575,605963.827318,3787.2739207375002,68,54,5677985.224313005,5072021.396995005,5698024.539181998,5383158.735141006
8,2000000,2,160,0.575,605963.827318,3787.2739207375002,68,54,5677985.224313005,5072021.396995005,5698024.539181998,5383158.735141006
8,2000000,8,160,0.575,605963.827318,3787.2739207375002,68,54,5677985.224313005,5072021.396995005,5698024.539181998,5383158.735141006
8,1000000000,0,160,0.56875,709438.240381,4433.9890023812495,69,53,5781459.637376006,5072021.396995005,5698024.539181998,5383158.735141006
8,1000000000,2,160,0.56875,709438.240381,4433.9890023812495,69,53,5781459.637376006,5072021.396995005,5698024.539181998,5383158.735141006
8,1000000000,8,160,0.56875,709438.240381,4433.9890023812495,69,53,5781459.637376006,5072021.396995005,5698024.539181998,5383158.735141006
