instance,stratum,domain,selector_choice,selector_reason,lkk_cadical_par2_ms,lkk_kissat_par2_ms,selector_par2_ms,oracle_par2_ms,regret_ms,picked_faster,harmful,tie,selector_ms
002.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
004.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
1-ET-256-K-55.sanitized.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
1-ET-256-K-70.sanitized.cnf,no_useful_detected_structure,competition_main,,,53704.8689,120000.0,120000.0,53704.8689,66295.1311,False,True,False,
1-ET-512-K-110.sanitized.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
1-ET-512-K-96.sanitized.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
1-TC-256-K-64.sanitized.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
1-TC-256-K-68.sanitized.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
1-ZC-512-K-60.sanitized.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
1-ZC-512-K-61.sanitized.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
1-ZC-512-K-63.sanitized.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
1-ZC-512-K-64.sanitized.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
1-ZC-512-K-65.sanitized.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
1-ZC-512-K-67.sanitized.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
170058440.cnf,resource_allocation_like,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
2bitadd_11.cnf,cardinality_exact_r_heavy,planning_scheduling,kissat,"open_cardinality_structure(boxes=66,registry=UNKNOWN)",17.66703,116.752169,116.938215,17.66703,99.271185,False,True,False,
2bitcomp_5.cnf,cardinality_exact_r_heavy,planning_scheduling,kissat,"open_cardinality_structure(boxes=30,registry=UNKNOWN)",18.377821,34.143651,66.158057,18.377821,47.780236,False,True,False,
2bitmax_6.cnf,cardinality_exact_r_heavy,planning_scheduling,kissat,"open_cardinality_structure(boxes=46,registry=UNKNOWN)",18.183662,66.679986,67.202578,18.183662,49.018916000000004,False,True,False,
2dlx_ca_bp_f_liveness.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
3bitadd_31.cnf,cardinality_exact_r_heavy,planning_scheduling,kissat,"open_cardinality_structure(boxes=310,registry=UNKNOWN)",920.187984,468.028659,468.256869,468.028659,0.22820999999999003,False,True,False,
3bitadd_32.cnf,cardinality_exact_r_heavy,planning_scheduling,kissat,"open_cardinality_structure(boxes=316,registry=UNKNOWN)",267.16044,417.508526,366.804313,267.16044,99.64387299999999,False,True,False,
3blocks.cnf,cardinality_exact_r_heavy,planning_scheduling,cadical,"default_in_process_cadical(boxes=9,recovery=COMPLETE,registry=UNKNOWN)",66.184886,166.783668,66.093798,66.184886,-0.09108799999999917,False,False,False,
4blocks.cnf,no_useful_detected_structure,planning_scheduling,cadical,"default_in_process_cadical(boxes=0,recovery=COMPLETE,registry=UNKNOWN)",267.64949,266.834859,216.873674,266.834859,-49.961185,False,False,False,
6s130-opt.cnf,no_useful_detected_structure,competition_main,kissat,large_formula(clauses=144361),120000.0,52606.474717,53714.72024,52606.474717,1108.245523000005,False,True,False,
Break_18_32.xml.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
Break_20_72.xml.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
Break_unsat_04_03.xml.cnf,resource_allocation_like,competition_main,kissat,"open_cardinality_structure(boxes=24,registry=UNKNOWN)",35.355776,117.966178,117.721929,35.355776,82.366153,False,True,False,
Break_unsat_14_23.xml.cnf,no_useful_detected_structure,competition_main,,,120000.0,120000.0,120000.0,120000.0,0.0,True,False,True,
