instance,source,set,domain,stratum,split,cnf_sha256,declared_result,mode,seed,status,runtime_ms,par2_ms,timed_out,peak_rss_kb,conflicts,decisions,propagations,restarts,parse_ms,gate_ms,recovery_ms,registry_ms,flow_ms,witness_ms,structural_result,fallback_used,fallback_engine,selector_choice,selector_reason,fallback_ms,fallback_serialize_ms,fallback_overhead_ms,total_end_to_end_ms,raw_log
bmc-galileo-8.cnf,SATLIB,bmc-ibm,eda_formal_verification,no_useful_detected_structure,evaluation,d4067ccc2797e13412aa3bc5b23d48a976962b558017a277950d4ca2bdad61dc,,B_kissat,1,SATISFIABLE,367.51983,367.51983,False,26688,1124,9626,1143454,258,,,,,,,,,,,,,,,367.51983,results/phase5/20260818Tphase6full02Z/logs/evaluation/00001_bmc-galileo-8__B_kissat__seed1.log
bmc-galileo-8.cnf,SATLIB,bmc-ibm,eda_formal_verification,no_useful_detected_structure,evaluation,d4067ccc2797e13412aa3bc5b23d48a976962b558017a277950d4ca2bdad61dc,,C_lkk_cadical,1,SATISFIABLE,1371.735778,1371.735778,False,86152,4301,54172,3837556,-1,225.279,204.659,0,0,0,0,UNKNOWN,True,cadical,,,855.334,0,0,1336.12,results/phase5/20260818Tphase6full02Z/logs/evaluation/00001_bmc-galileo-8__C_lkk_cadical__seed1.log
bmc-galileo-8.cnf,SATLIB,bmc-ibm,eda_formal_verification,no_useful_detected_structure,evaluation,d4067ccc2797e13412aa3bc5b23d48a976962b558017a277950d4ca2bdad61dc,,D_lkk_kissat,1,SATISFIABLE,819.625682,819.625682,False,46976,241,3838,438444,60,245.27,128.089,0,0,0,0,UNKNOWN,True,kissat,,,265.847,84.3938,130.241,777.591,results/phase5/20260818Tphase6full02Z/logs/evaluation/00001_bmc-galileo-8__D_lkk_kissat__seed1.log
bmc-galileo-8.cnf,SATLIB,bmc-ibm,eda_formal_verification,no_useful_detected_structure,evaluation,d4067ccc2797e13412aa3bc5b23d48a976962b558017a277950d4ca2bdad61dc,,E_lkk_selector,1,SATISFIABLE,819.393022,819.393022,False,46100,241,3838,438444,60,192.085,192.562,0,0,0,0,UNKNOWN,True,kissat,kissat,large_formula(clauses=294821),246.556,84.7723,121.329,764.4,results/phase5/20260818Tphase6full02Z/logs/evaluation/00001_bmc-galileo-8__E_lkk_selector__seed1.log
bmc-galileo-8.cnf,SATLIB,bmc-ibm,eda_formal_verification,no_useful_detected_structure,evaluation,d4067ccc2797e13412aa3bc5b23d48a976962b558017a277950d4ca2bdad61dc,,A_cadical,1,SATISFIABLE,1521.24224,1521.24224,False,63952,0,42585,3439953,105,,,,,,,,,,,,,,,1521.24224,results/phase5/20260818Tphase6full02Z/logs/evaluation/00001_bmc-galileo-8__A_cadical__seed1.log
bmc-ibm-10.cnf,SATLIB,bmc-ibm,eda_formal_verification,no_useful_detected_structure,evaluation,d7f897c54f775edcef0ea51e97034a778e4ff03b570ae87305ed50616b049a51,,C_lkk_cadical,1,SATISFIABLE,1220.825639,1220.825639,False,85464,4335,31339,2616219,-1,212.985,198.004,0,0,0,0,UNKNOWN,True,cadical,,,703.687,0,0,1178.55,results/phase5/20260818Tphase6full02Z/logs/evaluation/00002_bmc-ibm-10__C_lkk_cadical__seed1.log
bmc-ibm-10.cnf,SATLIB,bmc-ibm,eda_formal_verification,no_useful_detected_structure,evaluation,d7f897c54f775edcef0ea51e97034a778e4ff03b570ae87305ed50616b049a51,,D_lkk_kissat,1,SATISFIABLE,969.776607,969.776607,False,51020,1349,9710,1336555,126,216.315,193.462,0,0,0,0,UNKNOWN,True,kissat,,,336.333,102.605,148.938,911.238,results/phase5/20260818Tphase6full02Z/logs/evaluation/00002_bmc-ibm-10__D_lkk_kissat__seed1.log
bmc-ibm-10.cnf,SATLIB,bmc-ibm,eda_formal_verification,no_useful_detected_structure,evaluation,d7f897c54f775edcef0ea51e97034a778e4ff03b570ae87305ed50616b049a51,,E_lkk_selector,1,SATISFIABLE,969.48991,969.48991,False,52008,1349,9710,1336555,126,232.641,184.118,0,0,0,0,UNKNOWN,True,kissat,kissat,large_formula(clauses=323700),340.855,101.947,142.802,927.259,results/phase5/20260818Tphase6full02Z/logs/evaluation/00002_bmc-ibm-10__E_lkk_selector__seed1.log
bmc-ibm-10.cnf,SATLIB,bmc-ibm,eda_formal_verification,no_useful_detected_structure,evaluation,d7f897c54f775edcef0ea51e97034a778e4ff03b570ae87305ed50616b049a51,,A_cadical,1,SATISFIABLE,1621.506787,1621.506787,False,59932,0,26549,2684532,220,,,,,,,,,,,,,,,1621.506787,results/phase5/20260818Tphase6full02Z/logs/evaluation/00002_bmc-ibm-10__A_cadical__seed1.log
bmc-ibm-10.cnf,SATLIB,bmc-ibm,eda_formal_verification,no_useful_detected_structure,evaluation,d7f897c54f775edcef0ea51e97034a778e4ff03b570ae87305ed50616b049a51,,B_kissat,1,SATISFIABLE,317.166827,317.166827,False,19756,1470,7301,1214807,113,,,,,,,,,,,,,,,317.166827,results/phase5/20260818Tphase6full02Z/logs/evaluation/00002_bmc-ibm-10__B_kissat__seed1.log
