instance,source,set,domain,cnf_sha256,solver,status,untimed_wall_ms,timing_valid,pool_workers
bmc-galileo-8.cnf,SATLIB,bmc-ibm,eda_formal_verification,d4067ccc2797e13412aa3bc5b23d48a976962b558017a277950d4ca2bdad61dc,kissat,SATISFIABLE,623.086909,False,8
bmc-galileo-9.cnf,SATLIB,bmc-ibm,eda_formal_verification,3ab82be4e836102a752bb22c419877895fb2f159ab1a3e862c116c9f9a4e8628,kissat,SATISFIABLE,1320.110914,False,8
bmc-ibm-10.cnf,SATLIB,bmc-ibm,eda_formal_verification,d7f897c54f775edcef0ea51e97034a778e4ff03b570ae87305ed50616b049a51,kissat,SATISFIABLE,670.760025,False,8
bmc-ibm-11.cnf,SATLIB,bmc-ibm,eda_formal_verification,26b95b63aac1a133a263771fa6591bc0861de8335931fe55a4e2c00800b81bd0,kissat,SATISFIABLE,920.92382,False,8
bmc-ibm-12.cnf,SATLIB,bmc-ibm,eda_formal_verification,883e1d3cf1fd2623f44bf8895e2a2f1284ff5358d6469bd10b04ab1b642dc93e,kissat,SATISFIABLE,1672.954881,False,8
bmc-ibm-13.cnf,SATLIB,bmc-ibm,eda_formal_verification,0dafcf6bcd20e453eb01cbef4c811b93d65a53d28f5087d26d79cbbe1f646919,kissat,SATISFIABLE,318.490368,False,8
bmc-ibm-1.cnf,SATLIB,bmc-ibm,eda_formal_verification,ccfe052c64a36c820faa7f373962f9f425df540620da63ab8ba2e3047a32a959,kissat,SATISFIABLE,319.548943,False,8
bmc-ibm-2.cnf,SATLIB,bmc-ibm,eda_formal_verification,f82d90198c950d16ca910d42fd28f3b049334785b275cd02ae6ac1c33cb597ba,kissat,SATISFIABLE,117.90452,False,8
bmc-ibm-3.cnf,SATLIB,bmc-ibm,eda_formal_verification,400f1435b207e925c20ed27a4b2ff96ae5ef916b2f439c69fd77bd1c56ee99a3,kissat,SATISFIABLE,267.388798,False,8
bmc-ibm-4.cnf,SATLIB,bmc-ibm,eda_formal_verification,8a3faefe7bee94fc9d7c06809f9e69feee9d9647ced0cf24f0750bb4af395699,kissat,SATISFIABLE,367.520898,False,8
bmc-ibm-5.cnf,SATLIB,bmc-ibm,eda_formal_verification,786a7c07afa6da37fa1baa2b50cb732731d82b404fb9e1d9e45de73588124f77,kissat,SATISFIABLE,167.327114,False,8
bmc-ibm-6.cnf,SATLIB,bmc-ibm,eda_formal_verification,63ef2fd92a3992ddcca27e2f2d83527ab63b7df826578d29f2b882c4e8cea47d,kissat,SATISFIABLE,618.459119,False,8
bmc-ibm-7.cnf,SATLIB,bmc-ibm,eda_formal_verification,2e4305a91ee012754d437d7121fcd701abb19e80119dce4ab5bb1800fed64734,kissat,SATISFIABLE,68.011,False,8
ssa0432-003.cnf,SATLIB,ssa,eda_circuit_fault,6b16c38f0c39341203a641aa016b4153a9da65a28d9078d25b9d508772b7375a,kissat,UNSATISFIABLE,69.01117,False,8
ssa2670-130.cnf,SATLIB,ssa,eda_circuit_fault,c4a3c04cec16f2b3eeaf541b9d8ca0b5aa95ab89734f8b5230eff9c19c4092eb,kissat,UNSATISFIABLE,67.453554,False,8
ssa2670-141.cnf,SATLIB,ssa,eda_circuit_fault,627518da0e2b1559a2904af801c341df66cd2a211c04f6ebded62e407ab3e545,kissat,UNSATISFIABLE,68.133222,False,8
ssa6288-047.cnf,SATLIB,ssa,eda_circuit_fault,07c8a88b790c161f34ddae1ca013fb8e58854f1cf985a45c7bbfd9b3d32515b6,kissat,UNSATISFIABLE,69.153201,False,8
ssa7552-038.cnf,SATLIB,ssa,eda_circuit_fault,e852563f9f5e615bf4a713c3aa8f7ba23a00c48b091255689156e572a06dbf23,kissat,SATISFIABLE,35.494965,False,8
ssa7552-158.cnf,SATLIB,ssa,eda_circuit_fault,490948912a139d74e0487ea9f47e52c3ac4e70927e3f3b8577f542fca36107a6,kissat,SATISFIABLE,34.512798,False,8
ssa7552-159.cnf,SATLIB,ssa,eda_circuit_fault,1e405d326f0f4eab4f2667dfdc7d513f07e8842ad9b40fb27e9f83a679f86ee7,kissat,SATISFIABLE,35.391881,False,8
ssa7552-160.cnf,SATLIB,ssa,eda_circuit_fault,3f5042acadf40e83d8288b09783eb5688a340abaeb788a4ba71ac4919e0a4098,kissat,SATISFIABLE,34.838062,False,8
bf0432-007.cnf,SATLIB,bf,eda_circuit_fault,ff22b8c5c381229a7ec7ff2f8d93afc7219a73034c4180b056b8a5594af1a75a,kissat,UNSATISFIABLE,66.792202,False,8
