configuration,instance,family,runtime_ms,status,structural_result,registry_status,family_checks
budget=100000,000_pigeonhole_exact1_s6_n0.cnf,pigeonhole_exact1,10.180366,UNSATISFIABLE,UNSAT,COMPLETE,2301
budget=100000,001_pigeonhole_exact1_s7_n0.cnf,pigeonhole_exact1,10.69013,UNSATISFIABLE,UNSAT,COMPLETE,5383
budget=100000,002_pigeonhole_exact1_s9_n0.cnf,pigeonhole_exact1,18.863046,UNSATISFIABLE,UNSAT,COMPLETE,20961
budget=100000,003_pigeonhole_exact1_s11_n0.cnf,pigeonhole_exact1,18.527414,UNSATISFIABLE,UNSAT,COMPLETE,60951
budget=100000,004_exact_r_allocation_s5_n0.cnf,exact_r_allocation,11.113038,UNSATISFIABLE,UNSAT,COMPLETE,270
budget=100000,005_exact_r_allocation_s7_n0.cnf,exact_r_allocation,11.521306,UNSATISFIABLE,UNSAT,COMPLETE,1610
budget=200000,000_pigeonhole_exact1_s6_n0.cnf,pigeonhole_exact1,11.09182,UNSATISFIABLE,UNSAT,COMPLETE,2301
budget=200000,001_pigeonhole_exact1_s7_n0.cnf,pigeonhole_exact1,10.955752,UNSATISFIABLE,UNSAT,COMPLETE,5383
budget=200000,002_pigeonhole_exact1_s9_n0.cnf,pigeonhole_exact1,19.082037,UNSATISFIABLE,UNSAT,COMPLETE,20961
budget=200000,003_pigeonhole_exact1_s11_n0.cnf,pigeonhole_exact1,36.200824,UNSATISFIABLE,UNSAT,COMPLETE,60951
budget=200000,004_exact_r_allocation_s5_n0.cnf,exact_r_allocation,10.141056,UNSATISFIABLE,UNSAT,COMPLETE,270
budget=200000,005_exact_r_allocation_s7_n0.cnf,exact_r_allocation,11.074745,UNSATISFIABLE,UNSAT,COMPLETE,1610
budget=300000,000_pigeonhole_exact1_s6_n0.cnf,pigeonhole_exact1,10.645253,UNSATISFIABLE,UNSAT,COMPLETE,2301
budget=300000,001_pigeonhole_exact1_s7_n0.cnf,pigeonhole_exact1,10.808917,UNSATISFIABLE,UNSAT,COMPLETE,5383
budget=300000,002_pigeonhole_exact1_s9_n0.cnf,pigeonhole_exact1,18.943658,UNSATISFIABLE,UNSAT,COMPLETE,20961
budget=300000,003_pigeonhole_exact1_s11_n0.cnf,pigeonhole_exact1,19.092574,UNSATISFIABLE,UNSAT,COMPLETE,60951
budget=300000,004_exact_r_allocation_s5_n0.cnf,exact_r_allocation,10.1652,UNSATISFIABLE,UNSAT,COMPLETE,270
budget=300000,005_exact_r_allocation_s7_n0.cnf,exact_r_allocation,10.063056,UNSATISFIABLE,UNSAT,COMPLETE,1610
budget=500000,000_pigeonhole_exact1_s6_n0.cnf,pigeonhole_exact1,10.706072,UNSATISFIABLE,UNSAT,COMPLETE,2301
budget=500000,001_pigeonhole_exact1_s7_n0.cnf,pigeonhole_exact1,10.529027,UNSATISFIABLE,UNSAT,COMPLETE,5383
budget=500000,002_pigeonhole_exact1_s9_n0.cnf,pigeonhole_exact1,18.805286,UNSATISFIABLE,UNSAT,COMPLETE,20961
budget=500000,003_pigeonhole_exact1_s11_n0.cnf,pigeonhole_exact1,18.918598,UNSATISFIABLE,UNSAT,COMPLETE,60951
budget=500000,004_exact_r_allocation_s5_n0.cnf,exact_r_allocation,11.316796,UNSATISFIABLE,UNSAT,COMPLETE,270
budget=500000,005_exact_r_allocation_s7_n0.cnf,exact_r_allocation,10.156052,UNSATISFIABLE,UNSAT,COMPLETE,1610
budget=1000000,000_pigeonhole_exact1_s6_n0.cnf,pigeonhole_exact1,11.590441,UNSATISFIABLE,UNSAT,COMPLETE,2301
budget=1000000,001_pigeonhole_exact1_s7_n0.cnf,pigeonhole_exact1,19.794967,UNSATISFIABLE,UNSAT,COMPLETE,5383
