configuration,instance,family,runtime_ms,status,structural_result,registry_status,family_checks
budget=100000,000_pigeonhole_exact1_s6_n0.cnf,pigeonhole_exact1,11.450273,UNSATISFIABLE,UNSAT,COMPLETE,2301
budget=100000,001_pigeonhole_exact1_s7_n0.cnf,pigeonhole_exact1,10.998753,UNSATISFIABLE,UNSAT,COMPLETE,5383
budget=100000,002_pigeonhole_exact1_s8_n0.cnf,pigeonhole_exact1,19.787905,UNSATISFIABLE,UNSAT,COMPLETE,11124
budget=100000,003_pigeonhole_exact1_s9_n0.cnf,pigeonhole_exact1,19.674564,UNSATISFIABLE,UNSAT,COMPLETE,20961
budget=100000,004_pigeonhole_exact1_s10_n0.cnf,pigeonhole_exact1,19.215459,UNSATISFIABLE,UNSAT,COMPLETE,36775
budget=100000,005_pigeonhole_exact1_s11_n0.cnf,pigeonhole_exact1,35.867991,UNSATISFIABLE,UNSAT,COMPLETE,60951
budget=200000,000_pigeonhole_exact1_s6_n0.cnf,pigeonhole_exact1,11.169368,UNSATISFIABLE,UNSAT,COMPLETE,2301
budget=200000,001_pigeonhole_exact1_s7_n0.cnf,pigeonhole_exact1,10.628687,UNSATISFIABLE,UNSAT,COMPLETE,5383
budget=200000,002_pigeonhole_exact1_s8_n0.cnf,pigeonhole_exact1,18.920774,UNSATISFIABLE,UNSAT,COMPLETE,11124
budget=200000,003_pigeonhole_exact1_s9_n0.cnf,pigeonhole_exact1,19.57098,UNSATISFIABLE,UNSAT,COMPLETE,20961
budget=200000,004_pigeonhole_exact1_s10_n0.cnf,pigeonhole_exact1,20.602427,UNSATISFIABLE,UNSAT,COMPLETE,36775
budget=200000,005_pigeonhole_exact1_s11_n0.cnf,pigeonhole_exact1,35.491178,UNSATISFIABLE,UNSAT,COMPLETE,60951
budget=300000,000_pigeonhole_exact1_s6_n0.cnf,pigeonhole_exact1,11.348963,UNSATISFIABLE,UNSAT,COMPLETE,2301
budget=300000,001_pigeonhole_exact1_s7_n0.cnf,pigeonhole_exact1,10.770132,UNSATISFIABLE,UNSAT,COMPLETE,5383
budget=300000,002_pigeonhole_exact1_s8_n0.cnf,pigeonhole_exact1,19.195762,UNSATISFIABLE,UNSAT,COMPLETE,11124
budget=300000,003_pigeonhole_exact1_s9_n0.cnf,pigeonhole_exact1,19.239472,UNSATISFIABLE,UNSAT,COMPLETE,20961
budget=300000,004_pigeonhole_exact1_s10_n0.cnf,pigeonhole_exact1,19.228339,UNSATISFIABLE,UNSAT,COMPLETE,36775
budget=300000,005_pigeonhole_exact1_s11_n0.cnf,pigeonhole_exact1,34.98756,UNSATISFIABLE,UNSAT,COMPLETE,60951
budget=500000,000_pigeonhole_exact1_s6_n0.cnf,pigeonhole_exact1,11.032629,UNSATISFIABLE,UNSAT,COMPLETE,2301
budget=500000,001_pigeonhole_exact1_s7_n0.cnf,pigeonhole_exact1,18.692914,UNSATISFIABLE,UNSAT,COMPLETE,5383
budget=500000,002_pigeonhole_exact1_s8_n0.cnf,pigeonhole_exact1,9.957654,UNSATISFIABLE,UNSAT,COMPLETE,11124
budget=500000,003_pigeonhole_exact1_s9_n0.cnf,pigeonhole_exact1,18.856009,UNSATISFIABLE,UNSAT,COMPLETE,20961
budget=500000,004_pigeonhole_exact1_s10_n0.cnf,pigeonhole_exact1,18.592292,UNSATISFIABLE,UNSAT,COMPLETE,36775
budget=500000,005_pigeonhole_exact1_s11_n0.cnf,pigeonhole_exact1,35.232883,UNSATISFIABLE,UNSAT,COMPLETE,60951
budget=1000000,000_pigeonhole_exact1_s6_n0.cnf,pigeonhole_exact1,10.748123,UNSATISFIABLE,UNSAT,COMPLETE,2301
budget=1000000,001_pigeonhole_exact1_s7_n0.cnf,pigeonhole_exact1,10.473524,UNSATISFIABLE,UNSAT,COMPLETE,5383
budget=1000000,002_pigeonhole_exact1_s8_n0.cnf,pigeonhole_exact1,10.598767,UNSATISFIABLE,UNSAT,COMPLETE,11124
budget=1000000,003_pigeonhole_exact1_s9_n0.cnf,pigeonhole_exact1,18.811697,UNSATISFIABLE,UNSAT,COMPLETE,20961
budget=1000000,004_pigeonhole_exact1_s10_n0.cnf,pigeonhole_exact1,19.410781,UNSATISFIABLE,UNSAT,COMPLETE,36775
budget=1000000,005_pigeonhole_exact1_s11_n0.cnf,pigeonhole_exact1,35.699474,UNSATISFIABLE,UNSAT,COMPLETE,60951
budget=100000,006_exact_r_allocation_s5_n0.cnf,exact_r_allocation,10.414738,UNSATISFIABLE,UNSAT,COMPLETE,270
budget=100000,007_exact_r_allocation_s7_n0.cnf,exact_r_allocation,10.423473,UNSATISFIABLE,UNSAT,COMPLETE,1610
budget=100000,008_exact_r_allocation_s9_n0.cnf,exact_r_allocation,11.106829,UNSATISFIABLE,UNSAT,COMPLETE,5955
budget=100000,009_exact_r_allocation_s10_n0.cnf,exact_r_allocation,20.00006,UNSATISFIABLE,UNSAT,COMPLETE,12330
budget=100000,010_exact_r_allocation_s11_n0.cnf,exact_r_allocation,19.992165,UNSATISFIABLE,UNSAT,COMPLETE,16731
budget=100000,011_exact_r_allocation_s12_n0.cnf,exact_r_allocation,19.646714,UNSATISFIABLE,UNSAT,COMPLETE,30436
budget=200000,006_exact_r_allocation_s5_n0.cnf,exact_r_allocation,10.851002,UNSATISFIABLE,UNSAT,COMPLETE,270
budget=200000,007_exact_r_allocation_s7_n0.cnf,exact_r_allocation,10.782697,UNSATISFIABLE,UNSAT,COMPLETE,1610
budget=200000,008_exact_r_allocation_s9_n0.cnf,exact_r_allocation,10.791009,UNSATISFIABLE,UNSAT,COMPLETE,5955
budget=200000,009_exact_r_allocation_s10_n0.cnf,exact_r_allocation,19.48812,UNSATISFIABLE,UNSAT,COMPLETE,12330
budget=200000,010_exact_r_allocation_s11_n0.cnf,exact_r_allocation,18.887357,UNSATISFIABLE,UNSAT,COMPLETE,16731
budget=200000,011_exact_r_allocation_s12_n0.cnf,exact_r_allocation,19.403321,UNSATISFIABLE,UNSAT,COMPLETE,30436
budget=300000,006_exact_r_allocation_s5_n0.cnf,exact_r_allocation,10.920465,UNSATISFIABLE,UNSAT,COMPLETE,270
budget=300000,007_exact_r_allocation_s7_n0.cnf,exact_r_allocation,10.686594,UNSATISFIABLE,UNSAT,COMPLETE,1610
budget=300000,008_exact_r_allocation_s9_n0.cnf,exact_r_allocation,10.161759,UNSATISFIABLE,UNSAT,COMPLETE,5955
budget=300000,009_exact_r_allocation_s10_n0.cnf,exact_r_allocation,18.890335,UNSATISFIABLE,UNSAT,COMPLETE,12330
